candidate,metric,rows,hard_recall,c1_hard_recall,delta_vs_c1_pp,delta_ci_low_pp,delta_ci_high_pp,ci_cluster_unit,ci_clusters,review_rate,seed,attack_family
A1-UnboundedSourceConformal,attack_family_recall,10069,0.0002979441851226537,0.7566789154831661,-75.63809712980435,-97.63626969775252,-61.9076858772076,source,5.0,0.0,27,Ingress Tool Transfer
A1-UnboundedSourceConformal,attack_family_recall,9926,0.005440257908523071,0.9981865806971589,-99.27463227886358,-100.0,0.0,source,3.0,0.0,27,Merlin C&C Communication
A1-UnboundedSourceConformal,attack_family_recall,19730,0.006791687785098834,0.9916877850988343,-98.48960973137353,-99.49865229110512,-82.99353613332109,source,6.0,0.0,27,Merlin ICMP Flooding
A1-UnboundedSourceConformal,attack_family_recall,27722,0.0003967967679099632,0.9993867686314118,-99.89899718635019,-99.98176399006981,-96.72578444747613,source,6.0,0.0,27,Merlin TCP Flooding
A1-UnboundedSourceConformal,attack_family_recall,10298,0.0005826374053214216,1.0,-99.94173625946786,-100.0,-96.1038961038961,source,6.0,0.0,27,Merlin UDP Flooding
A1-UnboundedSourceConformal,attack_family_recall,369,0.005420054200542005,0.05962059620596206,-5.420054200542005,-11.11111111111111,0.0,source,3.0,0.0,27,Mirai C&C Communication
A1-UnboundedSourceConformal,attack_family_recall,27722,0.0003607243344636029,0.9999639275665536,-99.96032032320899,-100.0,-97.26775956284153,source,6.0,0.0,27,Mirai GRE Flooding
A1-UnboundedSourceConformal,attack_family_recall,27721,0.00036073734713754915,0.9963926265286245,-99.60318891814869,-100.0,-97.2640218878249,source,6.0,0.0,27,Mirai TCP Flooding
A1-UnboundedSourceConformal,attack_family_recall,27722,0.0003967967679099632,0.9999278551331072,-99.95310583651973,-99.995573785445,-96.86221009549796,source,6.0,0.0,27,Mirai UDP Flooding
A1-UnboundedSourceConformal,attack_family_recall,167,0.0,0.7305389221556886,-73.05389221556887,-100.0,-71.93548387096774,source,4.0,0.0,27,Reporting
A1-UnboundedSourceConformal,attack_family_recall,39711,5.036387902596258e-05,0.7656316889526832,-76.55813250736571,-81.21495327102804,-71.0188958873657,source,5.0,0.0,27,TCP Scan
A1-UnboundedSourceConformal,attack_family_recall,39712,0.002719580983078163,0.7917506043513296,-78.90310233682514,-98.0826243877288,-62.08715121535453,source,5.0,0.0,27,Telnet Brute Force
A1-UnboundedSourceConformal,attack_family_recall,113,0.0,0.0,0.0,0.0,0.0,episode,60.0,0.0,27,UDP Scan
A1-UnboundedSourceConformal,worst_family_recall,179,0.0,0.5586592178770949,-55.865921787709496,,,,,0.0,27,C&C Communication
A2-LocalRobustDeviation,overall_attack_hard_recall,244050,0.001450522433927474,0.9129973366113502,-91.15468141774227,-96.21460158624983,-71.12070036687179,source,8.0,0.0,27,
A2-LocalRobustDeviation,support_val_recall,69,1.0,1.0,0.0,0.0,0.0,source,3.0,0.0,27,
A2-LocalRobustDeviation,same_file_attack_recall,2486,0.0,0.6351568785197104,-63.51568785197104,-67.15121666684638,-60.19568957888531,episode,14.0,0.0,27,
A2-LocalRobustDeviation,future_attack_recall,131391,0.0016820025724745226,0.8683395361934988,-86.66575336210242,-90.52465726576428,-70.67793625638316,source,5.0,0.0,27,
A2-LocalRobustDeviation,sealed_attack_recall,110104,0.0005812686187604447,0.9725078107970646,-97.19265421783042,-99.5967909825043,-92.15659793122965,episode,208.0,0.0,27,
A2-LocalRobustDeviation,domotic_attack_recall,3000,0.020666666666666667,0.8886666666666667,-86.80000000000001,-92.48593190736551,-78.60924640649297,episode,77.0,0.0,27,
A2-LocalRobustDeviation,combined_attack_recall,5492,0.010196649672250545,0.7112163146394757,-70.10196649672251,-81.28977513788715,-61.69059011164274,source,2.0,0.0,27,
A2-LocalRobustDeviation,attack_family_recall,179,0.0,0.5586592178770949,-55.865921787709496,-63.63636363636363,-40.0,source,4.0,0.0,27,C&C Communication
A2-LocalRobustDeviation,attack_family_recall,320,0.0,0.0,0.0,0.0,0.0,episode,2.0,0.0,27,CoAP Amplification
A2-LocalRobustDeviation,attack_family_recall,2569,0.0011677695601401323,1.0,-99.88322304398599,-100.0,-97.95918367346938,source,4.0,0.0,27,File Download
