role,phase,rows_before_frozen_scope,rows_in_c1_target_cohort,rows_in_t0_target_cohort,rows_after_frozen_intersection,rows_excluded_for_cache_scope,report_extension_rows_retained,missing_feature_zero_fill,raw_rows_materialized,t0_scope_basis
id_calib,fit,5682,809,809,809,4873,0,0,0,exact_target_positions
id_calib,select,0,0,0,0,0,0,0,0,exact_target_positions
ood_val,fit,2604,2604,2604,2604,0,0,0,0,exact_target_positions
ood_val,select,0,0,0,0,0,0,0,0,exact_target_positions
support_val,fit,58,0,0,0,58,0,0,0,exact_target_positions
support_val,select,69,69,69,69,0,0,0,0,exact_target_positions
ood_stress,fit,0,0,0,0,0,0,0,0,exact_target_positions
ood_stress,select,0,0,0,0,0,0,0,0,exact_target_positions
same_file_query,fit,57930,0,0,0,57930,0,0,0,exact_target_positions
same_file_query,select,67749,2486,2486,2486,65263,0,0,0,exact_target_positions
future_query,fit,149496,0,125391,0,149496,0,0,0,exact_target_positions
future_query,select,228649,6000,6000,6000,222649,0,0,0,exact_target_positions
sealed_final_ood,fit,0,0,0,0,0,0,0,0,exact_target_positions
sealed_final_ood,select,0,0,0,0,0,0,0,0,exact_target_positions
sealed_final_attack,fit,0,0,0,0,0,0,0,0,exact_target_positions
sealed_final_attack,select,0,0,0,0,0,0,0,0,exact_target_positions
support_train,fit,385,385,385,385,0,0,0,0,exact_target_positions
support_train,select,0,0,0,0,0,0,0,0,exact_target_positions
