seed,source_role,val_role,query_role,source_rows,val_rows,query_rows,val_nn_q50,val_nn_q95,query_nn_q50,query_nn_q95,q50_gap_query_minus_val,q95_gap_query_minus_val
42,medium_support_train,medium_support_val,medium_pseudo_query_dev,75,25,28,4.658086776733398,10.94919204711914,9.92520523071289,18.64188575744629,5.267118453979492,7.692693710327148
42,medium_support_train,medium_support_val,medium_attack_eval_report_only,75,25,2250,4.658086776733398,10.94919204711914,3.4189629554748535,8.782220840454102,-1.239123821258545,-2.166971206665039
42,heavy_support_train,heavy_support_val,heavy_pseudo_query_dev,24,8,32,2.136159896850586,11.143620491027832,7.732217311859131,48.56850051879883,5.596057415008545,37.42488098144531
42,heavy_support_train,heavy_support_val,dev_heavy_query_report_only,24,8,4000,2.136159896850586,11.143620491027832,13.8093900680542,3107.7939453125,11.673230171203613,3096.650390625
43,medium_support_train,medium_support_val,medium_pseudo_query_dev,46,16,66,5.069648742675781,17.06118392944336,8.518232345581055,45.302345275878906,3.4485836029052734,28.241161346435547
43,medium_support_train,medium_support_val,medium_attack_eval_report_only,46,16,2250,5.069648742675781,17.06118392944336,4.772181034088135,8.740758895874023,-0.2974677085876465,-8.320425033569336
43,heavy_support_train,heavy_support_val,heavy_pseudo_query_dev,21,8,35,2.1862776279449463,5.22724723815918,6.725490093231201,19.909378051757812,4.539212226867676,14.682130813598633
43,heavy_support_train,heavy_support_val,dev_heavy_query_report_only,21,8,4000,2.1862776279449463,5.22724723815918,11.42636489868164,3844.261474609375,9.240087509155273,3839.0341796875
44,medium_support_train,medium_support_val,medium_pseudo_query_dev,70,24,34,6.010004997253418,51.36540603637695,6.500205993652344,37.437808990478516,0.4902009963989258,-13.927597045898438
44,medium_support_train,medium_support_val,medium_attack_eval_report_only,70,24,2250,6.010004997253418,51.36540603637695,8.420768737792969,11.254268646240234,2.410763740539551,-40.11113739013672
44,heavy_support_train,heavy_support_val,heavy_pseudo_query_dev,24,9,31,2.3962175846099854,11.744620323181152,8.923789978027344,20.983131408691406,6.5275726318359375,9.238511085510254
44,heavy_support_train,heavy_support_val,dev_heavy_query_report_only,24,9,4000,2.3962175846099854,11.744620323181152,14.977558135986328,2106.06005859375,12.581340789794922,2094.3154296875
45,medium_support_train,medium_support_val,medium_pseudo_query_dev,75,25,28,4.729055881500244,10.780342102050781,9.429779052734375,17.50000762939453,4.700723171234131,6.71966552734375
45,medium_support_train,medium_support_val,medium_attack_eval_report_only,75,25,2250,4.729055881500244,10.780342102050781,3.8604612350463867,9.809895515441895,-0.8685946464538574,-0.9704465866088867
45,heavy_support_train,heavy_support_val,heavy_pseudo_query_dev,23,8,33,2.731165885925293,13.900240898132324,7.094698905944824,13.60846996307373,4.363533020019531,-0.29177093505859375
45,heavy_support_train,heavy_support_val,dev_heavy_query_report_only,23,8,4000,2.731165885925293,13.900240898132324,11.074426651000977,4242.607421875,8.343260765075684,4228.70703125
46,medium_support_train,medium_support_val,medium_pseudo_query_dev,46,16,66,4.8137125968933105,7.08621883392334,8.418381690979004,49.25824737548828,3.6046690940856934,42.172027587890625
46,medium_support_train,medium_support_val,medium_attack_eval_report_only,46,16,2250,4.8137125968933105,7.08621883392334,4.586002826690674,8.452956199645996,-0.22770977020263672,1.3667373657226562
46,heavy_support_train,heavy_support_val,heavy_pseudo_query_dev,21,8,35,2.2758684158325195,2.989424467086792,7.000466823577881,98.22886657714844,4.724598407745361,95.23944091796875
46,heavy_support_train,heavy_support_val,dev_heavy_query_report_only,21,8,4000,2.2758684158325195,2.989424467086792,12.996585845947266,2494.21044921875,10.720717430114746,2491.220947265625
