seed,family,current_train_role,current_dev_query_role,report_only_role,train_rows,pseudo_rows,report_only_rows,train_phase_set,pseudo_phase_set,report_only_phase_set,train_file_count,pseudo_file_count,report_file_count,train_pseudo_phase_jaccard,train_report_phase_jaccard,train_pseudo_file_jaccard,train_report_file_jaccard,contract_status
42,medium,medium_support_train,medium_pseudo_query_dev,medium_attack_eval_report_only,75,28,2250,early_50_499|mid_500_1999,early_50_499|mid_500_1999,early_50_499|mid_500_1999,2,1,3,1.0,1.0,0.0,0.0,phase_overlap_ok
42,heavy,heavy_support_train,heavy_pseudo_query_dev,dev_heavy_query_report_only,24,32,4000,early_50_499|mid_500_1999|warmup_edge_0_49,early_50_499|mid_500_1999|warmup_edge_0_49,late_2000_9999|mid_500_1999,1,1,2,1.0,0.25,0.0,0.5,needs_phase_balanced_rebuild
43,medium,medium_support_train,medium_pseudo_query_dev,medium_attack_eval_report_only,46,66,2250,early_50_499|mid_500_1999,early_50_499|mid_500_1999,early_50_499|mid_500_1999,2,1,3,1.0,1.0,0.0,0.0,phase_overlap_ok
43,heavy,heavy_support_train,heavy_pseudo_query_dev,dev_heavy_query_report_only,21,35,4000,early_50_499|mid_500_1999|warmup_edge_0_49,early_50_499|mid_500_1999|warmup_edge_0_49,late_2000_9999|mid_500_1999,1,1,2,1.0,0.25,0.0,0.5,needs_phase_balanced_rebuild
44,medium,medium_support_train,medium_pseudo_query_dev,medium_attack_eval_report_only,70,34,2250,early_50_499|mid_500_1999,early_50_499|mid_500_1999,early_50_499|mid_500_1999,2,1,3,1.0,1.0,0.0,0.0,phase_overlap_ok
44,heavy,heavy_support_train,heavy_pseudo_query_dev,dev_heavy_query_report_only,24,31,4000,early_50_499|mid_500_1999,early_50_499|mid_500_1999|warmup_edge_0_49,late_2000_9999|mid_500_1999,1,1,2,0.6666666666666666,0.3333333333333333,0.0,0.5,needs_phase_balanced_rebuild
45,medium,medium_support_train,medium_pseudo_query_dev,medium_attack_eval_report_only,75,28,2250,early_50_499|mid_500_1999,early_50_499|mid_500_1999,early_50_499|mid_500_1999,2,1,3,1.0,1.0,0.0,0.0,phase_overlap_ok
45,heavy,heavy_support_train,heavy_pseudo_query_dev,dev_heavy_query_report_only,23,33,4000,early_50_499|mid_500_1999|warmup_edge_0_49,early_50_499|mid_500_1999|warmup_edge_0_49,late_2000_9999|mid_500_1999,1,1,2,1.0,0.25,0.0,0.5,needs_phase_balanced_rebuild
46,medium,medium_support_train,medium_pseudo_query_dev,medium_attack_eval_report_only,46,66,2250,early_50_499|mid_500_1999,early_50_499|mid_500_1999,early_50_499|mid_500_1999,2,1,3,1.0,1.0,0.0,0.0,phase_overlap_ok
46,heavy,heavy_support_train,heavy_pseudo_query_dev,dev_heavy_query_report_only,21,35,4000,early_50_499|mid_500_1999|warmup_edge_0_49,early_50_499|mid_500_1999|warmup_edge_0_49,late_2000_9999|mid_500_1999,1,1,2,1.0,0.25,0.0,0.5,needs_phase_balanced_rebuild
