strategy,support_rule,support_available_rows,support_used_rows,support_eval_disjoint_by_role,support_selected_by_final_eval,support_selected_by_attack_eval
reset_at_split_boundary,first_32_rows_in_preregistered_attack_support_role,2250,32,True,False,False
train_state_then_eval_online,first_32_rows_in_preregistered_attack_support_role,2250,32,True,False,False
