candidate,held_field,held_value,role,phase,role_kind,rows,attack_threshold,hard_alarm_rate,attack_score_mean,conflict_score_mean,desired_hard_direction,error_rate_for_role
G1_graph_interaction_only_histgb,device_family,iotsim-stream-consumer,id_calib,select,benign_id,0,0.01099529746574664,nan,nan,nan,low,nan
G1_graph_interaction_only_histgb,device_family,iotsim-stream-consumer,ood_val,select,benign_ood,0,0.01099529746574664,nan,nan,nan,low,nan
G1_graph_interaction_only_histgb,device_family,iotsim-stream-consumer,ood_stress,select,hard_ood,3000,0.01099529746574664,1.0,0.9681677278505101,0.026414619679476208,low,1.0
G1_graph_interaction_only_histgb,device_family,iotsim-stream-consumer,support_val,select,attack,0,0.01099529746574664,nan,nan,nan,high,nan
G1_graph_interaction_only_histgb,device_family,iotsim-stream-consumer,same_file_query,select,attack,0,0.01099529746574664,nan,nan,nan,high,nan
G1_graph_interaction_only_histgb,device_family,iotsim-stream-consumer,future_query,select,attack,0,0.01099529746574664,nan,nan,nan,high,nan
G1_graph_interaction_only_histgb,device_family,iotsim-stream-consumer,sealed_final_ood,all,benign_ood_report,0,0.01099529746574664,nan,nan,nan,low,nan
G1_graph_interaction_only_histgb,device_family,iotsim-stream-consumer,sealed_final_attack,all,attack_report,0,0.01099529746574664,nan,nan,nan,high,nan
Z1_zeek_semantic_only_histgb,device_family,iotsim-stream-consumer,id_calib,select,benign_id,0,0.008437389518763489,nan,nan,nan,low,nan
Z1_zeek_semantic_only_histgb,device_family,iotsim-stream-consumer,ood_val,select,benign_ood,0,0.008437389518763489,nan,nan,nan,low,nan
Z1_zeek_semantic_only_histgb,device_family,iotsim-stream-consumer,ood_stress,select,hard_ood,3000,0.008437389518763489,0.933,0.9218975527684902,0.07705244792867734,low,0.933
Z1_zeek_semantic_only_histgb,device_family,iotsim-stream-consumer,support_val,select,attack,0,0.008437389518763489,nan,nan,nan,high,nan
Z1_zeek_semantic_only_histgb,device_family,iotsim-stream-consumer,same_file_query,select,attack,0,0.008437389518763489,nan,nan,nan,high,nan
Z1_zeek_semantic_only_histgb,device_family,iotsim-stream-consumer,future_query,select,attack,0,0.008437389518763489,nan,nan,nan,high,nan
