candidate,role,role_kind,group_col,group_value,rows,hard_alarm_rate,desired_hard_direction,error_rate_for_role,attack_score_mean,conflict_score_mean
M2_raw115_plus_all_external_blocks_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-15,601,1.0,low,1.0,0.33666295930629325,0.2216026772569696
M2_raw115_plus_all_external_blocks_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-14,598,1.0,low,1.0,0.33084124655212455,0.22354755151153505
M2_raw115_plus_all_external_blocks_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-13,597,1.0,low,1.0,0.3330713296882609,0.2228025420168796
M2_raw115_plus_all_external_blocks_histgb,same_file_query,attack,device,combined-cycle,2486,0.831456154465004,high,0.16854384553499602,0.015355268963293412,0.9261526542864484
M2_raw115_plus_all_external_blocks_histgb,sealed_final_ood,benign_ood_report,device,iotsim-ip-camera-street-2,3000,0.4236666666666667,low,0.4236666666666667,0.004204657516007887,0.9954645396391033
N1_netflow_style_only_histgb,future_query,attack,device,combined-cycle,3000,0.518,high,0.482,0.3373667142132593,0.6111715751450123
N1_netflow_style_only_histgb,future_query,attack,device,domotic-monitor,3000,1.0,high,0.0,0.7538807432112605,0.20031948171290567
N1_netflow_style_only_histgb,ood_stress,hard_ood,device,iotsim-stream-consumer-2,3000,1.0,low,1.0,0.9772002285069253,0.014210891242074183
N1_netflow_style_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-15,601,0.27121464226289516,low,0.27121464226289516,0.02650821484573694,0.9591749277432401
N1_netflow_style_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-2,603,0.263681592039801,low,0.263681592039801,0.02807026014519021,0.9596780736912118
N1_netflow_style_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-14,598,0.2608695652173913,low,0.2608695652173913,0.026170780617537876,0.9610919151033572
N1_netflow_style_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-12,601,0.2545757071547421,low,0.2545757071547421,0.02438981571700968,0.9603931599340333
N1_netflow_style_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-13,597,0.23785594639865998,low,0.23785594639865998,0.022848529178809054,0.9652048343657174
N1_netflow_style_only_histgb,same_file_query,attack,device,combined-cycle,2486,0.8740949316170555,high,0.12590506838294446,0.15469593113522925,0.45145311809114647
N1_netflow_style_only_histgb,sealed_final_ood,benign_ood_report,device,iotsim-ip-camera-street-2,3000,0.17233333333333334,low,0.17233333333333334,0.01212475924335807,0.9578427456216216
Z1_zeek_semantic_only_histgb,future_query,attack,device,combined-cycle,3000,0.8476666666666667,high,0.15233333333333332,0.332644953327254,0.5719429084599948
Z1_zeek_semantic_only_histgb,future_query,attack,device,domotic-monitor,3000,0.999,high,0.0010000000000000009,0.876176972103116,0.09270924656530334
Z1_zeek_semantic_only_histgb,ood_stress,hard_ood,device,iotsim-stream-consumer-2,3000,0.933,low,0.933,0.9218975527684902,0.07705244792867734
Z1_zeek_semantic_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-13,597,0.03015075376884422,low,0.03015075376884422,0.0007268350190754626,0.9982968961792956
Z1_zeek_semantic_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-14,598,0.028428093645484948,low,0.028428093645484948,0.0007167438454795885,0.9983063156703909
Z1_zeek_semantic_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-12,601,0.028286189683860232,low,0.028286189683860232,0.0007075533108989707,0.9983192369077792
Z1_zeek_semantic_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-15,601,0.026622296173044926,low,0.026622296173044926,0.0006984527880330896,0.9983361491837539
Z1_zeek_semantic_only_histgb,ood_val,benign_ood,device,iotsim-hydraulic-system-2,603,0.01824212271973466,low,0.01824212271973466,0.0006227089644218829,0.998444376529189
Z1_zeek_semantic_only_histgb,same_file_query,attack,device,combined-cycle,2486,0.0,high,1.0,0.00014377204661397504,0.9967523352381487
Z1_zeek_semantic_only_histgb,sealed_final_ood,benign_ood_report,device,iotsim-ip-camera-street-2,3000,0.007666666666666666,low,0.007666666666666666,0.005931273365233358,0.9498394849265664
