baseline,source_path,setting_type,threshold_policy,auc,final_ood_alarm,attack_detection,feasible_rate,reuse_status,note
fixed_baseline_da_only,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\original100_fewshot_official_control_2026-04-22\original100_fewshot_official_control_focus.csv,current_primary_low_ood_split,guarded_id_calib_and_ood_val_target1pct,0.8063651636363636,0.0108,0.0029090909090909,0.0,exact_current_protocol_reusable,dA official reference baseline; score cache also available and aligned.
fixed_baseline_original100_lr_16shot,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\fewshot_seed_stability_pack_2026-04-30\paper_facing_table.csv,current_primary_low_ood_split,guarded_id_calib_and_ood_val_target1pct,0.9906719854545454,0.0044399999999999,0.9675636363636364,1.0,exact_current_protocol_reusable,"Official original100 few-shot control baseline; raw LR decision scores not retained, but metrics are reusable."
fixed_baseline_original100_lr_32shot,D:\study\paper\anomaly_detection\paper04\worktrees\kitnet-exp-mainline\runs\fewshot_seed_stability_pack_2026-04-30\paper_facing_table.csv,current_primary_low_ood_split,guarded_id_calib_and_ood_val_target1pct,0.9846152290909091,0.00652,0.9406545454545456,1.0,exact_current_protocol_reusable,"Official original100 few-shot control baseline; raw LR decision scores not retained, but metrics are reusable."
fixed_baseline_transformer_only,D:\study\paper\anomaly_detection\paper04\KitNET-py-master\KitNET-py-master\runs\frontend100_joint_eval_stage1_2026-03-31\joint_eval_results.csv,legacy_partial_id_cache_low_ood_auxiliary,calibrated_budget5000_target1pct,0.67549184,0.0147333333333333,0.0012,N/A,auxiliary_only_not_exact_current_primary_split,"Transformer OOD/attack result exists, but ID cache used for threshold has 5000 rows, not current 50k primary split."
