index,object_label,detector_family,score_label,policy_name,L,id_alarm_ratio_mean,id_alarm_ratio_std,id_alarm_ratio_count,ood_alarm_ratio_eval_mean,ood_alarm_ratio_eval_std,ood_alarm_ratio_eval_count,attack_detection_high_purity_mean,attack_detection_high_purity_std,attack_detection_high_purity_count,attack_detection_boundary_mean,attack_detection_boundary_std,attack_detection_boundary_count,roc_auc_attack_high_vs_ood_eval_mean,roc_auc_attack_high_vs_ood_eval_std,roc_auc_attack_high_vs_ood_eval_count
13,lstm_ae_L4_full,lstm_ae,rmse_full_sequence,fixed_id_q99,4,0.01,0.0,3,0.8108066057655976,0.08324945147271912,3,0.9100567602969001,0.0195283051872735,3,1.0,0.0,3,0.703460849352231,0.022727084190637473,3
14,lstm_ae_L4_full,lstm_ae,rmse_full_sequence,naive_calibrated_budget5000_target1pct,4,0.0,0.0,3,0.015603120624124825,0.0,3,0.0,0.0,3,0.0,0.0,3,0.703460849352231,0.022727084190637473,3
15,lstm_ae_L4_last,lstm_ae,rmse_last_window,det_floor_50pct_min_alarm,4,0.0014,0.00034641016151377556,3,0.11633437798670844,0.03497760752220731,3,0.5014311356910688,0.0009690478996476808,3,0.9252120277563609,0.012878406390508905,3,0.7141294831841091,0.005157507955362962,3
16,lstm_ae_L4_last,lstm_ae,rmse_last_window,fixed_id_q99,4,0.01,0.0,3,0.6730457202551622,0.040397590441007186,3,0.8311259884538883,0.008474249594545043,3,0.9835517861732201,0.0016049853503979008,3,0.7141294831841091,0.005157507955362962,3
17,lstm_ae_L4_last,lstm_ae,rmse_last_window,naive_calibrated_budget5000_target1pct,4,0.0,0.0,3,0.014869640594785622,0.0,3,0.00043661766846165044,0.0,3,0.0,0.0,3,0.7141294831841091,0.005157507955362962,3
18,lstm_ae_L8_full,lstm_ae,rmse_full_sequence,det_floor_50pct_min_alarm,8,6.666666666666667e-05,0.00011547005383792516,3,0.15251561839969763,0.0013007494587527544,3,0.5020618056566245,0.0011763795326232497,3,0.9277820611667952,0.006995968948247809,3,0.7175302079633799,0.03005767492602502,3
19,lstm_ae_L8_full,lstm_ae,rmse_full_sequence,fixed_id_q99,8,0.01,0.0,3,0.9804575468551991,0.03190476886124839,3,0.9922864211905109,0.01310903700587988,3,1.0,0.0,3,0.7175302079633799,0.03005767492602502,3
20,lstm_ae_L8_full,lstm_ae,rmse_full_sequence,naive_calibrated_budget5000_target1pct,8,0.0,0.0,3,0.01327286066831188,0.0,3,0.0,0.0,3,0.0,0.0,3,0.7175302079633799,0.03005767492602502,3
21,lstm_ae_L8_last,lstm_ae,rmse_last_window,det_floor_50pct_min_alarm,8,0.0009333333333333333,0.0006110100926607787,3,0.13688610240334378,0.10112956578143481,3,0.5009945180226071,0.0008527820225705564,3,0.8866615265998458,0.025559883506940287,3,0.7085922265268124,0.13283851842494715,3
22,lstm_ae_L8_last,lstm_ae,rmse_last_window,fixed_id_q99,8,0.01,0.0,3,0.6792503168145134,0.1914811375553101,3,0.8320477368650852,0.06530949988896016,3,0.9848368028784374,0.008244160849316567,3,0.7085922265268124,0.13283851842494715,3
23,lstm_ae_L8_last,lstm_ae,rmse_last_window,naive_calibrated_budget5000_target1pct,8,0.0,0.0,3,0.014873607683585673,0.0,3,0.00043661766846165044,0.0,3,0.0,0.0,3,0.7085922265268124,0.13283851842494715,3
