index,n_seed,raw_q,id_q,ood_alarm_ratio_eval_mean,ood_alarm_ratio_eval_std,ood_alarm_ratio_eval_count,attack_detection_high_purity_mean,attack_detection_high_purity_std,attack_detection_high_purity_count,id_alarm_ratio_mean,id_alarm_ratio_std,id_alarm_ratio_count,roc_auc_attack_high_vs_ood_eval_mean,roc_auc_attack_high_vs_ood_eval_std,roc_auc_attack_high_vs_ood_eval_count
0,1,0.998,0.99,0.4626666666666666,0.29716979059864823,3,0.8831805171493717,0.07677650380988979,3,0.01,0.0,3,0.8119502967383042,0.12024978545707996,3
1,1,0.998,0.995,0.32451111111111114,0.20141612352245988,3,0.754766409547373,0.1720999309841382,3,0.005,0.0,3,0.8119502967383042,0.12024978545707996,3
2,1,0.998,0.997,0.2008888888888889,0.10884127757291213,3,0.683694755736671,0.2021854294722173,3,0.0030000000000000005,0.0,3,0.8119502967383042,0.12024978545707996,3
3,1,0.999,0.99,0.4001111111111111,0.25378882151490817,3,0.8043952845291806,0.1314083789771883,3,0.01,0.0,3,0.8225139022299843,0.1011858929091369,3
4,1,0.999,0.995,0.19566666666666666,0.15700659575671055,3,0.699655557172658,0.23708376623554314,3,0.005,0.0,3,0.8225139022299843,0.1011858929091369,3
5,1,0.999,0.997,0.12777777777777777,0.0649502487663813,3,0.6227623344491341,0.2628695019617732,3,0.0030000000000000005,0.0,3,0.8225139022299843,0.1011858929091369,3
6,1,0.9995,0.99,0.38164444444444445,0.23708197675846995,3,0.7965846795711444,0.13637687880807273,3,0.01,0.0,3,0.8227274341435017,0.09970760229171591,3
7,1,0.9995,0.995,0.18033333333333332,0.13637629314999483,3,0.691214282249066,0.23806828703615596,3,0.005,0.0,3,0.8227274341435017,0.09970760229171591,3
8,1,0.9995,0.997,0.12017777777777777,0.054241654077259074,3,0.6103429874351137,0.2618129804985737,3,0.0030000000000000005,0.0,3,0.8227274341435017,0.09970760229171591,3
9,2,0.998,0.99,0.46948888888888884,0.22050141177006688,3,0.915975355358269,0.04776355460555183,3,0.01,0.0,3,0.862188049612704,0.04056062885580054,3
10,2,0.998,0.995,0.2367111111111111,0.1590949448646357,3,0.8537330810653471,0.11872905686836939,3,0.005,0.0,3,0.862188049612704,0.04056062885580054,3
11,2,0.998,0.997,0.14144444444444446,0.04969258086065357,3,0.8060447290544802,0.14334544642791733,3,0.0030000000000000005,0.0,3,0.862188049612704,0.04056062885580054,3
12,2,0.999,0.99,0.2856,0.13375739231907896,3,0.8824043079609956,0.09239608883914578,3,0.01,0.0,3,0.8633990944226135,0.039049318939606045,3
13,2,0.999,0.995,0.14286666666666667,0.04273988509317471,3,0.8037646145636249,0.16458680166015402,3,0.005,0.0,3,0.8633990944226135,0.039049318939606045,3
14,2,0.999,0.997,0.10693333333333332,0.011657520224206247,3,0.7463251346237811,0.17237134946309657,3,0.0030000000000000005,0.0,3,0.8633990944226135,0.039049318939606045,3
15,2,0.9995,0.99,0.2552666666666667,0.12937069906968027,3,0.8731383107747538,0.10012784741444511,3,0.01,0.0,3,0.8624263717071751,0.039170290912899565,3
16,2,0.9995,0.995,0.1338,0.03603356459993623,3,0.792412555183622,0.16494836206666905,3,0.005,0.0,3,0.8624263717071751,0.039170290912899565,3
17,2,0.9995,0.997,0.10351111111111111,0.009819330896718943,3,0.7265318003201863,0.16509813171237553,3,0.0030000000000000005,0.0,3,0.8624263717071751,0.039170290912899565,3
18,3,0.998,0.99,0.4866666666666667,,1,0.9378547518556251,,1,0.01,,1,0.8779940814049385,,1
19,3,0.998,0.995,0.175,,1,0.9008877892592053,,1,0.005,,1,0.8779940814049385,,1
20,3,0.998,0.997,0.11993333333333334,,1,0.818803667588415,,1,0.003,,1,0.8779940814049385,,1
21,3,0.999,0.99,0.23073333333333335,,1,0.9202445058943385,,1,0.01,,1,0.8780930189686121,,1
22,3,0.999,0.995,0.12606666666666666,,1,0.8444185708048318,,1,0.005,,1,0.8780930189686121,,1
23,3,0.999,0.997,0.10433333333333333,,1,0.7230388589724931,,1,0.003,,1,0.8780930189686121,,1
24,3,0.9995,0.99,0.20426666666666668,,1,0.9110755348566438,,1,0.01,,1,0.8769834667442876,,1
25,3,0.9995,0.995,0.12306666666666667,,1,0.8244796972784165,,1,0.005,,1,0.8769834667442876,,1
26,3,0.9995,0.997,0.10066666666666667,,1,0.6956774850822297,,1,0.003,,1,0.8769834667442876,,1
