threshold,id_alarm_ratio,ood_alarm_ratio_full,ood_alarm_ratio_eval,attack_detection_all,attack_detection_high_purity,attack_detection_boundary,object_label,score_label,subset,n_seed,relative_inference_cost,raw_q,id_q,policy_name,threshold_source,roc_auc_attack_high_vs_ood_eval
1.0,0.01,0.48125,0.4861333333333333,0.7508,0.6824334158055596,0.9552814186584425,mean_gate_n1_rawq0p9995_idq0p99,mean_gate,101,1,1,0.9995,0.99,fixed_id_q0p99,ID-only quantile of subset mean gate score,0.7092994032891865
1.0996410945207735,0.005,0.11,0.1116,0.5816,0.458739630330374,0.9043947571318427,mean_gate_n1_rawq0p9995_idq0p995,mean_gate,101,1,1,0.9995,0.995,fixed_id_q0p995,ID-only quantile of subset mean gate score,0.7092994032891865
1.1308126808812413,0.003,0.0938,0.09626666666666667,0.5096,0.36384805705137535,0.8689282960678488,mean_gate_n1_rawq0p9995_idq0p997,mean_gate,101,1,1,0.9995,0.997,fixed_id_q0p997,ID-only quantile of subset mean gate score,0.7092994032891865
1.0,0.01,0.48855,0.49346666666666666,0.7577,0.6914568476204337,0.9560524286815728,mean_gate_n1_rawq0p999_idq0p99,mean_gate,101,1,1,0.999,0.99,fixed_id_q0p99,ID-only quantile of subset mean gate score,0.707396933973706
1.0996410945207735,0.005,0.117,0.1184,0.5859,0.46281472856934947,0.9136468774094063,mean_gate_n1_rawq0p999_idq0p995,mean_gate,101,1,1,0.999,0.995,fixed_id_q0p995,ID-only quantile of subset mean gate score,0.707396933973706
1.1308126808812413,0.003,0.09625,0.0986,0.5149,0.370106243632659,0.8758673862760216,mean_gate_n1_rawq0p999_idq0p997,mean_gate,101,1,1,0.999,0.997,fixed_id_q0p997,ID-only quantile of subset mean gate score,0.707396933973706
1.0,0.01,0.61525,0.6208,0.9127,0.9016154853733082,0.9622205088666153,mean_gate_n1_rawq0p998_idq0p99,mean_gate,101,1,1,0.998,0.99,fixed_id_q0p99,ID-only quantile of subset mean gate score,0.6745980982874885
1.0996410945207735,0.005,0.46105,0.46573333333333333,0.6918,0.5988939019065638,0.9521973785659213,mean_gate_n1_rawq0p998_idq0p995,mean_gate,101,1,1,0.998,0.995,fixed_id_q0p995,ID-only quantile of subset mean gate score,0.6745980982874885
1.1308126808812413,0.003,0.30015,0.2984,0.6228,0.5042934070732062,0.9468003084040093,mean_gate_n1_rawq0p998_idq0p997,mean_gate,101,1,1,0.998,0.997,fixed_id_q0p997,ID-only quantile of subset mean gate score,0.6745980982874885
1.0,0.01,0.10905,0.11026666666666667,0.8042,0.7597147431232717,0.9375481881264457,mean_gate_n1_rawq0p9995_idq0p99,mean_gate,202,1,1,0.9995,0.99,fixed_id_q0p99,ID-only quantile of subset mean gate score,0.8623485470334253
1.0552982187319266,0.005,0.08945,0.092,0.7406,0.6803958666860719,0.9020817270624518,mean_gate_n1_rawq0p9995_idq0p995,mean_gate,202,1,1,0.9995,0.995,fixed_id_q0p995,ID-only quantile of subset mean gate score,0.8623485470334253
1.1053102039256117,0.003,0.0789,0.082,0.664,0.58201135205938,0.8635312259059368,mean_gate_n1_rawq0p9995_idq0p997,mean_gate,202,1,1,0.9995,0.997,fixed_id_q0p997,ID-only quantile of subset mean gate score,0.8623485470334253
1.0,0.01,0.1119,0.11286666666666667,0.8152,0.7731043516227624,0.9444872783346183,mean_gate_n1_rawq0p999_idq0p99,mean_gate,202,1,1,0.999,0.99,fixed_id_q0p99,ID-only quantile of subset mean gate score,0.8627620530733033
1.0552982187319266,0.005,0.08985,0.09226666666666666,0.7553,0.6991704264299229,0.9121048573631457,mean_gate_n1_rawq0p999_idq0p995,mean_gate,202,1,1,0.999,0.995,fixed_id_q0p995,ID-only quantile of subset mean gate score,0.8627620530733033
