evaluation_role,dataset,holdout,split_protocol,head_id,representation,seed,seed_group,feature_input,feature_dim,selected_config_id,validation_target,attack_detection,final_ood_alarm,id_calib_alarm,ood_val_alarm,threshold,feasible_under_1pct,roc_auc_attack_vs_ood,pr_auc_attack_vs_ood,tpr_at_fpr_1pct,pauc_fpr_1pct,train_time,inference_time,param_count,final_eval_used_for_selection,threshold_uses_final_eval,hyperparameter_uses_final_eval,score_direction_fixed,score_direction_or_objective_warning,uses_ood_train_guard,uses_attack_support,uses_ood_val_threshold,objective_type,implementation_equivalence_level,support_count,attack_eval_size,final_ood_eval_size
locked_smoke,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_PrototypeMargin,source_rich_top64,44,main_42_46,selected_source_rich_top64,64,proto_idood_standard_lr_t0050,0.005,0.001998001998001998,0.0036,0.0004,0.0045,4.754791661944802,True,0.9371507492507493,0.4739243479392128,0.017982017982017984,0.5005597417657719,0.059011800040025264,0.021626600006129593,198,False,False,False,False,False,True,True,True,prototype_margin_low_alert_metric,model_specific_lite,32,1001,10000
locked_smoke,locked_harder_holdout,holdout_bin_6,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_PrototypeMargin,original100,44,main_42_46,original100,100,proto_idood_standard_direct_t0100,0.01,0.0,0.0162,0.0,0.01,4.4526089092490455,False,0.7960673826173826,0.23073064030778373,0.0,0.49748743718592964,0.030366200022399426,0.03087519999826327,300,False,False,False,False,False,True,True,True,prototype_margin_low_alert_metric,model_specific_lite,32,1001,10000
locked_smoke,locked_harder_holdout,holdout_bin_7,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_PrototypeMargin,source_rich_top64,42,main_42_46,selected_source_rich_top64,64,proto_idood_standard_direct_t0100,0.01,0.25942156003505695,0.0044,0.0098,0.0035,0.9019225001335132,True,0.9833685363716038,0.8189763867940039,0.5074496056091148,0.6329103889297495,0.01690369995776564,0.01724430004833266,192,False,False,False,False,False,True,True,True,prototype_margin_low_alert_metric,model_specific_lite,32,1141,10000
locked_smoke,locked_harder_holdout,holdout_bin_7,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_PrototypeMargin,original100,42,main_42_46,original100,100,proto_idood_robust_lr_t0075,0.0075,0.0,0.0072,0.0072,0.005,1.3174998848871995,True,0.40322230499561795,0.14795601832555874,0.0,0.49748743718592964,0.11110939999343827,0.029262600000947714,306,False,False,False,False,False,True,True,True,prototype_margin_low_alert_metric,model_specific_lite,32,1141,10000
locked_smoke,locked_harder_holdout,holdout_bin_7,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_PrototypeMargin,source_rich_top64,43,main_42_46,selected_source_rich_top64,64,proto_idood_standard_direct_t0100,0.01,0.25942156003505695,0.0044,0.0098,0.0035,0.9019225001335132,True,0.9833685363716038,0.8189763867940039,0.5074496056091148,0.6329103889297495,0.01905770000303164,0.016623899980913848,192,False,False,False,False,False,True,True,True,prototype_margin_low_alert_metric,model_specific_lite,32,1141,10000
locked_smoke,locked_harder_holdout,holdout_bin_7,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_PrototypeMargin,original100,43,main_42_46,original100,100,proto_idood_robust_lr_t0075,0.0075,0.0,0.0072,0.0072,0.005,1.3174998848871995,True,0.40322230499561795,0.14795601832555874,0.0,0.49748743718592964,0.1064574999618344,0.02921860001515597,306,False,False,False,False,False,True,True,True,prototype_margin_low_alert_metric,model_specific_lite,32,1141,10000
locked_smoke,locked_harder_holdout,holdout_bin_7,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_PrototypeMargin,source_rich_top64,44,main_42_46,selected_source_rich_top64,64,proto_idood_standard_lr_t0050,0.005,0.1656441717791411,0.0079,0.0016,0.005,2.3041201886938296,True,0.9107531989482911,0.620139480344513,0.17703768624014024,0.5533319533689481,0.056744600005913526,0.0186960999853909,198,False,False,False,False,False,True,True,True,prototype_margin_low_alert_metric,model_specific_lite,32,1141,10000
locked_smoke,locked_harder_holdout,holdout_bin_7,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_PrototypeMargin,original100,44,main_42_46,original100,100,proto_idood_standard_direct_t0100,0.01,0.0,0.0166,0.0,0.01,4.795045247435421,False,0.8758405346187554,0.34083418542414695,0.0,0.49748743718592964,0.029515800008084625,0.029987099987920374,300,False,False,False,False,False,True,True,True,prototype_margin_low_alert_metric,model_specific_lite,32,1141,10000
locked_smoke,locked_harder_holdout,holdout_bin_8,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_PrototypeMargin,source_rich_top64,42,main_42_46,selected_source_rich_top64,64,proto_id_standard_direct_t0100,0.01,0.023474178403755867,0.015,0.0016,0.01,1.3402898654937658,False,0.6886509389671361,0.0712152650389955,0.007042253521126761,0.49936301224432017,0.019711999979335815,0.017000399995595217,192,False,False,False,False,False,True,True,True,prototype_margin_low_alert_metric,model_specific_lite,32,426,10000
locked_smoke,locked_harder_holdout,holdout_bin_8,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_PrototypeMargin,original100,42,main_42_46,original100,100,proto_idood_robust_lr_t0075,0.0075,0.0,0.0072,0.0072,0.005,1.476196706452122,True,0.4760543427230047,0.046328456839222924,0.0,0.49748743718592964,0.11795230000279844,0.03147220000391826,306,False,False,False,False,False,True,True,True,prototype_margin_low_alert_metric,model_specific_lite,32,426,10000
locked_smoke,locked_harder_holdout,holdout_bin_8,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_PrototypeMargin,source_rich_top64,43,main_42_46,selected_source_rich_top64,64,proto_id_standard_direct_t0100,0.01,0.023474178403755867,0.015,0.0016,0.01,1.3402898654937658,False,0.6886509389671361,0.0712152650389955,0.007042253521126761,0.49936301224432017,0.016289899998810142,0.01886960002593696,192,False,False,False,False,False,True,True,True,prototype_margin_low_alert_metric,model_specific_lite,32,426,10000
locked_smoke,locked_harder_holdout,holdout_bin_8,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_PrototypeMargin,original100,43,main_42_46,original100,100,proto_idood_robust_lr_t0075,0.0075,0.0,0.0072,0.0072,0.005,1.476196706452122,True,0.4760543427230047,0.046328456839222924,0.0,0.49748743718592964,0.1041131000383757,0.027303899987600744,306,False,False,False,False,False,True,True,True,prototype_margin_low_alert_metric,model_specific_lite,32,426,10000
locked_smoke,locked_harder_holdout,holdout_bin_8,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_PrototypeMargin,source_rich_top64,44,main_42_46,selected_source_rich_top64,64,proto_idood_standard_direct_t0100,0.01,0.01643192488262911,0.0008,0.01,0.0005,1.3695677717626193,True,0.9359467136150235,0.2734125534384607,0.107981220657277,0.5262934390261165,0.01913490000879392,0.016550300002563745,192,False,False,False,False,False,True,True,True,prototype_margin_low_alert_metric,model_specific_lite,32,426,10000
locked_smoke,locked_harder_holdout,holdout_bin_8,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_PrototypeMargin,original100,44,main_42_46,original100,100,proto_idood_standard_direct_t0100,0.01,0.0,0.0163,0.0,0.01,3.956406079470917,False,0.5351009389671362,0.040108685516464904,0.0,0.49748743718592964,0.03370799997355789,0.03261329996166751,300,False,False,False,False,False,True,True,True,prototype_margin_low_alert_metric,model_specific_lite,32,426,10000
