evaluation_role,dataset,holdout,split_protocol,head_id,representation,seed,seed_group,feature_input,feature_dim,selected_config_id,validation_target,attack_detection,final_ood_alarm,id_calib_alarm,ood_val_alarm,threshold,feasible_under_1pct,roc_auc_attack_vs_ood,pr_auc_attack_vs_ood,tpr_at_fpr_1pct,pauc_fpr_1pct,train_time,inference_time,param_count,final_eval_used_for_selection,threshold_uses_final_eval,hyperparameter_uses_final_eval,score_direction_fixed,score_direction_or_objective_warning,uses_ood_train_guard,uses_attack_support,uses_ood_val_threshold,objective_type,implementation_equivalence_level,support_count,attack_eval_size,final_ood_eval_size
locked_smoke,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_LR,source_rich_top64,42,main_42_46,selected_source_rich_top64,64,lr_ref_target0100,0.01,0.9680729760547321,0.0045,0.01,0.0005,-4.102580408336336,True,0.9811110604332952,0.9727854578991534,0.9680729760547321,0.9830738641898202,0.31815470004221424,0.009814899996854365,65,False,False,False,False,False,True,True,True,weighted_linear_attack_vs_id_ood,reference_equivalent,32,877,10000
locked_smoke,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_DevNetScore,source_rich_top64,42,main_42_46,selected_source_rich_top64,64,devscore_h8_m1_lamO2_lamS2_t0100,0.01,0.06043329532497149,0.0129,0.0098,0.007,0.01227312670098603,False,0.5909909920182439,0.14465521519269384,0.04561003420752566,0.5088842158340161,0.02357799996389076,0.010235299996566027,529,False,False,False,False,False,True,True,True,devnet_style_scalar_score_margin_lite_random_hidden_ridge,model_specific_lite,32,877,10000
locked_smoke,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_DeepSADLite,source_rich_top64,42,main_42_46,selected_source_rich_top64,64,dslite_linear_lA2_lO4_t0050,0.005,0.02280501710376283,0.0023,0.0048,0.0005,133.26164538574255,True,0.811755701254276,0.2492303664864663,0.08893956670467502,0.5197137340064061,0.026278499979525805,0.012221000040881336,192,False,False,False,False,False,True,True,True,deepsad_style_normal_compact_attack_far_lite,model_specific_lite,32,877,10000
locked_smoke,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_HistGB_Conservative,source_rich_top64,42,main_42_46,selected_source_rich_top64,64,histgb_d2_lr005_l2p1_ood4_sup4_t0050,0.005,0.9657924743443558,0.0054,0.0042,0.0035,0.0011483800758798999,True,0.9959436716077538,0.9766696701391605,0.9680729760547321,0.9827529895773051,0.1547710999730043,0.01818810001714155,60,False,False,False,False,False,True,True,True,conservative_low_alert_weighted_histgb,model_specific_lite,32,877,10000
locked_smoke,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_PrototypeMargin,source_rich_top64,42,main_42_46,selected_source_rich_top64,64,proto_idood_standard_lr_t0050,0.005,0.010262257696693273,0.0033,0.0004,0.0045,4.531518807006911,True,0.9362510832383123,0.44284936237051425,0.01596351197263398,0.5021229293560161,0.05369480000808835,0.02131020004162565,198,False,False,False,False,False,True,True,True,prototype_margin_low_alert_metric,model_specific_lite,32,877,10000
locked_smoke,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_LR,original100,42,main_42_46,original100,100,lr_ref_target0100,0.01,0.9669327251995439,0.0019,0.0098,0.0,-2.4168281315697695,True,0.9955963511972634,0.9750327295349486,0.9828962371721779,0.9591572457498438,1.1106636000331491,0.014877600013278425,101,False,False,False,False,False,True,True,True,weighted_linear_attack_vs_id_ood,reference_equivalent,32,877,10000
locked_smoke,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_DevNetScore,original100,42,main_42_46,original100,100,devscore_h16_m1_lamO2_lamS4_t0100,0.01,0.2998859749144812,0.0164,0.01,0.0095,0.05345826589822413,False,0.8419051311288485,0.48100999112992965,0.15963511972633979,0.5461801596351197,0.0378459999919869,0.01925370004028082,1633,False,False,False,False,False,True,True,True,devnet_style_scalar_score_margin_lite_random_hidden_ridge,model_specific_lite,32,877,10000
locked_smoke,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_DeepSADLite,original100,42,main_42_46,original100,100,dslite_diag_lA2_lO2_t0100,0.01,0.0,0.0173,0.0,0.01,1811.1566924743634,False,0.8931015393386544,0.314349372572045,0.0,0.49748743718592964,0.039722700021229684,0.019218900008127093,200,False,False,False,False,False,True,True,True,deepsad_style_normal_compact_attack_far_lite,model_specific_lite,32,877,10000
locked_smoke,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_HistGB_Conservative,original100,42,main_42_46,original100,100,histgb_d2_lr003_l2p0_ood4_sup2_t0100,0.01,0.9988597491448119,0.002,0.0086,0.0,0.00435950121740921,True,0.9988457240592931,0.9987924005528164,0.9988597491448119,0.9987222314537338,0.14101379999192432,0.010950699972454458,60,False,False,False,False,False,True,True,True,conservative_low_alert_weighted_histgb,model_specific_lite,32,877,10000
locked_smoke,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,LOW_GUARD_PrototypeMargin,original100,42,main_42_46,original100,100,proto_idood_robust_lr_t0075,0.0075,0.0,0.0072,0.0072,0.005,1.3419575931487773,True,0.4445687571265678,0.12368127205995302,0.0,0.49748743718592964,0.1073651000042446,0.03011210000840947,306,False,False,False,False,False,True,True,True,prototype_margin_low_alert_metric,model_specific_lite,32,877,10000
