head_id,feasible_rate_original100,feasible_rate_source_rich_top64,locked_detection_mean_original100,locked_detection_mean_source_rich_top64,locked_detection_min_original100,locked_detection_min_source_rich_top64,locked_ood_alarm_max_original100,locked_ood_alarm_max_source_rich_top64
LOW_GUARD_DeepSADLite,0.0,1.0,0.00019561815336463224,0.026290044457108697,0.0,0.0,0.0176,0.0084
LOW_GUARD_DevNetScore,0.3333333333333333,0.75,0.2220626601484452,0.28625485467158096,0.02112676056338028,0.12206572769953052,0.0189,0.0129
LOW_GUARD_HistGB_Conservative,1.0,1.0,0.9942611706346911,0.6597510920512961,0.9780907668231612,0.0406885758998435,0.0051,0.0066
LOW_GUARD_LR,1.0,1.0,0.9447512957065772,0.949705362333308,0.8356807511737089,0.8826291079812206,0.0053,0.0045
LOW_GUARD_PrototypeMargin,0.6666666666666666,0.8333333333333334,0.0,0.06708682251386434,0.0,0.004995004995004995,0.0166,0.015
