head_id,old_proxy_head,old_locked_detection_mean,new_locked_detection_mean,detection_mean_delta,old_locked_detection_min,new_locked_detection_min,detection_min_delta,old_locked_ood_alarm_max,new_locked_ood_alarm_max,ood_alarm_delta,old_feasible_rate,new_feasible_rate,feasible_rate_delta,model_specific_objective_improves_transfer
LOW_GUARD_DevNetScore,DevNet_like_MLP,0.947497,0.28625485467158096,-0.6612421453284191,0.895305,0.12206572769953052,-0.7732392723004695,0.0101,0.0129,0.0028000000000000004,0.975,0.75,-0.22499999999999998,False
LOW_GUARD_DeepSADLite,DeepSAD_like_center,0.03765,0.026290044457108697,-0.011359955542891306,0.002805,0.0,-0.002805,0.0134,0.0084,-0.005000000000000001,0.25,1.0,0.75,True
LOW_GUARD_HistGB_Conservative,HistGB_shallow,0.755626,0.6597510920512961,-0.0958749079487039,0.230047,0.0406885758998435,-0.1893584241001565,0.0139,0.0066,-0.007299999999999999,0.675,1.0,0.32499999999999996,True
LOW_GUARD_PrototypeMargin,Prototype_metric_LR,0.219025,0.06708682251386434,-0.15193817748613564,0.042254,0.004995004995004995,-0.03725899500499501,0.0109,0.015,0.0040999999999999995,0.75,0.8333333333333334,0.08333333333333337,True
