head_id,representation,dataset,holdout,seed,seed_group,config_id,validation_target,support_train_size,support_validation_size,support_val_detection,support_val_margin_median,ood_val_alarm_at_selection,id_calib_alarm_at_selection,ood_val_q99,selection_feasible_on_ood_val,config_param_count,score_direction_fixed,score_direction_or_objective_warning,selection_used_final_eval,selected,selection_rule,rejection_reason
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_5,43,main_42_46,devscore_h16_m2_lamO4_lamS4_t0050,0.005,24,8,0.25,-0.02589939228209699,0.005,0.0022,0.036261921810023176,True,1633,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_5,44,main_42_46,devscore_h8_m1_lamO2_lamS2_t0100,0.01,24,8,0.625,0.0020583517376091265,0.0055,0.0098,0.013727094857713614,True,529,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_5,44,main_42_46,devscore_h16_m1_lamO2_lamS4_t0100,0.01,24,8,0.75,0.039285581368998186,0.0045,0.0098,0.03987286520602861,True,1057,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_5,44,main_42_46,devscore_h8_m2_lamO4_lamS2_t0075,0.0075,24,8,0.375,-0.0028394700865816153,0.002,0.0074,0.01630793813025797,True,529,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_5,44,main_42_46,devscore_h16_m2_lamO4_lamS4_t0050,0.005,24,8,0.75,0.04641374358869374,0.001,0.005,0.05044996868599639,True,1057,False,False,False,True,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,selected
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_5,44,main_42_46,devscore_h8_m1_lamO2_lamS2_t0100,0.01,24,8,0.375,-0.0014563142646895457,0.003,0.01,0.01117738638982749,True,817,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_5,44,main_42_46,devscore_h16_m1_lamO2_lamS4_t0100,0.01,24,8,0.0,-0.02053205500008607,0.01,0.0006,0.04939894414321841,True,1633,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_5,44,main_42_46,devscore_h8_m2_lamO4_lamS2_t0075,0.0075,24,8,0.5,-0.0012706709260135556,0.0025,0.0074,0.016360591553900065,True,817,False,False,False,True,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,selected
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_5,44,main_42_46,devscore_h16_m2_lamO4_lamS4_t0050,0.005,24,8,0.0,-0.03217201527739501,0.005,0.0008,0.057257988741659716,True,1633,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_6,42,main_42_46,devscore_h8_m1_lamO2_lamS2_t0100,0.01,24,8,0.5,-0.0009048480777155451,0.004,0.01,0.010368980586785335,True,529,False,False,False,True,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,selected
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_6,42,main_42_46,devscore_h16_m1_lamO2_lamS4_t0100,0.01,24,8,0.375,-0.005509458764818776,0.0045,0.0098,0.029482636440508733,True,1057,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_6,42,main_42_46,devscore_h8_m2_lamO4_lamS2_t0075,0.0075,24,8,0.5,-0.0027173058216834077,0.0025,0.0074,0.01527963318284064,True,529,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_6,42,main_42_46,devscore_h16_m2_lamO4_lamS4_t0050,0.005,24,8,0.0,-0.011370327244052705,0.001,0.005,0.03809603527788254,True,1057,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_6,42,main_42_46,devscore_h8_m1_lamO2_lamS2_t0100,0.01,24,8,0.125,-0.014762580552232599,0.005,0.01,0.00912130343370767,True,817,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_6,42,main_42_46,devscore_h16_m1_lamO2_lamS4_t0100,0.01,24,8,0.5,-0.0046650571367542505,0.01,0.0094,0.04183377988338671,True,1633,False,False,False,True,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,selected
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_6,42,main_42_46,devscore_h8_m2_lamO4_lamS2_t0075,0.0075,24,8,0.125,-0.023537700501833687,0.0035,0.0074,0.012227987945319306,True,817,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_6,42,main_42_46,devscore_h16_m2_lamO4_lamS4_t0050,0.005,24,8,0.375,-0.021278351653142222,0.0015,0.005,0.0543759879251744,True,1633,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_6,43,main_42_46,devscore_h8_m1_lamO2_lamS2_t0100,0.01,24,8,0.125,-0.008609635520268015,0.0,0.0098,0.006429909895830714,True,529,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_6,43,main_42_46,devscore_h16_m1_lamO2_lamS4_t0100,0.01,24,8,0.5,0.0009153599043441978,0.0055,0.0098,0.03954528152724353,True,1057,False,False,False,True,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,selected
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_6,43,main_42_46,devscore_h8_m2_lamO4_lamS2_t0075,0.0075,24,8,0.125,-0.01233044592550292,0.0,0.0074,0.009258008197201371,True,529,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_6,43,main_42_46,devscore_h16_m2_lamO4_lamS4_t0050,0.005,24,8,0.5,-0.006224674574030149,0.004,0.0048,0.054094186691158716,True,1057,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_6,43,main_42_46,devscore_h8_m1_lamO2_lamS2_t0100,0.01,24,8,0.25,-0.01493869489690434,0.01,0.0038,0.01590960061332751,True,817,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_6,43,main_42_46,devscore_h16_m1_lamO2_lamS4_t0100,0.01,24,8,0.25,-0.006942104734114579,0.01,0.01,0.02740994814034217,True,1633,False,False,False,True,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,selected
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_6,43,main_42_46,devscore_h8_m2_lamO4_lamS2_t0075,0.0075,24,8,0.25,-0.022633755432649914,0.0075,0.003,0.02222184013502501,True,817,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,original100,locked_harder_holdout,holdout_bin_6,43,main_42_46,devscore_h16_m2_lamO4_lamS4_t0050,0.005,24,8,0.25,-0.021443084170795507,0.005,0.0022,0.036261921810023176,True,1633,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
LOW_GUARD_DevNetScore,source_rich_top64,locked_harder_holdout,holdout_bin_6,44,main_42_46,devscore_h8_m1_lamO2_lamS2_t0100,0.01,24,8,0.625,0.0006356823537024226,0.0,0.0098,0.007993226323579725,True,529,False,False,False,False,ood_val_feasible_then_support_margin_then_support_detection_then_lower_ood_tail_then_simplicity,lower_validation_rank
