seed,active_label_budget,selected_gate_name,selected_radius_quantile,selected_margin,dev_review_budget,dev_relaxed_review_budget,ood_val_review,review_budget_pass,relaxed_review_budget_pass
42,64,no_gate,0.95,0.0,0.1,0.2,0.0,True,True
42,128,no_gate,0.95,0.0,0.1,0.2,0.0,True,True
43,64,no_gate,0.95,0.0,0.1,0.2,0.0,True,True
43,128,no_gate,0.95,0.0,0.1,0.2,0.0,True,True
44,64,no_gate,0.95,0.0,0.1,0.2,0.0,True,True
44,128,no_gate,0.95,0.0,0.1,0.2,0.0,True,True
45,64,no_gate,0.95,0.0,0.1,0.2,0.0,True,True
45,128,no_gate,0.95,0.0,0.1,0.2,0.0,True,True
46,64,no_gate,0.95,0.0,0.1,0.2,0.0,True,True
46,128,no_gate,0.95,0.0,0.1,0.2,0.0,True,True
