seed,active_label_budget,gate_name,radius_quantile,margin,id_calib_hard_alarm,id_calib_review,ood_val_hard_alarm,ood_val_review,support_medium_hard_detection,support_heavy_hard_detection,dev_support_attack_min,dev_feasible,dev_relaxed_feasible,dev_selection_score,selection_uses_final_ood,selection_uses_attack_eval,selection_uses_dev_heavy_query
42,64,no_gate,0.95,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True,True,1.0,False,False,False
42,64,soft_benign_veto,0.75,-0.25,0.0,0.0,0.0,0.0,0.625,1.0,0.625,True,True,0.625,False,False,False
42,64,soft_benign_veto,0.75,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,True,True,0.5,False,False,False
42,64,soft_benign_veto,0.75,0.25,0.0,0.0,0.0,0.0,0.46875,1.0,0.46875,True,True,0.46875,False,False,False
42,64,soft_benign_veto,0.75,0.5,0.0,0.0,0.0,0.0,0.4375,1.0,0.4375,True,True,0.4375,False,False,False
42,64,soft_benign_veto,0.75,0.75,0.0,0.0,0.0,0.0,0.4375,1.0,0.4375,True,True,0.4375,False,False,False
42,64,soft_benign_veto,0.75,1.0,0.0,0.0,0.0,0.0,0.4375,1.0,0.4375,True,True,0.4375,False,False,False
42,64,soft_benign_veto,0.9,-0.25,0.0,0.0,0.0,0.0,0.25,1.0,0.25,True,True,0.25,False,False,False
42,64,soft_benign_veto,0.9,0.0,0.0,0.0,0.0,0.0,0.09375,1.0,0.09375,True,True,0.09375,False,False,False
42,64,soft_benign_veto,0.9,0.25,0.0,0.0,0.0,0.0,0.0625,0.9375,0.0625,True,True,0.0625,False,False,False
42,64,soft_benign_veto,0.9,0.5,0.0,0.0,0.0,0.0,0.0625,0.9375,0.0625,True,True,0.0625,False,False,False
42,64,soft_benign_veto,0.9,0.75,0.0,0.0,0.0,0.0,0.0625,0.9375,0.0625,True,True,0.0625,False,False,False
42,64,soft_benign_veto,0.9,1.0,0.0,0.0,0.0,0.0,0.0625,0.9375,0.0625,True,True,0.0625,False,False,False
42,64,soft_benign_veto,0.95,-0.25,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,True,True,0.0,False,False,False
42,64,soft_benign_veto,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,True,True,0.0,False,False,False
42,64,soft_benign_veto,0.95,0.25,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,True,True,0.0,False,False,False
42,64,soft_benign_veto,0.95,0.5,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,True,True,0.0,False,False,False
42,64,soft_benign_veto,0.95,0.75,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,True,True,0.0,False,False,False
42,64,soft_benign_veto,0.95,1.0,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,True,True,0.0,False,False,False
42,64,attack_advantage_margin,0.75,-0.25,0.0,0.0,0.0,0.0,0.625,1.0,0.625,True,True,0.625,False,False,False
42,64,attack_advantage_margin,0.75,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,True,True,0.5,False,False,False
42,64,attack_advantage_margin,0.75,0.25,0.0,0.0,0.0,0.0,0.4375,1.0,0.4375,True,True,0.4375,False,False,False
42,64,attack_advantage_margin,0.75,0.5,0.0,0.0,0.0,0.0,0.375,1.0,0.375,True,True,0.375,False,False,False
42,64,attack_advantage_margin,0.75,0.75,0.0,0.0,0.0,0.0,0.25,1.0,0.25,True,True,0.25,False,False,False
42,64,attack_advantage_margin,0.75,1.0,0.0,0.0,0.0,0.0,0.21875,1.0,0.21875,True,True,0.21875,False,False,False
42,64,attack_advantage_margin,0.9,-0.25,0.0,0.0,0.0,0.0,0.25,1.0,0.25,True,True,0.25,False,False,False
42,64,attack_advantage_margin,0.9,0.0,0.0,0.0,0.0,0.0,0.09375,1.0,0.09375,True,True,0.09375,False,False,False
42,64,attack_advantage_margin,0.9,0.25,0.0,0.0,0.0,0.0,0.0625,0.9375,0.0625,True,True,0.0625,False,False,False
42,64,attack_advantage_margin,0.9,0.5,0.0,0.0,0.0,0.0,0.0625,0.9375,0.0625,True,True,0.0625,False,False,False
42,64,attack_advantage_margin,0.9,0.75,0.0,0.0,0.0,0.0,0.0625,0.9375,0.0625,True,True,0.0625,False,False,False
42,64,attack_advantage_margin,0.9,1.0,0.0,0.0,0.0,0.0,0.0625,0.9375,0.0625,True,True,0.0625,False,False,False
42,64,attack_advantage_margin,0.95,-0.25,0.0,0.0,0.0,0.0,0.0,0.9375,0.0,True,True,0.0,False,False,False
42,64,attack_advantage_margin,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,True,True,0.0,False,False,False
42,64,attack_advantage_margin,0.95,0.25,0.0,0.0,0.0,0.0,0.0,0.8125,0.0,True,True,0.0,False,False,False
42,64,attack_advantage_margin,0.95,0.5,0.0,0.0,0.0,0.0,0.0,0.8125,0.0,True,True,0.0,False,False,False
42,64,attack_advantage_margin,0.95,0.75,0.0,0.0,0.0,0.0,0.0,0.8125,0.0,True,True,0.0,False,False,False
42,64,attack_advantage_margin,0.95,1.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0,True,True,0.0,False,False,False
42,64,conflict_to_review,0.75,0.0,0.0,0.0,0.0,0.0,0.375,0.75,0.375,True,True,0.375,False,False,False
42,64,conflict_to_review,0.9,0.0,0.0,0.0,0.0,0.0,0.0625,0.8125,0.0625,True,True,0.0625,False,False,False
42,64,conflict_to_review,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.0,True,True,0.0,False,False,False
42,128,no_gate,0.95,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True,True,1.0,False,False,False
42,128,soft_benign_veto,0.75,-0.25,0.0,0.0,0.0,0.0,0.625,1.0,0.625,True,True,0.625,False,False,False
42,128,soft_benign_veto,0.75,0.0,0.0,0.0,0.0,0.0,0.5,1.0,0.5,True,True,0.5,False,False,False
42,128,soft_benign_veto,0.75,0.25,0.0,0.0,0.0,0.0,0.46875,1.0,0.46875,True,True,0.46875,False,False,False
42,128,soft_benign_veto,0.75,0.5,0.0,0.0,0.0,0.0,0.4375,1.0,0.4375,True,True,0.4375,False,False,False
42,128,soft_benign_veto,0.75,0.75,0.0,0.0,0.0,0.0,0.4375,1.0,0.4375,True,True,0.4375,False,False,False
42,128,soft_benign_veto,0.75,1.0,0.0,0.0,0.0,0.0,0.4375,1.0,0.4375,True,True,0.4375,False,False,False
42,128,soft_benign_veto,0.9,-0.25,0.0,0.0,0.0,0.0,0.25,0.9375,0.25,True,True,0.25,False,False,False
42,128,soft_benign_veto,0.9,0.0,0.0,0.0,0.0,0.0,0.09375,0.9375,0.09375,True,True,0.09375,False,False,False
42,128,soft_benign_veto,0.9,0.25,0.0,0.0,0.0,0.0,0.0625,0.9375,0.0625,True,True,0.0625,False,False,False
42,128,soft_benign_veto,0.9,0.5,0.0,0.0,0.0,0.0,0.0625,0.9375,0.0625,True,True,0.0625,False,False,False
42,128,soft_benign_veto,0.9,0.75,0.0,0.0,0.0,0.0,0.0625,0.9375,0.0625,True,True,0.0625,False,False,False
42,128,soft_benign_veto,0.9,1.0,0.0,0.0,0.0,0.0,0.0625,0.9375,0.0625,True,True,0.0625,False,False,False
42,128,soft_benign_veto,0.95,-0.25,0.0,0.0,0.0,0.0,0.0,0.90625,0.0,True,True,0.0,False,False,False
42,128,soft_benign_veto,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.90625,0.0,True,True,0.0,False,False,False
42,128,soft_benign_veto,0.95,0.25,0.0,0.0,0.0,0.0,0.0,0.90625,0.0,True,True,0.0,False,False,False
42,128,soft_benign_veto,0.95,0.5,0.0,0.0,0.0,0.0,0.0,0.90625,0.0,True,True,0.0,False,False,False
