region_id,train_rows,val_rows,radius_quantile,radius,val_distance_mean,val_distance_max,radius_source,uses_final_ood,uses_attack_eval,uses_dev_heavy_query,seed,active_label_budget
attack_medium,96,32,0.75,4.772401332855225,4.527062892913818,7.566286087036133,dev_train_val_only,False,False,False,42,64
attack_medium,96,32,0.9,6.292829990386963,4.527062892913818,7.566286087036133,dev_train_val_only,False,False,False,42,64
attack_medium,96,32,0.95,6.598090171813965,4.527062892913818,7.566286087036133,dev_train_val_only,False,False,False,42,64
attack_heavy,48,16,0.75,4.82930850982666,3.3449583053588867,7.23000431060791,dev_train_val_only,False,False,False,42,64
attack_heavy,48,16,0.9,5.722064018249512,3.3449583053588867,7.23000431060791,dev_train_val_only,False,False,False,42,64
attack_heavy,48,16,0.95,6.2568254470825195,3.3449583053588867,7.23000431060791,dev_train_val_only,False,False,False,42,64
id_benign,2400,600,0.75,1.1595842838287354,0.6724974513053894,3.6277010440826416,dev_train_val_only,False,False,False,42,64
id_benign,2400,600,0.9,1.807188868522644,0.6724974513053894,3.6277010440826416,dev_train_val_only,False,False,False,42,64
id_benign,2400,600,0.95,2.1533219814300537,0.6724974513053894,3.6277010440826416,dev_train_val_only,False,False,False,42,64
ood_benign,1500,1500,0.75,36.56789016723633,732.1731567382812,49496.4375,dev_train_val_only,False,False,False,42,64
ood_benign,1500,1500,0.9,150.1205291748047,732.1731567382812,49496.4375,dev_train_val_only,False,False,False,42,64
ood_benign,1500,1500,0.95,2923.783935546875,732.1731567382812,49496.4375,dev_train_val_only,False,False,False,42,64
attack_medium,96,32,0.75,4.772401332855225,4.527062892913818,7.566286087036133,dev_train_val_only,False,False,False,42,128
attack_medium,96,32,0.9,6.292829990386963,4.527062892913818,7.566286087036133,dev_train_val_only,False,False,False,42,128
attack_medium,96,32,0.95,6.598090171813965,4.527062892913818,7.566286087036133,dev_train_val_only,False,False,False,42,128
attack_heavy,96,32,0.75,3.289105176925659,10.828476905822754,257.619384765625,dev_train_val_only,False,False,False,42,128
attack_heavy,96,32,0.9,6.257691860198975,10.828476905822754,257.619384765625,dev_train_val_only,False,False,False,42,128
attack_heavy,96,32,0.95,15.518854141235352,10.828476905822754,257.619384765625,dev_train_val_only,False,False,False,42,128
id_benign,2400,600,0.75,1.1595842838287354,0.6724974513053894,3.6277010440826416,dev_train_val_only,False,False,False,42,128
id_benign,2400,600,0.9,1.807188868522644,0.6724974513053894,3.6277010440826416,dev_train_val_only,False,False,False,42,128
id_benign,2400,600,0.95,2.1533219814300537,0.6724974513053894,3.6277010440826416,dev_train_val_only,False,False,False,42,128
ood_benign,1500,1500,0.75,36.56789016723633,732.1731567382812,49496.4375,dev_train_val_only,False,False,False,42,128
ood_benign,1500,1500,0.9,150.1205291748047,732.1731567382812,49496.4375,dev_train_val_only,False,False,False,42,128
ood_benign,1500,1500,0.95,2923.783935546875,732.1731567382812,49496.4375,dev_train_val_only,False,False,False,42,128
attack_medium,96,32,0.75,5.019055366516113,5.052525520324707,14.686793327331543,dev_train_val_only,False,False,False,43,64
attack_medium,96,32,0.9,9.279224395751953,5.052525520324707,14.686793327331543,dev_train_val_only,False,False,False,43,64
attack_medium,96,32,0.95,11.175592422485352,5.052525520324707,14.686793327331543,dev_train_val_only,False,False,False,43,64
attack_heavy,48,16,0.75,3.4308953285217285,2.8977279663085938,7.591335773468018,dev_train_val_only,False,False,False,43,64
attack_heavy,48,16,0.9,6.124692916870117,2.8977279663085938,7.591335773468018,dev_train_val_only,False,False,False,43,64
attack_heavy,48,16,0.95,6.890933036804199,2.8977279663085938,7.591335773468018,dev_train_val_only,False,False,False,43,64
id_benign,2400,600,0.75,1.1595842838287354,0.6724974513053894,3.6277010440826416,dev_train_val_only,False,False,False,43,64
id_benign,2400,600,0.9,1.807188868522644,0.6724974513053894,3.6277010440826416,dev_train_val_only,False,False,False,43,64
id_benign,2400,600,0.95,2.1533219814300537,0.6724974513053894,3.6277010440826416,dev_train_val_only,False,False,False,43,64
ood_benign,1500,1500,0.75,36.56789016723633,732.1731567382812,49496.4375,dev_train_val_only,False,False,False,43,64
ood_benign,1500,1500,0.9,150.1205291748047,732.1731567382812,49496.4375,dev_train_val_only,False,False,False,43,64
ood_benign,1500,1500,0.95,2923.783935546875,732.1731567382812,49496.4375,dev_train_val_only,False,False,False,43,64
attack_medium,96,32,0.75,5.019055366516113,5.052525520324707,14.686793327331543,dev_train_val_only,False,False,False,43,128
attack_medium,96,32,0.9,9.279224395751953,5.052525520324707,14.686793327331543,dev_train_val_only,False,False,False,43,128
attack_medium,96,32,0.95,11.175592422485352,5.052525520324707,14.686793327331543,dev_train_val_only,False,False,False,43,128
attack_heavy,96,32,0.75,3.9723150730133057,2.976256847381592,18.14617156982422,dev_train_val_only,False,False,False,43,128
attack_heavy,96,32,0.9,5.01799201965332,2.976256847381592,18.14617156982422,dev_train_val_only,False,False,False,43,128
attack_heavy,96,32,0.95,6.494067192077637,2.976256847381592,18.14617156982422,dev_train_val_only,False,False,False,43,128
id_benign,2400,600,0.75,1.1595842838287354,0.6724974513053894,3.6277010440826416,dev_train_val_only,False,False,False,43,128
id_benign,2400,600,0.9,1.807188868522644,0.6724974513053894,3.6277010440826416,dev_train_val_only,False,False,False,43,128
id_benign,2400,600,0.95,2.1533219814300537,0.6724974513053894,3.6277010440826416,dev_train_val_only,False,False,False,43,128
ood_benign,1500,1500,0.75,36.56789016723633,732.1731567382812,49496.4375,dev_train_val_only,False,False,False,43,128
ood_benign,1500,1500,0.9,150.1205291748047,732.1731567382812,49496.4375,dev_train_val_only,False,False,False,43,128
ood_benign,1500,1500,0.95,2923.783935546875,732.1731567382812,49496.4375,dev_train_val_only,False,False,False,43,128
attack_medium,96,32,0.75,5.749643802642822,5.109766006469727,13.2317533493042,dev_train_val_only,False,False,False,44,64
attack_medium,96,32,0.9,7.291316509246826,5.109766006469727,13.2317533493042,dev_train_val_only,False,False,False,44,64
attack_medium,96,32,0.95,7.840913772583008,5.109766006469727,13.2317533493042,dev_train_val_only,False,False,False,44,64
