seed,active_label_budget,gate_name,radius_quantile,margin,id_calib_hard_alarm,id_calib_review,ood_val_hard_alarm,ood_val_review,support_medium_hard_detection,support_heavy_hard_detection,dev_support_attack_min,dev_feasible,dev_relaxed_feasible,dev_selection_score,selection_uses_final_ood,selection_uses_attack_eval,selection_uses_dev_heavy_query,selected_for_report_only_replay
42,64,no_gate,0.95,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True,True,1.0,False,False,False,True
42,128,no_gate,0.95,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,True,True,1.0,False,False,False,True
43,64,no_gate,0.95,0.0,0.0033333333333333335,0.0,0.0,0.0,0.96875,1.0,0.96875,True,True,0.96875,False,False,False,True
43,128,no_gate,0.95,0.0,0.0033333333333333335,0.0,0.0,0.0,0.96875,1.0,0.96875,True,True,0.96875,False,False,False,True
44,64,no_gate,0.95,0.0,0.0033333333333333335,0.0,0.0,0.0,0.96875,1.0,0.96875,True,True,0.96875,False,False,False,True
44,128,no_gate,0.95,0.0,0.0033333333333333335,0.0,0.0,0.0,0.96875,1.0,0.96875,True,True,0.96875,False,False,False,True
45,64,no_gate,0.95,0.0,0.005,0.0,0.0,0.0,0.96875,1.0,0.96875,True,True,0.96875,False,False,False,True
45,128,no_gate,0.95,0.0,0.005,0.0,0.0,0.0,0.96875,1.0,0.96875,True,True,0.96875,False,False,False,True
46,64,no_gate,0.95,0.0,0.0016666666666666668,0.0,0.0,0.0,0.96875,1.0,0.96875,True,True,0.96875,False,False,False,True
46,128,no_gate,0.95,0.0,0.0016666666666666668,0.0,0.0,0.0,0.96875,1.0,0.96875,True,True,0.96875,False,False,False,True
