job_index,job_label,weighting,seed,role,role_kind,stage,rows,parent_raw_alarm_rate,parent_hard_alarm_rate,parent_suppress_rate,temporal_raw_alarm_rate,temporal_hard_alarm_rate,temporal_suppress_rate,temporal_review_rate,temporal_unknown_rate,attack_score_mean,ood_risk_mean
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,id_calib,benign_id,calibration_select,51497,0.008388838184748625,7.767442763656135e-05,0.008311163757112066,0.0,0.0,0.0,0.0,1.0,2.9398358920778937e-05,0.9999706016410792
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,ood_val,benign_ood,calibration_select,12205,0.13879557558377714,0.0011470708725931996,0.13764850471118395,8.19336337566571e-05,8.19336337566571e-05,0.0,0.0,0.9999180663662434,0.00011131489077649392,0.9998886851092236
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,support_val,attack,calibration_select,69,1.0,0.9710144927536232,0.028985507246376812,0.9130434782608695,0.9130434782608695,0.0,0.0,0.08695652173913043,0.9128822982406173,0.08711770175938258
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,ood_stress,benign_ood,read_only,229900,0.9990735102218355,0.997442366246194,0.0016311439756415832,0.9971509351892127,0.9971509351892127,0.0,0.0,0.002849064810787299,0.9969721995287315,0.0030278004712684004
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,same_file_query,attack,read_only,125679,1.0,0.9770685635627273,0.022931436437272735,0.9408652201242849,0.9408652201242849,0.0,0.0,0.05913477987571512,0.9406982329079939,0.05930176709200589
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,future_query,attack,read_only,378145,0.9778894339472953,0.6557537452564492,0.3221356886908461,0.5706461806978804,0.5706461806978804,0.0,0.0,0.4293538193021196,0.5705564688207742,0.4294435311792259
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,sealed_final_ood,benign_ood,report_only,154900,0.9994641704325371,0.9992188508715301,0.00024531956100710137,0.997224015493867,0.997224015493867,0.0,0.0,0.002775984506132989,0.9970452645794288,0.002954735420571149
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,sealed_final_attack,attack,report_only,110104,0.9995640485359296,0.9020834847053695,0.0974805638305602,0.7933499237084938,0.7933499237084938,0.0,0.0,0.20665007629150622,0.7932137271684011,0.2067862728315987
2,medium_ratio_seed43,medium_mass_ratio_recalibrated,43,id_calib,benign_id,calibration_select,51497,0.009340349923296503,7.767442763656135e-05,0.009262675495659942,0.0,0.0,0.0,0.0,1.0,2.9398358920778937e-05,0.9999706016410792
2,medium_ratio_seed43,medium_mass_ratio_recalibrated,43,ood_val,benign_ood,calibration_select,12205,0.13633756657107743,0.003523146251536256,0.13281442031954116,0.0003277345350266284,0.0003277345350266284,0.0,0.0,0.9996722654649733,0.0003570644863436388,0.9996429355136565
2,medium_ratio_seed43,medium_mass_ratio_recalibrated,43,support_val,attack,calibration_select,69,1.0,0.9855072463768116,0.014492753623188406,0.9565217391304348,0.9565217391304348,0.0,0.0,0.043478260869565216,0.9563514839492696,0.043648516050730356
2,medium_ratio_seed43,medium_mass_ratio_recalibrated,43,ood_stress,benign_ood,read_only,229900,0.9989995650282731,0.9976076555023924,0.0013919095258808178,0.9973336233144846,0.9973336233144846,0.0,0.0,0.0026663766855154415,0.9971548495217482,0.002845150478251619
2,medium_ratio_seed43,medium_mass_ratio_recalibrated,43,same_file_query,attack,read_only,125679,1.0,0.9774902728379443,0.022509727162055713,0.9779517660070497,0.9779517660070497,0.0,0.0,0.022048233992950295,0.9777770377642122,0.02222296223578775
2,medium_ratio_seed43,medium_mass_ratio_recalibrated,43,future_query,attack,read_only,378145,0.9057239947639133,0.7501434634862288,0.15558053127768448,0.6366076505044361,0.6366076505044361,0.0,0.0,0.36339234949556387,0.6365041705754211,0.36349582942457903
2,medium_ratio_seed43,medium_mass_ratio_recalibrated,43,sealed_final_ood,benign_ood,report_only,154900,0.9994641704325371,0.9992188508715301,0.00024531956100710137,0.9976371852808263,0.9976371852808263,0.0,0.0,0.0023628147191736603,0.9974583481259951,0.0025416518740047443
2,medium_ratio_seed43,medium_mass_ratio_recalibrated,43,sealed_final_attack,attack,report_only,110104,0.9989282859841604,0.9258065102085301,0.07312177577563031,0.79652873646734,0.79652873646734,0.0,0.0,0.20347126353266004,0.7963918764177896,0.20360812358221042
3,medium_ratio_seed44,medium_mass_ratio_recalibrated,44,id_calib,benign_id,calibration_select,51497,0.008680117288385731,7.767442763656135e-05,0.00860244286074917,0.0,0.0,0.0,0.0,1.0,2.9398358920778937e-05,0.9999706016410792
3,medium_ratio_seed44,medium_mass_ratio_recalibrated,44,ood_val,benign_ood,calibration_select,12205,0.11544448996312986,0.003523146251536256,0.11192134371159361,0.00040966816878328555,0.00040966816878328555,0.0,0.0,0.9995903318312167,0.00043898101819935377,0.9995610189818007
3,medium_ratio_seed44,medium_mass_ratio_recalibrated,44,support_val,attack,calibration_select,69,1.0,0.9855072463768116,0.014492753623188406,0.9130434782608695,0.9130434782608695,0.0,0.0,0.08695652173913043,0.9128822982406173,0.08711770175938258
3,medium_ratio_seed44,medium_mass_ratio_recalibrated,44,ood_stress,benign_ood,read_only,229900,0.9990039147455415,0.9974510656807307,0.0015528490648107874,0.9973336233144846,0.9973336233144846,0.0,0.0,0.0026663766855154415,0.9971548495217482,0.002845150478251619
3,medium_ratio_seed44,medium_mass_ratio_recalibrated,44,same_file_query,attack,read_only,125679,1.0,0.9771560881292818,0.02284391187071826,0.8580828937213059,0.8580828937213059,0.0,0.0,0.14191710627869414,0.8579331855524708,0.14206681444752922
3,medium_ratio_seed44,medium_mass_ratio_recalibrated,44,future_query,attack,read_only,378145,0.9244073040764786,0.7472662602969761,0.17714104377950257,0.4681405281042986,0.4681405281042986,0.0,0.0,0.5318594718957014,0.4680722120989031,0.5319277879010968
3,medium_ratio_seed44,medium_mass_ratio_recalibrated,44,sealed_final_ood,benign_ood,report_only,154900,0.9994641704325371,0.9992188508715301,0.00024531956100710137,0.9976371852808263,0.9976371852808263,0.0,0.0,0.0023628147191736603,0.9974583481259951,0.0025416518740047443
3,medium_ratio_seed44,medium_mass_ratio_recalibrated,44,sealed_final_attack,attack,report_only,110104,0.9989101213398242,0.9214742425343312,0.07743587880549299,0.7984723534113202,0.7984723534113202,0.0,0.0,0.2015276465886798,0.7983350876731299,0.20166491232687012
4,medium_ratio_seed45,medium_mass_ratio_recalibrated,45,id_calib,benign_id,calibration_select,51497,0.00860244286074917,7.767442763656135e-05,0.008524768433112609,0.0,0.0,0.0,0.0,1.0,2.9398358920778937e-05,0.9999706016410792
4,medium_ratio_seed45,medium_mass_ratio_recalibrated,45,ood_val,benign_ood,calibration_select,12205,0.1291274068004916,0.0011470708725931996,0.1279803359278984,0.0002458009012699713,0.0002458009012699713,0.0,0.0,0.99975419909873,0.00027514795448792387,0.9997248520455122
4,medium_ratio_seed45,medium_mass_ratio_recalibrated,45,support_val,attack,calibration_select,69,1.0,0.9710144927536232,0.028985507246376812,0.9565217391304348,0.9565217391304348,0.0,0.0,0.043478260869565216,0.9563514839492696,0.043648516050730356
4,medium_ratio_seed45,medium_mass_ratio_recalibrated,45,ood_stress,benign_ood,read_only,229900,0.9990039147455415,0.997442366246194,0.0015615484993475423,0.9971857329273597,0.9971857329273597,0.0,0.0,0.0028142670726402784,0.9970069900035917,0.002993009996408061
4,medium_ratio_seed45,medium_mass_ratio_recalibrated,45,same_file_query,attack,read_only,125679,1.0,0.9767423356328424,0.0232576643671576,0.9766866381813987,0.9766866381813987,0.0,0.0,0.023313361818601358,0.9765121740070487,0.023487825992951163
4,medium_ratio_seed45,medium_mass_ratio_recalibrated,45,future_query,attack,read_only,378145,0.8913459122823255,0.6596517209007127,0.23169419138161287,0.6357984371074588,0.6357984371074588,0.0,0.0,0.36420156289254124,0.6356951260845051,0.36430487391549504
4,medium_ratio_seed45,medium_mass_ratio_recalibrated,45,sealed_final_ood,benign_ood,report_only,154900,0.9994641704325371,0.9975080697224016,0.001956100710135571,0.9973531310522918,0.9973531310522918,0.0,0.0,0.002646868947708199,0.9971743531877308,0.002825646812269147
4,medium_ratio_seed45,medium_mass_ratio_recalibrated,45,sealed_final_attack,attack,report_only,110104,0.998901039017656,0.8499872847489646,0.1489137542686914,0.7961291142919422,0.7961291142919422,0.0,0.0,0.20387088570805784,0.7959923376550094,0.20400766234499065
5,medium_ratio_seed46,medium_mass_ratio_recalibrated,46,id_calib,benign_id,calibration_select,51497,0.009223838281841661,7.767442763656135e-05,0.0091461638542051,0.0,0.0,0.0,0.0,1.0,2.9398358920778937e-05,0.9999706016410792
5,medium_ratio_seed46,medium_mass_ratio_recalibrated,46,ood_val,benign_ood,calibration_select,12205,0.5198689061859894,0.0036870135190495697,0.5161818926669398,0.0001638672675133142,0.0001638672675133142,0.0,0.0,0.9998361327324867,0.00019323142263220889,0.9998067685773678
5,medium_ratio_seed46,medium_mass_ratio_recalibrated,46,support_val,attack,calibration_select,69,1.0,1.0,0.0,0.9565217391304348,0.9565217391304348,0.0,0.0,0.043478260869565216,0.9563514839492696,0.043648516050730356
5,medium_ratio_seed46,medium_mass_ratio_recalibrated,46,ood_stress,benign_ood,read_only,229900,0.9989082209656373,0.9976076555023924,0.0013005654632448891,0.9973336233144846,0.9973336233144846,0.0,0.0,0.0026663766855154415,0.9971548495217482,0.002845150478251619
5,medium_ratio_seed46,medium_mass_ratio_recalibrated,46,same_file_query,attack,read_only,125679,1.0,0.9783734752822667,0.021626524717733273,0.924617477860263,0.924617477860263,0.0,0.0,0.07538252213973695,0.924453882014109,0.07554611798589078
5,medium_ratio_seed46,medium_mass_ratio_recalibrated,46,future_query,attack,read_only,378145,0.9074402676222084,0.7442330323024237,0.16320723531978473,0.6237448597760118,0.6237448597760118,0.0,0.0,0.37625514022398815,0.6236440646805967,0.3763559353194032
5,medium_ratio_seed46,medium_mass_ratio_recalibrated,46,sealed_final_ood,benign_ood,report_only,154900,0.9994641704325371,0.9992188508715301,0.00024531956100710137,0.9975080697224016,0.9975080697224016,0.0,0.0,0.0024919302775984506,0.9973292595176932,0.0026707404823067458
5,medium_ratio_seed46,medium_mass_ratio_recalibrated,46,sealed_final_attack,attack,report_only,110104,0.9999273414226549,0.9276138923199884,0.07231344910266657,0.7952117997529609,0.7952117997529609,0.0,0.0,0.20478820024703917,0.7950752145859001,0.20492478541409986
6,strict_weight4_seed42,strict_frozen_weight4,42,id_calib,benign_id,calibration_select,51497,0.005942093714196944,0.0,0.005942093714196944,0.0,0.0,0.0,0.0,1.0,2.9398358920778937e-05,0.9999706016410792
6,strict_weight4_seed42,strict_frozen_weight4,42,ood_val,benign_ood,calibration_select,12205,0.08349037279803359,0.0,0.08349037279803359,0.0,0.0,0.0,0.0,1.0,2.939835892077894e-05,0.9999706016410793
