job_index,job_label,weighting,seed,comparison,stage,positive_rows,negative_rows,temporal_attack_auc,temporal_attack_ap,parent_attack_auc,parent_attack_ap
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,support_val_select_vs_ood_val_select,calibration_select,69,12205,0.9564807723135565,0.899266012107601,0.9999382529136907,0.9903789094113638
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,dev_query_union_vs_ood_stress,read_only,503824,229900,0.3329232303634107,0.6245772405058305,0.42702429397177866,0.7603796119753998
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,sealed_attack_vs_sealed_ood,report_only,110104,154900,0.3980629541073134,0.3724343134070461,0.40384443715330925,0.5915025330703914
2,medium_ratio_seed43,medium_mass_ratio_recalibrated,43,support_val_select_vs_ood_val_select,calibration_select,69,12205,0.978097002297704,0.9021077731345459,0.9998480071721616,0.9802185964052753
2,medium_ratio_seed43,medium_mass_ratio_recalibrated,43,dev_query_union_vs_ood_stress,read_only,503824,229900,0.3622111933603829,0.633710371695277,0.42717535506368126,0.7615970140266167
2,medium_ratio_seed43,medium_mass_ratio_recalibrated,43,sealed_attack_vs_sealed_ood,report_only,110104,154900,0.39944577559325684,0.3729209779899347,0.407896108917412,0.5967629704103796
3,medium_ratio_seed44,medium_mass_ratio_recalibrated,44,support_val_select_vs_ood_val_select,calibration_select,69,12205,0.9563169050460432,0.8463967665833044,0.9998450385622428,0.9802886578430057
3,medium_ratio_seed44,medium_mass_ratio_recalibrated,44,dev_query_union_vs_ood_stress,read_only,503824,229900,0.28403905388310513,0.6116842225046943,0.43029764094522627,0.7619388542612908
3,medium_ratio_seed44,medium_mass_ratio_recalibrated,44,sealed_attack_vs_sealed_ood,report_only,110104,154900,0.4004175840652469,0.37326674267282545,0.40472706487327414,0.5920508972300781
4,medium_ratio_seed45,medium_mass_ratio_recalibrated,45,support_val_select_vs_ood_val_select,calibration_select,69,12205,0.9781379691145824,0.9151782565263904,0.9999228161421133,0.9880368821600946
4,medium_ratio_seed45,medium_mass_ratio_recalibrated,45,dev_query_union_vs_ood_stress,read_only,503824,229900,0.3618236678816471,0.6335846683505411,0.45159452308656406,0.7753018325602514
4,medium_ratio_seed45,medium_mass_ratio_recalibrated,45,sealed_attack_vs_sealed_ood,report_only,110104,154900,0.3993879916198252,0.37290241760671883,0.4639314786637313,0.6366534613958335
5,medium_ratio_seed46,medium_mass_ratio_recalibrated,46,support_val_select_vs_ood_val_select,calibration_select,69,12205,0.9781789359314608,0.9286331659003478,0.9998396950643892,0.9796581907704652
5,medium_ratio_seed46,medium_mass_ratio_recalibrated,46,dev_query_union_vs_ood_stress,read_only,503824,229900,0.3507319863357076,0.630018266950096,0.42611964196735935,0.7604799308104938
5,medium_ratio_seed46,medium_mass_ratio_recalibrated,46,sealed_attack_vs_sealed_ood,report_only,110104,154900,0.39885186501527964,0.3727112541637229,0.403251847528438,0.5902087942317136
6,strict_weight4_seed42,strict_frozen_weight4,42,support_val_select_vs_ood_val_select,calibration_select,69,12205,0.9710144927536232,0.9423548776369514,0.9999679390128778,0.9959239130434783
6,strict_weight4_seed42,strict_frozen_weight4,42,dev_query_union_vs_ood_stress,read_only,503824,229900,0.46082870707655166,0.6704686991716275,0.3487583178854644,0.6327145123415309
6,strict_weight4_seed42,strict_frozen_weight4,42,sealed_attack_vs_sealed_ood,report_only,110104,154900,0.35135042169415315,0.3576501912187032,0.06374476089558523,0.3129840775230388
7,strict_weight4_seed43,strict_frozen_weight4,43,support_val_select_vs_ood_val_select,calibration_select,69,12205,0.9782608695652174,0.9567661582277136,0.9999798134525527,0.9971351533535558
7,strict_weight4_seed43,strict_frozen_weight4,43,dev_query_union_vs_ood_stress,read_only,503824,229900,0.3540452369041898,0.6313185346628698,0.354183469993305,0.6393116767162719
7,strict_weight4_seed43,strict_frozen_weight4,43,sealed_attack_vs_sealed_ood,report_only,110104,154900,0.3883407568368837,0.3690766754039757,0.07763380822835639,0.3120767452947062
8,strict_weight4_seed44,strict_frozen_weight4,44,support_val_select_vs_ood_val_select,calibration_select,69,12205,0.9855072463768115,0.9711774388184757,0.9999762511206504,0.9967432014329913
8,strict_weight4_seed44,strict_frozen_weight4,44,dev_query_union_vs_ood_stress,read_only,503824,229900,0.3512162663464396,0.6302527267880552,0.3536549917341351,0.6368491365478204
8,strict_weight4_seed44,strict_frozen_weight4,44,sealed_attack_vs_sealed_ood,report_only,110104,154900,0.3842264648947199,0.3676979543581799,0.04203726342514974,0.27726694078065395
9,strict_weight4_seed45,strict_frozen_weight4,45,support_val_select_vs_ood_val_select,calibration_select,69,12205,0.9782608695652174,0.9567661582277136,0.999893130042926,0.9911537063009712
9,strict_weight4_seed45,strict_frozen_weight4,45,dev_query_union_vs_ood_stress,read_only,503824,229900,0.3236238449901055,0.6219711586071143,0.31782683888773083,0.6011707408250596
9,strict_weight4_seed45,strict_frozen_weight4,45,sealed_attack_vs_sealed_ood,report_only,110104,154900,0.3830275983685265,0.3673011141135919,0.016691699213706626,0.2682106971121608
10,strict_weight4_seed46,strict_frozen_weight4,46,support_val_select_vs_ood_val_select,calibration_select,69,12205,0.9782608695652174,0.9567661582277136,0.9999774385646177,0.9968708827404479
10,strict_weight4_seed46,strict_frozen_weight4,46,dev_query_union_vs_ood_stress,read_only,503824,229900,0.3394946993372072,0.6266249394251168,0.32390638577110503,0.6160977820803493
10,strict_weight4_seed46,strict_frozen_weight4,46,sealed_attack_vs_sealed_ood,report_only,110104,154900,0.390084562693165,0.3696688513939547,0.018735610969043574,0.2666927836888521
