role,missing_targets,SESSION_TIMESTAMP_REGRESSION,NO_IP_SESSION_KEY,UNSUPPORTED_IP_PROTOCOL_NOT_TCP_UDP,NONFINITE_TARGET_TIMESTAMP
aux_fit,3079,0,2361,3079,0
aux_normal_fit,3157,0,2988,3157,0
aux_normal_select,3518,0,3316,3518,0
aux_process_fit,0,0,0,0,0
aux_select,1294,0,940,1294,0
id_calib,49,0,0,49,0
ood_val,381,0,0,381,0
support_train,139,42,0,109,0
support_val,23,5,0,18,0
