candidate,split,seed,role,phase,rows,raw_alarm_rate,conflict_review_rate,hard_alarm_rate,review_count,hard_count,attack_score_mean,attack_score_p95,attack_threshold,threshold_roles
C4_cap20000_seed42,seed_stability,42,id_calib,select,51497,0.0011456978076392799,0.0011456978076392799,0.0,59,0,0.0003555123290367833,0.0007629065342628425,0.010761205956304138,id_calib|ood_val|ood_stress
C4_cap20000_seed42,seed_stability,42,ood_val,select,12205,0.009176566980745596,0.009176566980745596,0.0,112,0,0.0011079825834643883,0.0028101639285017565,0.010761205956304138,id_calib|ood_val|ood_stress
C4_cap20000_seed42,seed_stability,42,ood_stress,select,79950,0.005666041275797374,0.005403377110694184,0.0002626641651031895,432,21,0.0006625180196149276,0.0009315709009482169,0.010761205956304138,id_calib|ood_val|ood_stress
C4_cap20000_seed42,seed_stability,42,support_val,select,69,1.0,0.014492753623188406,0.9855072463768116,1,68,0.977043480127615,0.9995146063725215,0.010761205956304138,id_calib|ood_val|ood_stress
C4_cap20000_seed42,seed_stability,42,same_file_query,select,67749,1.0,0.0017417231250645767,0.9982582768749354,118,67631,0.9872947705773211,0.9995146063725215,0.010761205956304138,id_calib|ood_val|ood_stress
C4_cap20000_seed42,seed_stability,42,future_query,select,228649,0.9987929096562854,0.006149163127763515,0.9926437465285218,1406,226967,0.8996116691416112,0.999507671385526,0.010761205956304138,id_calib|ood_val|ood_stress
C4_cap20000_seed42,seed_stability,42,sealed_final_ood,all,154900,0.0403098773402195,0.03703034215622983,0.003279535183989671,5736,508,0.005632595740500388,0.00917903399886993,0.010761205956304138,id_calib|ood_val|ood_stress
C4_cap20000_seed42,seed_stability,42,sealed_final_attack,all,110104,0.9983651820097362,0.006185061396497857,0.9921801206132383,681,109243,0.9702413288825302,0.9995032696754405,0.010761205956304138,id_calib|ood_val|ood_stress
C4_cap20000_seed43,seed_stability,43,id_calib,select,51497,0.0009515117385478765,0.0009515117385478765,0.0,49,0,0.0003350345939201706,0.001305183992076566,0.01305690315020079,id_calib|ood_val|ood_stress
C4_cap20000_seed43,seed_stability,43,ood_val,select,12205,0.009832036050798854,0.009832036050798854,0.0,120,0,0.001087812501249367,0.0027653028100845566,0.01305690315020079,id_calib|ood_val|ood_stress
C4_cap20000_seed43,seed_stability,43,ood_stress,select,79950,0.004840525328330207,0.004677923702313946,0.00016260162601626016,374,13,0.0006249461898334523,0.0008796383627195273,0.01305690315020079,id_calib|ood_val|ood_stress
C4_cap20000_seed43,seed_stability,43,support_val,select,69,1.0,0.014492753623188406,0.9855072463768116,1,68,0.9771406692718105,0.9995297023086889,0.01305690315020079,id_calib|ood_val|ood_stress
C4_cap20000_seed43,seed_stability,43,same_file_query,select,67749,1.0,0.0026125846875968647,0.9973874153124032,177,67572,0.9859859600889311,0.9995297023086889,0.01305690315020079,id_calib|ood_val|ood_stress
C4_cap20000_seed43,seed_stability,43,future_query,select,228649,0.9990815616949997,0.09750315986512077,0.901578401829879,22294,206145,0.8591894560403663,0.9994997214636818,0.01305690315020079,id_calib|ood_val|ood_stress
C4_cap20000_seed43,seed_stability,43,sealed_final_ood,all,154900,0.10806326662362814,0.10466107165913492,0.0034021949644932213,16212,527,0.009858789260189705,0.02245059901364935,0.01305690315020079,id_calib|ood_val|ood_stress
C4_cap20000_seed43,seed_stability,43,sealed_final_attack,all,110104,0.9984741698757539,0.003133401148005522,0.9953407687277483,345,109591,0.9820572504721065,0.9995014418941717,0.01305690315020079,id_calib|ood_val|ood_stress
C4_cap20000_seed44,seed_stability,44,id_calib,select,51497,0.0011262792007301395,0.0011262792007301395,0.0,58,0,0.00036678026556225007,0.0011900226923332539,0.01336644857623776,id_calib|ood_val|ood_stress
C4_cap20000_seed44,seed_stability,44,ood_val,select,12205,0.009995903318312167,0.009995903318312167,0.0,122,0,0.0011408803946090045,0.0028625483715062684,0.01336644857623776,id_calib|ood_val|ood_stress
C4_cap20000_seed44,seed_stability,44,ood_stress,select,79950,0.004427767354596623,0.004277673545966229,0.000150093808630394,342,12,0.0005991855133472104,0.000886598286152323,0.01336644857623776,id_calib|ood_val|ood_stress
C4_cap20000_seed44,seed_stability,44,support_val,select,69,1.0,0.014492753623188406,0.9855072463768116,1,68,0.9810775614461015,0.9995275533914749,0.01336644857623776,id_calib|ood_val|ood_stress
C4_cap20000_seed44,seed_stability,44,same_file_query,select,67749,1.0,0.002228815185463992,0.997771184814536,151,67598,0.9848472620839098,0.9995275533914749,0.01336644857623776,id_calib|ood_val|ood_stress
C4_cap20000_seed44,seed_stability,44,future_query,select,228649,0.9991121763051665,0.0162082493253852,0.9829039269797812,3706,224740,0.8800494612657426,0.9995275533914749,0.01336644857623776,id_calib|ood_val|ood_stress
