split,seed,role,group_field,group_value,rows,raw_alarm_rate,conflict_review_rate,hard_alarm_rate,raw_alarm_count,review_count,hard_count,attack_score_mean,attack_score_p95
primary_seed42,42,id_calib,source_group,processed/iotsim-cooler-motor-6.csv,22418,0.0010705682933357123,0.0010705682933357123,0.0,24,24,0,0.0003424347022180233,0.0007629065342628425
primary_seed42,42,id_calib,source_group,processed/iotsim-cooler-motor-7.csv,22425,0.0011594202898550724,0.0011594202898550724,0.0,26,26,0,0.0003460384499901234,0.0007629065342628425
primary_seed42,42,id_calib,source_group,processed/iotsim-cooler-motor-8.csv,5011,0.001197365795250449,0.001197365795250449,0.0,6,6,0,0.00040778578472054785,0.0006518181248041811
primary_seed42,42,id_calib,source_group,processed/iotsim-cooler-motor-9.csv,1643,0.0018259281801582471,0.0018259281801582471,0.0,3,3,0,0.00050382863409641,0.0036901158124691565
primary_seed42,42,id_calib,device,iotsim-cooler-motor-6,22418,0.0010705682933357123,0.0010705682933357123,0.0,24,24,0,0.0003424347022180233,0.0007629065342628425
primary_seed42,42,id_calib,device,iotsim-cooler-motor-7,22425,0.0011594202898550724,0.0011594202898550724,0.0,26,26,0,0.0003460384499901234,0.0007629065342628425
primary_seed42,42,id_calib,device,iotsim-cooler-motor-8,5011,0.001197365795250449,0.001197365795250449,0.0,6,6,0,0.00040778578472054785,0.0006518181248041811
primary_seed42,42,id_calib,device,iotsim-cooler-motor-9,1643,0.0018259281801582471,0.0018259281801582471,0.0,3,3,0,0.00050382863409641,0.0036901158124691565
primary_seed42,42,id_calib,source_family,iotsim-cooler-motor,51497,0.0011456978076392799,0.0011456978076392799,0.0,59,59,0,0.0003555123290367833,0.0007629065342628425
primary_seed42,42,id_calib,device_family,iotsim-cooler-motor,51497,0.0011456978076392799,0.0011456978076392799,0.0,59,59,0,0.0003555123290367833,0.0007629065342628425
primary_seed42,42,id_calib,time_block,q1,14235,0.0014752370916754477,0.0014752370916754477,0.0,21,21,0,0.0004524471856601746,0.002351262766689931
primary_seed42,42,id_calib,time_block,q2,12229,0.0008995011857061084,0.0008995011857061084,0.0,11,11,0,0.00030437536056269923,0.0007629065342628425
primary_seed42,42,id_calib,time_block,q3,11772,0.0013591573224600749,0.0013591573224600749,0.0,16,16,0,0.00033164927259210795,0.0007629065342628425
primary_seed42,42,id_calib,time_block,q4,13261,0.0008295000377045472,0.0008295000377045472,0.0,11,11,0,0.0003197987481531636,0.0008079091086775766
primary_seed42,42,id_calib,attack_label,benign,51497,0.0011456978076392799,0.0011456978076392799,0.0,59,59,0,0.0003555123290367833,0.0007629065342628425
primary_seed42,42,id_calib,attack_family,benign,51497,0.0011456978076392799,0.0011456978076392799,0.0,59,59,0,0.0003555123290367833,0.0007629065342628425
primary_seed42,42,id_calib,support_seen,unseen,51497,0.0011456978076392799,0.0011456978076392799,0.0,59,59,0,0.0003555123290367833,0.0007629065342628425
primary_seed42,42,ood_val,source_group,processed/iotsim-hydraulic-system-12.csv,2446,0.013082583810302535,0.013082583810302535,0.0,32,32,0,0.0013832035224802378,0.002848024010781185
primary_seed42,42,ood_val,source_group,processed/iotsim-hydraulic-system-13.csv,2431,0.011517893870835048,0.011517893870835048,0.0,28,28,0,0.001060409078161164,0.0027899799207894045
primary_seed42,42,ood_val,source_group,processed/iotsim-hydraulic-system-14.csv,2431,0.009872480460715755,0.009872480460715755,0.0,24,24,0,0.0009235206310838214,0.0028213611213819823
primary_seed42,42,ood_val,source_group,processed/iotsim-hydraulic-system-15.csv,2446,0.004497138184791497,0.004497138184791497,0.0,11,11,0,0.001004689169083082,0.0027965574809266907
primary_seed42,42,ood_val,source_group,processed/iotsim-hydraulic-system-2.csv,2451,0.0069359445124439,0.0069359445124439,0.0,17,17,0,0.0011665478516705097,0.0028156530228582834
primary_seed42,42,ood_val,device,iotsim-hydraulic-system-12,2446,0.013082583810302535,0.013082583810302535,0.0,32,32,0,0.0013832035224802378,0.002848024010781185
primary_seed42,42,ood_val,device,iotsim-hydraulic-system-13,2431,0.011517893870835048,0.011517893870835048,0.0,28,28,0,0.001060409078161164,0.0027899799207894045
primary_seed42,42,ood_val,device,iotsim-hydraulic-system-14,2431,0.009872480460715755,0.009872480460715755,0.0,24,24,0,0.0009235206310838214,0.0028213611213819823
primary_seed42,42,ood_val,device,iotsim-hydraulic-system-15,2446,0.004497138184791497,0.004497138184791497,0.0,11,11,0,0.001004689169083082,0.0027965574809266907
primary_seed42,42,ood_val,device,iotsim-hydraulic-system-2,2451,0.0069359445124439,0.0069359445124439,0.0,17,17,0,0.0011665478516705097,0.0028156530228582834
primary_seed42,42,ood_val,source_family,iotsim-hydraulic-system,12205,0.009176566980745596,0.009176566980745596,0.0,112,112,0,0.0011079825834643883,0.0028101639285017565
primary_seed42,42,ood_val,device_family,iotsim-hydraulic-system,12205,0.009176566980745596,0.009176566980745596,0.0,112,112,0,0.0011079825834643883,0.0028101639285017565
primary_seed42,42,ood_val,time_block,q1,3275,0.03206106870229008,0.03206106870229008,0.0,105,105,0,0.002160943661882974,0.007008430880676134
primary_seed42,42,ood_val,time_block,q2,3174,0.001575299306868305,0.001575299306868305,0.0,5,5,0,0.0007948796799272671,0.002693601208197072
primary_seed42,42,ood_val,time_block,q3,3237,0.00030892801977139327,0.00030892801977139327,0.0,1,1,0,0.0005854195336056417,0.002567875906580217
primary_seed42,42,ood_val,time_block,q4,2519,0.0003969829297340214,0.0003969829297340214,0.0,1,1,0,0.0008050360476957177,0.002690876008072098
primary_seed42,42,ood_val,attack_label,benign,12205,0.009176566980745596,0.009176566980745596,0.0,112,112,0,0.0011079825834643883,0.0028101639285017565
primary_seed42,42,ood_val,attack_family,benign,12205,0.009176566980745596,0.009176566980745596,0.0,112,112,0,0.0011079825834643883,0.0028101639285017565
primary_seed42,42,ood_val,support_seen,unseen,12205,0.009176566980745596,0.009176566980745596,0.0,112,112,0,0.0011079825834643883,0.0028101639285017565
primary_seed42,42,ood_stress,source_group,processed/iotsim-stream-consumer-2.csv,79950,0.005666041275797374,0.005403377110694184,0.0002626641651031895,453,432,21,0.0006625180196149276,0.0009315709009482169
primary_seed42,42,ood_stress,device,iotsim-stream-consumer-2,79950,0.005666041275797374,0.005403377110694184,0.0002626641651031895,453,432,21,0.0006625180196149276,0.0009315709009482169
primary_seed42,42,ood_stress,source_family,iotsim-stream-consumer,79950,0.005666041275797374,0.005403377110694184,0.0002626641651031895,453,432,21,0.0006625180196149276,0.0009315709009482169
primary_seed42,42,ood_stress,device_family,iotsim-stream-consumer,79950,0.005666041275797374,0.005403377110694184,0.0002626641651031895,453,432,21,0.0006625180196149276,0.0009315709009482169
primary_seed42,42,ood_stress,time_block,q1,28717,0.010342305951178745,0.009680676950934986,0.0006616290002437581,297,278,19,0.0012243387383935836,0.0017630064105267813
primary_seed42,42,ood_stress,time_block,q2,28769,0.0038930793562515207,0.0038235600820327436,6.951927421877716e-05,112,110,2,0.000410610427318953,0.0003798920026020142
primary_seed42,42,ood_stress,time_block,q3,22464,0.001958689458689459,0.001958689458689459,0.0,44,44,0,0.0002669216851062129,0.000271621245581277
primary_seed42,42,ood_stress,attack_label,benign,79950,0.005666041275797374,0.005403377110694184,0.0002626641651031895,453,432,21,0.0006625180196149276,0.0009315709009482169
primary_seed42,42,ood_stress,attack_family,benign,79950,0.005666041275797374,0.005403377110694184,0.0002626641651031895,453,432,21,0.0006625180196149276,0.0009315709009482169
primary_seed42,42,ood_stress,support_seen,unseen,79950,0.005666041275797374,0.005403377110694184,0.0002626641651031895,453,432,21,0.0006625180196149276,0.0009315709009482169
primary_seed42,42,support_val,source_group,processed/iotsim-city-power-1.csv,23,1.0,0.0,1.0,23,0,23,0.9986300722483457,0.999507671385526
primary_seed42,42,support_val,source_group,processed/iotsim-combined-cycle-10.csv,6,1.0,0.16666666666666666,0.8333333333333334,6,1,5,0.80386026135162,0.99821753944776
primary_seed42,42,support_val,source_group,processed/iotsim-ip-camera-museum-1.csv,40,1.0,0.0,1.0,40,0,40,0.9906086724745938,0.9995146063725215
primary_seed42,42,support_val,device,city-power,23,1.0,0.0,1.0,23,0,23,0.9986300722483457,0.999507671385526
primary_seed42,42,support_val,device,combined-cycle,6,1.0,0.16666666666666666,0.8333333333333334,6,1,5,0.80386026135162,0.99821753944776
primary_seed42,42,support_val,device,ip-camera-museum,40,1.0,0.0,1.0,40,0,40,0.9906086724745938,0.9995146063725215
primary_seed42,42,support_val,source_family,iotsim-city-power,23,1.0,0.0,1.0,23,0,23,0.9986300722483457,0.999507671385526
primary_seed42,42,support_val,source_family,iotsim-combined-cycle,6,1.0,0.16666666666666666,0.8333333333333334,6,1,5,0.80386026135162,0.99821753944776
primary_seed42,42,support_val,source_family,iotsim-ip-camera-museum,40,1.0,0.0,1.0,40,0,40,0.9906086724745938,0.9995146063725215
primary_seed42,42,support_val,device_family,city-power,23,1.0,0.0,1.0,23,0,23,0.9986300722483457,0.999507671385526
primary_seed42,42,support_val,device_family,combined-cycle,6,1.0,0.16666666666666666,0.8333333333333334,6,1,5,0.80386026135162,0.99821753944776
primary_seed42,42,support_val,device_family,ip-camera-museum,40,1.0,0.0,1.0,40,0,40,0.9906086724745938,0.9995146063725215
primary_seed42,42,support_val,time_block,q1,17,1.0,0.0,1.0,17,0,17,0.9983954781765282,0.9995032696754405
primary_seed42,42,support_val,time_block,q2,19,1.0,0.05263157894736842,0.9473684210526315,19,1,18,0.9370977958797443,0.9994563224990891
primary_seed42,42,support_val,time_block,q3,13,1.0,0.0,1.0,13,0,13,0.9993938224950543,0.9995104453803242
primary_seed42,42,support_val,time_block,q4,20,1.0,0.0,1.0,20,0,20,0.98231495928268,0.9995146063725215
primary_seed42,42,support_val,attack_label,File Download,3,1.0,0.3333333333333333,0.6666666666666666,3,1,2,0.6105016577400538,0.9568148896322727
primary_seed42,42,support_val,attack_label,Ingress Tool Transfer,3,1.0,0.0,1.0,3,0,3,0.9972188649631858,0.9980561662151943
primary_seed42,42,support_val,attack_label,Merlin C&C Communication,5,1.0,0.0,1.0,5,0,5,0.9981892997279553,0.9990090137328015
primary_seed42,42,support_val,attack_label,Merlin ICMP Flooding,8,1.0,0.0,1.0,8,0,8,0.998163035529831,0.9995032696754405
primary_seed42,42,support_val,attack_label,Merlin TCP Flooding,11,1.0,0.0,1.0,11,0,11,0.9985315858512752,0.9994563224990891
primary_seed42,42,support_val,attack_label,Merlin UDP Flooding,6,1.0,0.0,1.0,6,0,6,0.9990535758939917,0.9993108323598179
primary_seed42,42,support_val,attack_label,Mirai C&C Communication,2,1.0,0.0,1.0,2,0,2,0.8275924068065297,0.9377923988683537
primary_seed42,42,support_val,attack_label,Mirai GRE Flooding,10,1.0,0.0,1.0,10,0,10,0.999484236811312,0.9995146063725215
primary_seed42,42,support_val,attack_label,Mirai TCP Flooding,10,1.0,0.0,1.0,10,0,10,0.9993807311122336,0.9995146063725215
primary_seed42,42,support_val,attack_label,Mirai UDP Flooding,11,1.0,0.0,1.0,11,0,11,0.9995076713855261,0.999507671385526
primary_seed42,42,support_val,attack_family,File Download,3,1.0,0.3333333333333333,0.6666666666666666,3,1,2,0.6105016577400538,0.9568148896322727
primary_seed42,42,support_val,attack_family,Ingress Tool,3,1.0,0.0,1.0,3,0,3,0.9972188649631858,0.9980561662151943
primary_seed42,42,support_val,attack_family,Merlin C&C,5,1.0,0.0,1.0,5,0,5,0.9981892997279553,0.9990090137328015
primary_seed42,42,support_val,attack_family,Merlin ICMP,8,1.0,0.0,1.0,8,0,8,0.998163035529831,0.9995032696754405
primary_seed42,42,support_val,attack_family,Merlin TCP,11,1.0,0.0,1.0,11,0,11,0.9985315858512752,0.9994563224990891
primary_seed42,42,support_val,attack_family,Merlin UDP,6,1.0,0.0,1.0,6,0,6,0.9990535758939917,0.9993108323598179
primary_seed42,42,support_val,attack_family,Mirai C&C,2,1.0,0.0,1.0,2,0,2,0.8275924068065297,0.9377923988683537
primary_seed42,42,support_val,attack_family,Mirai GRE,10,1.0,0.0,1.0,10,0,10,0.999484236811312,0.9995146063725215
primary_seed42,42,support_val,attack_family,Mirai TCP,10,1.0,0.0,1.0,10,0,10,0.9993807311122336,0.9995146063725215
primary_seed42,42,support_val,attack_family,Mirai UDP,11,1.0,0.0,1.0,11,0,11,0.9995076713855261,0.999507671385526
primary_seed42,42,support_val,support_seen,seen,69,1.0,0.014492753623188406,0.9855072463768116,69,1,68,0.977043480127615,0.9995146063725215
primary_seed42,42,same_file_query,source_group,processed/iotsim-combined-cycle-10.csv,2486,1.0,0.0,1.0,2486,0,2486,0.8788948534970191,0.9902553656744293
primary_seed42,42,same_file_query,source_group,processed/iotsim-ip-camera-museum-1.csv,65263,1.0,0.0018080688904892513,0.9981919311095108,65263,118,65145,0.9914239432151348,0.9995146063725215
primary_seed42,42,same_file_query,device,combined-cycle,2486,1.0,0.0,1.0,2486,0,2486,0.8788948534970191,0.9902553656744293
primary_seed42,42,same_file_query,device,ip-camera-museum,65263,1.0,0.0018080688904892513,0.9981919311095108,65263,118,65145,0.9914239432151348,0.9995146063725215
primary_seed42,42,same_file_query,source_family,iotsim-combined-cycle,2486,1.0,0.0,1.0,2486,0,2486,0.8788948534970191,0.9902553656744293
primary_seed42,42,same_file_query,source_family,iotsim-ip-camera-museum,65263,1.0,0.0018080688904892513,0.9981919311095108,65263,118,65145,0.9914239432151348,0.9995146063725215
primary_seed42,42,same_file_query,device_family,combined-cycle,2486,1.0,0.0,1.0,2486,0,2486,0.8788948534970191,0.9902553656744293
primary_seed42,42,same_file_query,device_family,ip-camera-museum,65263,1.0,0.0018080688904892513,0.9981919311095108,65263,118,65145,0.9914239432151348,0.9995146063725215
primary_seed42,42,same_file_query,time_block,q1,19977,1.0,0.0037042598988837163,0.9962957401011163,19977,74,19903,0.9797494929009222,0.9995032696754405
primary_seed42,42,same_file_query,time_block,q2,11666,1.0,0.00017143836790673754,0.9998285616320932,11666,2,11664,0.9654342416599542,0.9984591025484015
primary_seed42,42,same_file_query,time_block,q3,4686,1.0,0.0,1.0,4686,0,4686,0.9995076713855261,0.999507671385526
primary_seed42,42,same_file_query,time_block,q4,31420,1.0,0.001336728198599618,0.9986632718014004,31420,42,31378,0.9983873004724255,0.9995146063725215
primary_seed42,42,same_file_query,attack_label,File Download,105,1.0,0.0,1.0,105,0,105,0.8995963025556171,0.9522998752895931
primary_seed42,42,same_file_query,attack_label,Ingress Tool Transfer,2381,1.0,0.0,1.0,2381,0,2381,0.8779819378518482,0.9902553656744293
primary_seed42,42,same_file_query,attack_label,Merlin C&C Communication,6827,1.0,0.01098579170938919,0.9890142082906108,6827,75,6752,0.9300520283524639,0.9985957109723941
primary_seed42,42,same_file_query,attack_label,Merlin ICMP Flooding,7038,1.0,0.0,1.0,7038,0,7038,0.999477044618959,0.9995032696754405
primary_seed42,42,same_file_query,attack_label,Merlin TCP Flooding,12000,1.0,8.333333333333333e-05,0.9999166666666667,12000,1,11999,0.998195818023637,0.9991908942387142
primary_seed42,42,same_file_query,attack_label,Merlin UDP Flooding,3292,1.0,0.0,1.0,3292,0,3292,0.9988288041370018,0.9989697782858877
primary_seed42,42,same_file_query,attack_label,Mirai C&C Communication,106,1.0,0.39622641509433965,0.6037735849056604,106,42,64,0.6728049248578832,0.9824505909349266
primary_seed42,42,same_file_query,attack_label,Mirai GRE Flooding,12000,1.0,0.0,1.0,12000,0,12000,0.9995146063725214,0.9995146063725215
primary_seed42,42,same_file_query,attack_label,Mirai TCP Flooding,12000,1.0,0.0,1.0,12000,0,12000,0.9994531061520565,0.9995146063725215
primary_seed42,42,same_file_query,attack_label,Mirai UDP Flooding,12000,1.0,0.0,1.0,12000,0,12000,0.999507671385526,0.999507671385526
primary_seed42,42,same_file_query,attack_family,File Download,105,1.0,0.0,1.0,105,0,105,0.8995963025556171,0.9522998752895931
primary_seed42,42,same_file_query,attack_family,Ingress Tool,2381,1.0,0.0,1.0,2381,0,2381,0.8779819378518482,0.9902553656744293
primary_seed42,42,same_file_query,attack_family,Merlin C&C,6827,1.0,0.01098579170938919,0.9890142082906108,6827,75,6752,0.9300520283524639,0.9985957109723941
primary_seed42,42,same_file_query,attack_family,Merlin ICMP,7038,1.0,0.0,1.0,7038,0,7038,0.999477044618959,0.9995032696754405
primary_seed42,42,same_file_query,attack_family,Merlin TCP,12000,1.0,8.333333333333333e-05,0.9999166666666667,12000,1,11999,0.998195818023637,0.9991908942387142
primary_seed42,42,same_file_query,attack_family,Merlin UDP,3292,1.0,0.0,1.0,3292,0,3292,0.9988288041370018,0.9989697782858877
primary_seed42,42,same_file_query,attack_family,Mirai C&C,106,1.0,0.39622641509433965,0.6037735849056604,106,42,64,0.6728049248578832,0.9824505909349266
primary_seed42,42,same_file_query,attack_family,Mirai GRE,12000,1.0,0.0,1.0,12000,0,12000,0.9995146063725214,0.9995146063725215
primary_seed42,42,same_file_query,attack_family,Mirai TCP,12000,1.0,0.0,1.0,12000,0,12000,0.9994531061520565,0.9995146063725215
primary_seed42,42,same_file_query,attack_family,Mirai UDP,12000,1.0,0.0,1.0,12000,0,12000,0.999507671385526,0.999507671385526
primary_seed42,42,same_file_query,support_seen,seen,67749,1.0,0.0017417231250645767,0.9982582768749354,67749,118,67631,0.9872947705773211,0.9995146063725215
primary_seed42,42,future_query,source_group,processed/iotsim-combined-cycle-1.csv,88575,0.9980468529494778,0.008806096528365791,0.9892407564211121,88402,780,87622,0.9048887625618843,0.9995146063725215
primary_seed42,42,future_query,source_group,processed/iotsim-combined-cycle-10.csv,24154,0.997888548480583,0.010101846485054236,0.9877867019955286,24103,244,23859,0.7065272244387544,0.9971345713568849
primary_seed42,42,future_query,source_group,processed/iotsim-domotic-monitor-1.csv,91812,0.9994336252341742,0.0041388925194963625,0.9952947327146778,91760,380,91380,0.9208421561458306,0.999507671385526
primary_seed42,42,future_query,source_group,processed/iotsim-ip-camera-museum-1.csv,24108,1.0,8.296001327360213e-05,0.9999170399867264,24108,2,24106,0.9928226221373254,0.997771132370773
primary_seed42,42,future_query,device,combined-cycle,112729,0.9980129336727905,0.009083731781529153,0.9889292018912613,112505,1024,111481,0.8623866150060108,0.9995146063725215
primary_seed42,42,future_query,device,domotic-monitor,91812,0.9994336252341742,0.0041388925194963625,0.9952947327146778,91760,380,91380,0.9208421561458306,0.999507671385526
primary_seed42,42,future_query,device,ip-camera-museum,24108,1.0,8.296001327360213e-05,0.9999170399867264,24108,2,24106,0.9928226221373254,0.997771132370773
primary_seed42,42,future_query,source_family,iotsim-combined-cycle,112729,0.9980129336727905,0.009083731781529153,0.9889292018912613,112505,1024,111481,0.8623866150060108,0.9995146063725215
