method,baseline_category,mean_train_time,mean_inference_time,mean_parameter_count,locked_detection_mean,locked_ood_alarm_max
M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,0.39023481500189516,0.011967250003363007,65.0,0.949705362333308,0.0045
M0_V1_original100_fixed_guard_LR,existing_detector_baseline,1.0944232174966602,0.01890114749839995,101.0,0.9447512957065771,0.0053
M3_top64_no_guard_LR,component_ablation,0.13169300000154183,0.011959187504544389,65.0,0.0,0.0083
M4_top64_random32_fixed_guard_LR,component_ablation,0.4058883474979666,0.012385972500487695,65.0,0.948943148336818,0.0103
M8_DevNet_like_MLP_top64,fewshot_anomaly,1.308293392501946,0.011203962501895148,1057.0,0.9493522191099704,0.0104
M7_HistGB_shallow_top64,nonlinear_tabular,0.19310250000417,0.020589052504510617,50.0,0.8322179137119579,0.0123
M6_OC_SVM_top64,unsupervised_anomaly,0.028211305005243048,0.008821269999316428,65.0,0.02861272622956943,0.0156
M9_DeepSAD_like_center_top64,semisupervised_anomaly,0.020288830000208688,0.011660627495439259,128.0,0.03375683686660308,0.0134
M1_V2_top32_fixed_guard_LR,existing_detector_baseline,0.15669990249880358,0.006859277503099292,33.0,0.92740489284974,0.0184
M5_Isolation_Forest_top64,unsupervised_anomaly,0.1825453724974068,0.09860985249688384,100.0,0.04189581789539216,0.0179
