evaluation_role,dataset,holdout,method,baseline_category,run_priority,seed_group,n_seeds,roc_auc_mean,pr_auc_mean,pauc_fpr_1pct_mean,tpr_at_fpr_1pct_mean,attack_high_detection_mean,attack_high_detection_std,attack_high_detection_min,attack_high_detection_max,final_ood_high_alarm_mean,final_ood_high_alarm_max,feasible_rate,threshold_mean,feature_input,feature_dim,uses_attack_supports,support_count,selected_config,train_time_mean,inference_time_mean,parameter_count_mean,provenance_clean_rate
consistency,harder_holdout,chrono_late_train_early_eval,M7_HistGB_shallow_top64,nonlinear_tabular,required,heldout_47_51,5,0.9144401576182137,0.8735573137343063,0.8611613899247338,0.7302977232924693,0.7289550496205488,0.021703415326641502,0.7066549912434326,0.7621132516053707,0.0054,0.007,1.0,0.0017709185404611292,selected_source_rich_top64,64,True,32,histgb_depth2_iter50_lr005;histgb_depth3_iter50_lr005,0.17816601999802514,0.019751180009916425,50.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M7_HistGB_shallow_top64,nonlinear_tabular,required,main_42_46,5,0.8839064681844716,0.8463230897024736,0.860119629085298,0.7265615878575599,0.7198482194979567,0.013224381900629087,0.7005253940455342,0.7340922358435493,0.00524,0.0057,1.0,0.0015909177060714694,selected_source_rich_top64,64,True,32,histgb_depth2_iter50_lr005;histgb_depth3_iter50_lr005,0.1803062199964188,0.020181219978258013,50.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M8_DevNet_like_MLP_top64,fewshot_anomaly,required,heldout_47_51,5,0.957503093987157,0.9600097164804305,0.9521712473634958,0.923409223584355,0.9176882661996497,0.013515279512889939,0.8952130764740222,0.9290718038528897,0.00704,0.0093,1.0,0.005731889845337719,selected_source_rich_top64,64,True,32,mlp_h16_alpha001,2.042547600006219,0.014113979984540493,1057.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M8_DevNet_like_MLP_top64,fewshot_anomaly,required,main_42_46,5,0.9537474255691769,0.9604526445195092,0.9516443865562488,0.9239346176298892,0.922650321074139,0.0033087519114870585,0.9191476941039113,0.9267367192060713,0.00766,0.0117,0.8,0.0056949628042057086,selected_source_rich_top64,64,True,32,mlp_h16_alpha001,1.950972299987916,0.011209820013027639,1057.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M9_DeepSAD_like_center_top64,semisupervised_anomaly,required,heldout_47_51,5,0.8198431523642732,0.49251558693737857,0.49984657672483845,0.006654991243432574,0.0065382370110916525,0.00026107040017510683,0.00642148277875073,0.0070052539404553416,0.0082,0.0085,1.0,549.2035908813416,selected_source_rich_top64,64,True,32,center_lambda0;center_lambda1,0.018776020011864604,0.011077499995008112,128.0,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M9_DeepSAD_like_center_top64,semisupervised_anomaly,required,main_42_46,5,0.819186141272621,0.49101849692582145,0.5000105606843324,0.0070052539404553416,0.006654991243432574,0.00031974463368661187,0.00642148277875073,0.0070052539404553416,0.0079,0.0085,1.0,877.8943779082974,selected_source_rich_top64,64,True,32,center_lambda0;center_lambda1;center_lambda2,0.01816511999350041,0.011261919990647584,128.0,1.0
consistency,harder_holdout,holdout_bin_2,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,required,heldout_47_51,5,0.39120140949554894,0.40456989791595277,0.6620118396134977,0.3479228486646884,0.3264094955489614,0.0,0.3264094955489614,0.3264094955489614,0.0011,0.0011,1.0,-3.126371385544741,original100,100,True,32,fixed_lr,0.7982874199864455,0.020177879999391735,101.0,1.0
consistency,harder_holdout,holdout_bin_2,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,required,main_42_46,5,0.39120140949554894,0.40456989791595277,0.6620118396134977,0.3479228486646884,0.3264094955489614,0.0,0.3264094955489614,0.3264094955489614,0.0011,0.0011,1.0,-3.126371385544741,original100,100,True,32,fixed_lr,0.7320833800011315,0.017484280001372098,101.0,1.0
consistency,harder_holdout,holdout_bin_2,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,required,heldout_47_51,5,0.9406764094955488,0.8874848250315692,0.8888209593963886,0.8338278931750743,0.8093471810089021,0.0,0.8093471810089021,0.8093471810089021,0.006799999999999999,0.0068,1.0,-1.9876145615455427,selected_source_rich_top32,32,True,32,fixed_lr,0.15819593998603523,0.007253239990677685,33.0,1.0
consistency,harder_holdout,holdout_bin_2,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,required,main_42_46,5,0.9406764094955488,0.8874848250315692,0.8888209593963886,0.8338278931750743,0.8093471810089021,0.0,0.8093471810089021,0.8093471810089021,0.006799999999999999,0.0068,1.0,-1.9876145615455427,selected_source_rich_top32,32,True,32,fixed_lr,0.1718734800000675,0.007155159988906234,33.0,1.0
consistency,harder_holdout,holdout_bin_2,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,required,heldout_47_51,5,0.9959862759643915,0.9865837153127115,0.9734838882841508,0.9770029673590506,0.9740356083086054,0.0,0.9740356083086054,0.9740356083086054,0.0057,0.0057,1.0,-3.4616880163438504,selected_source_rich_top64,64,True,32,fixed_lr,0.5502245600102469,0.01472036000341177,65.0,1.0
consistency,harder_holdout,holdout_bin_2,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,required,main_42_46,5,0.9959862759643915,0.9865837153127115,0.9734838882841508,0.9770029673590506,0.9740356083086054,0.0,0.9740356083086054,0.9740356083086054,0.0057,0.0057,1.0,-3.4616880163438504,selected_source_rich_top64,64,True,32,fixed_lr,0.47568142001982777,0.015219959989190101,65.0,1.0
consistency,harder_holdout,holdout_bin_2,M3_top64_no_guard_LR,component_ablation,required,heldout_47_51,5,0.787336943620178,0.345451240028634,0.5280333417830995,0.11498516320474779,0.11498516320474779,0.0,0.11498516320474778,0.11498516320474778,0.0101,0.0101,0.0,18.413058797626466,selected_source_rich_top64,64,True,32,fixed_lr,0.15913899999577552,0.012246759992558509,65.0,1.0
consistency,harder_holdout,holdout_bin_2,M3_top64_no_guard_LR,component_ablation,required,main_42_46,5,0.787336943620178,0.345451240028634,0.5280333417830995,0.11498516320474779,0.11498516320474779,0.0,0.11498516320474778,0.11498516320474778,0.0101,0.0101,0.0,18.413058797626466,selected_source_rich_top64,64,True,32,fixed_lr,0.14395886000711472,0.012653819995466619,65.0,1.0
consistency,harder_holdout,holdout_bin_2,M4_top64_random32_fixed_guard_LR,component_ablation,required,heldout_47_51,5,0.9803023442136499,0.9676424321847168,0.9591719726227577,0.9431750741839762,0.9232937685459941,0.034774010879252665,0.8775964391691394,0.9651335311572701,0.00466,0.0066,1.0,-4.378477979101405,selected_source_rich_top64,64,True,32,fixed_lr,0.4009923599893227,0.012701960001140832,65.0,1.0
