comparison,status,method_a,method_b,delta_detection_mean,delta_detection_min,delta_ood_alarm_max,method_a_feasible,method_b_feasible
top64_vs_top32,available,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,M1_V2_top32_fixed_guard_LR,0.02230046948356801,0.08920187793427226,-0.0139,True,False
fixed_guard_vs_no_guard,available,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,M3_top64_no_guard_LR,0.949705362333308,0.8826291079812206,-0.0038000000000000004,True,True
kcenter32_vs_random32,available,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,M4_top64_random32_fixed_guard_LR,0.0007622139964900132,-0.004225352112676162,-0.0058000000000000005,True,False
lr_vs_histgb,available,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,M7_HistGB_shallow_top64,0.11748744862135019,0.5201877934272301,-0.0078000000000000005,True,False
lr_vs_devnet_like,available,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,M8_DevNet_like_MLP_top64,0.0003531432233376819,-0.022535211267605715,-0.0059,True,False
lr_vs_deepsad_like,available,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,M9_DeepSAD_like_center_top64,0.915948525466705,0.8791234112239902,-0.008900000000000002,True,False
