method,baseline_category,locked_detection_mean,locked_detection_min,locked_ood_alarm_max,locked_feasible_rate_mean,locked_pauc_fpr_1pct_mean,locked_tpr_at_fpr_1pct_mean,mean_train_time,mean_inference_time,mean_parameter_count,delta_detection_mean_vs_main,delta_detection_min_vs_main,delta_ood_alarm_max_vs_main
M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,0.949705362333308,0.8826291079812206,0.0045,1.0,0.9728875280477407,0.9514659257135898,0.39023481500189516,0.011967250003363007,65.0,0.0,0.0,0.0
M0_V1_original100_fixed_guard_LR,existing_detector_baseline,0.9447512957065771,0.8356807511737088,0.0053,1.0,0.9416309828432647,0.9605251033194406,1.0944232174966602,0.01890114749839995,101.0,-0.004954066626730924,-0.04694835680751186,0.0008000000000000004
M3_top64_no_guard_LR,component_ablation,0.0,0.0,0.0083,1.0,0.4974874371859296,0.0,0.13169300000154183,0.011959187504544389,65.0,-0.949705362333308,-0.8826291079812206,0.0038000000000000004
M4_top64_random32_fixed_guard_LR,component_ablation,0.948943148336818,0.8868544600938968,0.0103,0.975,0.974291940166332,0.9555810186158233,0.4058883474979666,0.012385972500487695,65.0,-0.0007622139964900132,0.004225352112676162,0.0058000000000000005
M8_DevNet_like_MLP_top64,fewshot_anomaly,0.9493522191099704,0.9051643192488263,0.0104,0.95,0.962718524256823,0.9549046612052529,1.308293392501946,0.011203962501895148,1057.0,-0.0003531432233376819,0.022535211267605715,0.0059
M7_HistGB_shallow_top64,nonlinear_tabular,0.8322179137119579,0.3624413145539906,0.0123,0.925,0.9008797981996066,0.8597521204029408,0.19310250000417,0.020589052504510617,50.0,-0.11748744862135019,-0.5201877934272301,0.0078000000000000005
M6_OC_SVM_top64,unsupervised_anomaly,0.02861272622956943,0.0021034180543382996,0.0156,0.75,0.5247091126879464,0.07744647859137006,0.028211305005243048,0.008821269999316428,65.0,-0.9210926361037386,-0.8805256899268823,0.011099999999999999
M9_DeepSAD_like_center_top64,semisupervised_anomaly,0.03375683686660308,0.0035056967572304996,0.0134,0.25,0.5036464147579065,0.03238946409759594,0.020288830000208688,0.011660627495439259,128.0,-0.915948525466705,-0.8791234112239902,0.008900000000000002
M1_V2_top32_fixed_guard_LR,existing_detector_baseline,0.92740489284974,0.7934272300469484,0.0184,0.0,0.9579397745363989,0.9271198301359429,0.15669990249880358,0.006859277503099292,33.0,-0.02230046948356801,-0.08920187793427226,0.0139
M5_Isolation_Forest_top64,unsupervised_anomaly,0.04189581789539216,0.00046948356807511736,0.0179,0.0,0.5010871730575719,0.018294520390611923,0.1825453724974068,0.09860985249688384,100.0,-0.9078095444379158,-0.8821596244131455,0.013399999999999999
