method,baseline_category,run_priority,feature_kind,model_kind,support_method,uses_attack_supports,support_count,allowed_train_data,fairness_layer
M0_V1_original100_fixed_guard_LR,existing_detector_baseline,required,original100,guarded_lr,kcenter,True,32,ID_train;OOD_train;kcenter32_attack_supports,representation_reference
M1_V2_top32_fixed_guard_LR,existing_detector_baseline,required,source_rich_top32,guarded_lr,kcenter,True,32,ID_train;OOD_train;kcenter32_attack_supports,representation_reference
M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,required,source_rich_top64,guarded_lr,kcenter,True,32,ID_train;OOD_train;kcenter32_attack_supports,main_method
M3_top64_no_guard_LR,component_ablation,required,source_rich_top64,no_guard_lr,kcenter,True,32,ID_train;kcenter32_attack_supports,representation_ablation
M4_top64_random32_fixed_guard_LR,component_ablation,required,source_rich_top64,guarded_lr,random,True,32,ID_train;OOD_train;random32_attack_supports,support_ablation
M5_Isolation_Forest_top64,unsupervised_anomaly,required,source_rich_top64_frozen_main,isolation_forest,none_for_model,False,0,ID_train;OOD_train,method_level
M6_OC_SVM_top64,unsupervised_anomaly,required,source_rich_top64_frozen_main,ocsvm_sgd,none_for_model,False,0,ID_train;OOD_train,method_level
M7_HistGB_shallow_top64,nonlinear_tabular,required,source_rich_top64,histgb,kcenter,True,32,ID_train;OOD_train;kcenter32_attack_supports,adapter_level
M8_DevNet_like_MLP_top64,fewshot_anomaly,required,source_rich_top64,devnet_like_mlp,kcenter,True,32,ID_train;OOD_train;kcenter32_attack_supports,adapter_level
M9_DeepSAD_like_center_top64,semisupervised_anomaly,required,source_rich_top64,deepsad_like_center,kcenter,True,32,ID_train;OOD_train;kcenter32_attack_supports,adapter_level
