evaluation_role,dataset,holdout,method,seed,seed_group,selected_config_id,threshold,ood_target,uses_id_calib,uses_ood_val,uses_final_ood_eval,uses_attack_eval,ood_val_alarm_at_selection,id_calib_alarm_at_selection
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,42,main_42_46,fixed_lr,-2.4168281315697695,0.01,True,True,False,False,0.0,0.0098
locked,locked_harder_holdout,holdout_bin_5,M1_V2_top32_fixed_guard_LR,42,main_42_46,fixed_lr,-2.7649186566996478,0.01,True,True,False,False,0.01,0.0016
locked,locked_harder_holdout,holdout_bin_5,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,42,main_42_46,fixed_lr,-4.102580408336336,0.01,True,True,False,False,0.0005,0.01
locked,locked_harder_holdout,holdout_bin_5,M3_top64_no_guard_LR,42,main_42_46,fixed_lr,52.191294881078356,0.01,True,True,False,False,0.01,0.0
locked,locked_harder_holdout,holdout_bin_5,M4_top64_random32_fixed_guard_LR,42,main_42_46,fixed_lr,-3.366837736937743,0.01,True,True,False,False,0.0,0.0098
locked,locked_harder_holdout,holdout_bin_5,M5_Isolation_Forest_top64,42,main_42_46,iforest_n100_auto,0.6194702404632557,0.01,True,True,False,False,0.01,0.0
locked,locked_harder_holdout,holdout_bin_5,M6_OC_SVM_top64,42,main_42_46,sgd_ocsvm_nu001,-38.83325590394306,0.01,True,True,False,False,0.01,0.0024
locked,locked_harder_holdout,holdout_bin_5,M7_HistGB_shallow_top64,42,main_42_46,histgb_depth3_iter50_lr005,0.0004461334346858862,0.01,True,True,False,False,0.006,0.0036
locked,locked_harder_holdout,holdout_bin_5,M8_DevNet_like_MLP_top64,42,main_42_46,mlp_h16_alpha001,0.00436135730077512,0.01,True,True,False,False,0.0045,0.0098
locked,locked_harder_holdout,holdout_bin_5,M9_DeepSAD_like_center_top64,42,main_42_46,center_lambda1,461.7895325088493,0.01,True,True,False,False,0.01,0.0014
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,43,main_42_46,fixed_lr,-2.4168281315697695,0.01,True,True,False,False,0.0,0.0098
locked,locked_harder_holdout,holdout_bin_5,M1_V2_top32_fixed_guard_LR,43,main_42_46,fixed_lr,-2.7649186566996478,0.01,True,True,False,False,0.01,0.0016
locked,locked_harder_holdout,holdout_bin_5,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,43,main_42_46,fixed_lr,-4.102580408336336,0.01,True,True,False,False,0.0005,0.01
locked,locked_harder_holdout,holdout_bin_5,M3_top64_no_guard_LR,43,main_42_46,fixed_lr,52.191294881078356,0.01,True,True,False,False,0.01,0.0
locked,locked_harder_holdout,holdout_bin_5,M4_top64_random32_fixed_guard_LR,43,main_42_46,fixed_lr,-3.051425195798858,0.01,True,True,False,False,0.0015,0.01
locked,locked_harder_holdout,holdout_bin_5,M5_Isolation_Forest_top64,43,main_42_46,iforest_n100_auto,0.6113657021252706,0.01,True,True,False,False,0.01,0.0
locked,locked_harder_holdout,holdout_bin_5,M6_OC_SVM_top64,43,main_42_46,sgd_ocsvm_nu001,-29.189144355048363,0.01,True,True,False,False,0.0,0.0098
locked,locked_harder_holdout,holdout_bin_5,M7_HistGB_shallow_top64,43,main_42_46,histgb_depth2_iter50_lr005,0.0006761771984515648,0.01,True,True,False,False,0.0065,0.0016
locked,locked_harder_holdout,holdout_bin_5,M8_DevNet_like_MLP_top64,43,main_42_46,mlp_h16_alpha001,0.0036309990682640114,0.01,True,True,False,False,0.002,0.0098
locked,locked_harder_holdout,holdout_bin_5,M9_DeepSAD_like_center_top64,43,main_42_46,center_lambda2,669.7069595642089,0.01,True,True,False,False,0.01,0.002
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,44,main_42_46,fixed_lr,-2.4168281315697695,0.01,True,True,False,False,0.0,0.0098
locked,locked_harder_holdout,holdout_bin_5,M1_V2_top32_fixed_guard_LR,44,main_42_46,fixed_lr,-2.7649186566996478,0.01,True,True,False,False,0.01,0.0016
locked,locked_harder_holdout,holdout_bin_5,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,44,main_42_46,fixed_lr,-4.102580408336336,0.01,True,True,False,False,0.0005,0.01
locked,locked_harder_holdout,holdout_bin_5,M3_top64_no_guard_LR,44,main_42_46,fixed_lr,52.191294881078356,0.01,True,True,False,False,0.01,0.0
locked,locked_harder_holdout,holdout_bin_5,M4_top64_random32_fixed_guard_LR,44,main_42_46,fixed_lr,-2.0478718143187327,0.01,True,True,False,False,0.002,0.0098
locked,locked_harder_holdout,holdout_bin_5,M5_Isolation_Forest_top64,44,main_42_46,iforest_n100_auto,0.6152037819829398,0.01,True,True,False,False,0.01,0.0
locked,locked_harder_holdout,holdout_bin_5,M6_OC_SVM_top64,44,main_42_46,sgd_ocsvm_nu001,-44.496709469651584,0.01,True,True,False,False,0.0,0.0098
locked,locked_harder_holdout,holdout_bin_5,M7_HistGB_shallow_top64,44,main_42_46,histgb_depth2_iter50_lr005,0.00028388495930907785,0.01,True,True,False,False,0.0065,0.0016
locked,locked_harder_holdout,holdout_bin_5,M8_DevNet_like_MLP_top64,44,main_42_46,mlp_h16_alpha001,0.003914566083112733,0.01,True,True,False,False,0.001,0.0098
locked,locked_harder_holdout,holdout_bin_5,M9_DeepSAD_like_center_top64,44,main_42_46,center_lambda1,461.7895325088493,0.01,True,True,False,False,0.01,0.0014
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,45,main_42_46,fixed_lr,-2.4168281315697695,0.01,True,True,False,False,0.0,0.0098
locked,locked_harder_holdout,holdout_bin_5,M1_V2_top32_fixed_guard_LR,45,main_42_46,fixed_lr,-2.7649186566996478,0.01,True,True,False,False,0.01,0.0016
locked,locked_harder_holdout,holdout_bin_5,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,45,main_42_46,fixed_lr,-4.102580408336336,0.01,True,True,False,False,0.0005,0.01
locked,locked_harder_holdout,holdout_bin_5,M3_top64_no_guard_LR,45,main_42_46,fixed_lr,52.191294881078356,0.01,True,True,False,False,0.01,0.0
locked,locked_harder_holdout,holdout_bin_5,M4_top64_random32_fixed_guard_LR,45,main_42_46,fixed_lr,-3.380211100786366,0.01,True,True,False,False,0.008,0.0098
locked,locked_harder_holdout,holdout_bin_5,M5_Isolation_Forest_top64,45,main_42_46,iforest_n100_auto,0.6137021936879196,0.01,True,True,False,False,0.01,0.0
locked,locked_harder_holdout,holdout_bin_5,M6_OC_SVM_top64,45,main_42_46,sgd_ocsvm_nu001,-31.732437595295885,0.01,True,True,False,False,0.01,0.0
locked,locked_harder_holdout,holdout_bin_5,M7_HistGB_shallow_top64,45,main_42_46,histgb_depth3_iter50_lr005,0.0002644976526401188,0.01,True,True,False,False,0.0065,0.01
locked,locked_harder_holdout,holdout_bin_5,M8_DevNet_like_MLP_top64,45,main_42_46,mlp_h16_alpha001,0.004441840880317632,0.01,True,True,False,False,0.0015,0.01
locked,locked_harder_holdout,holdout_bin_5,M9_DeepSAD_like_center_top64,45,main_42_46,center_lambda2,669.7069595642089,0.01,True,True,False,False,0.01,0.002
locked,locked_harder_holdout,holdout_bin_5,M0_V1_original100_fixed_guard_LR,46,main_42_46,fixed_lr,-2.4168281315697695,0.01,True,True,False,False,0.0,0.0098
locked,locked_harder_holdout,holdout_bin_5,M1_V2_top32_fixed_guard_LR,46,main_42_46,fixed_lr,-2.7649186566996478,0.01,True,True,False,False,0.01,0.0016
locked,locked_harder_holdout,holdout_bin_5,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,46,main_42_46,fixed_lr,-4.102580408336336,0.01,True,True,False,False,0.0005,0.01
locked,locked_harder_holdout,holdout_bin_5,M3_top64_no_guard_LR,46,main_42_46,fixed_lr,52.191294881078356,0.01,True,True,False,False,0.01,0.0
locked,locked_harder_holdout,holdout_bin_5,M4_top64_random32_fixed_guard_LR,46,main_42_46,fixed_lr,-4.1531408717731715,0.01,True,True,False,False,0.0045,0.0098
locked,locked_harder_holdout,holdout_bin_5,M5_Isolation_Forest_top64,46,main_42_46,iforest_n100_auto,0.6109656853543345,0.01,True,True,False,False,0.0095,0.0002
