evaluation_role,dataset,holdout,method,baseline_category,seed_group,pauc_fpr_1pct_mean,tpr_at_fpr_1pct_mean,attack_high_detection_mean,final_ood_high_alarm_max,feasible_rate
consistency,harder_holdout,chrono_late_train_early_eval,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,heldout_47_51,0.8092256378213308,0.6903093987157034,0.6798015178050204,0.0018,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M0_V1_original100_fixed_guard_LR,existing_detector_baseline,main_42_46,0.8092256378213308,0.6903093987157034,0.6798015178050204,0.0018,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,heldout_47_51,0.8389231622209119,0.7335084646818447,0.7314652656158785,0.0097,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M1_V2_top32_fixed_guard_LR,existing_detector_baseline,main_42_46,0.8389231622209119,0.7335084646818447,0.7314652656158785,0.0097,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,heldout_47_51,0.9539070131744536,0.9538820782253357,0.9500875656742556,0.0089,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M2_Enhanced_LOW_GUARD_top64_fixed_guard_LR,main_method,main_42_46,0.9539070131744536,0.9538820782253357,0.9500875656742556,0.0089,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M3_top64_no_guard_LR,component_ablation,heldout_47_51,0.4974874371859296,0.0,0.0,0.0096,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M3_top64_no_guard_LR,component_ablation,main_42_46,0.4974874371859296,0.0,0.0,0.0096,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M4_top64_random32_fixed_guard_LR,component_ablation,heldout_47_51,0.9534590641473567,0.9222416812609457,0.914068884997081,0.0082,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M4_top64_random32_fixed_guard_LR,component_ablation,main_42_46,0.93698909022638,0.894687682428488,0.878225335668418,0.0097,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M5_Isolation_Forest_top64,unsupervised_anomaly,heldout_47_51,0.5098883207631855,0.08143607705779335,0.110507880910683,0.0151,0.0
consistency,harder_holdout,chrono_late_train_early_eval,M5_Isolation_Forest_top64,unsupervised_anomaly,main_42_46,0.5043477750691578,0.034617629889083484,0.041622883829538826,0.0122,0.0
consistency,harder_holdout,chrono_late_train_early_eval,M6_OC_SVM_top64,unsupervised_anomaly,heldout_47_51,0.5308304511465677,0.1060128429655575,0.05440747227086982,0.0147,0.8
consistency,harder_holdout,chrono_late_train_early_eval,M6_OC_SVM_top64,unsupervised_anomaly,main_42_46,0.5057271177838991,0.023000583771161702,0.006771745475773497,0.0107,0.8
consistency,harder_holdout,chrono_late_train_early_eval,M7_HistGB_shallow_top64,nonlinear_tabular,heldout_47_51,0.8611613899247338,0.7302977232924693,0.7289550496205488,0.007,1.0
consistency,harder_holdout,chrono_late_train_early_eval,M7_HistGB_shallow_top64,nonlinear_tabular,main_42_46,0.860119629085298,0.7265615878575599,0.7198482194979567,0.0057,1.0
