representation,positive_budget,seed,selected_count,min_selected_row_id,max_selected_row_id,any_overlap_with_val,any_overlap_with_eval,leakage_check_result
original100,16,42,16,3995,6740,False,False,PASS
original100,16,43,16,2972,6884,False,False,PASS
original100,16,44,16,3166,6821,False,False,PASS
original100,16,45,16,3169,6480,False,False,PASS
original100,16,46,16,3205,6953,False,False,PASS
original100,32,42,32,3172,6946,False,False,PASS
original100,32,43,32,2951,6977,False,False,PASS
original100,32,44,32,2938,7008,False,False,PASS
original100,32,45,32,2994,6945,False,False,PASS
original100,32,46,32,2975,6795,False,False,PASS
source_rich,16,42,16,3995,6740,False,False,PASS
source_rich,16,43,16,2972,6884,False,False,PASS
source_rich,16,44,16,3166,6821,False,False,PASS
source_rich,16,45,16,3169,6480,False,False,PASS
source_rich,16,46,16,3205,6953,False,False,PASS
source_rich,32,42,32,3172,6946,False,False,PASS
source_rich,32,43,32,2951,6977,False,False,PASS
source_rich,32,44,32,2938,7008,False,False,PASS
source_rich,32,45,32,2994,6945,False,False,PASS
source_rich,32,46,32,2975,6795,False,False,PASS
source_rich,64,42,64,2982,7009,False,False,PASS
source_rich,64,43,64,2929,7040,False,False,PASS
source_rich,64,44,64,2988,7029,False,False,PASS
source_rich,64,45,64,2943,7023,False,False,PASS
source_rich,64,46,64,3000,7001,False,False,PASS
