nested_split,category,contexts
internal_val,a_protected_attack,1
internal_val,a_protected_benign,993
internal_val,b_attack,2
internal_val,b_benign,3327
train,a_protected_attack,2149
train,a_protected_benign,1851
train,b_attack,27
train,b_benign,957
