candidate,held_value,role,rows,episodes,hard_alarm_rate,mean_attack_score,threshold,review_rate,report_only
D4_erh_attention,iotsim-ip-camera-street,ood_val,0,0,,,0.001952077029272914,0.0,False
D0_e_histgb,iotsim-ip-camera-street,ood_stress,0,0,,,7.9376533407146e-05,0.0,False
D1_e_mlp,iotsim-ip-camera-street,ood_stress,0,0,,,0.008380911312997341,0.0,False
D2_er_mlp,iotsim-ip-camera-street,ood_stress,0,0,,,0.009588701650500298,0.0,False
D3_eh_attention,iotsim-ip-camera-street,ood_stress,0,0,,,0.002764608711004257,0.0,False
D4_erh_attention,iotsim-ip-camera-street,ood_stress,0,0,,,0.001952077029272914,0.0,False
D0_e_histgb,iotsim-ip-camera-street,future_query,0,0,,,7.9376533407146e-05,0.0,True
D1_e_mlp,iotsim-ip-camera-street,future_query,0,0,,,0.008380911312997341,0.0,True
D2_er_mlp,iotsim-ip-camera-street,future_query,0,0,,,0.009588701650500298,0.0,True
D3_eh_attention,iotsim-ip-camera-street,future_query,0,0,,,0.002764608711004257,0.0,True
D4_erh_attention,iotsim-ip-camera-street,future_query,0,0,,,0.001952077029272914,0.0,True
D0_e_histgb,iotsim-ip-camera-street,sealed_final_ood,3000,22,0.029333333333333333,0.00022848822540875638,7.9376533407146e-05,0.0,True
D1_e_mlp,iotsim-ip-camera-street,sealed_final_ood,3000,3000,0.006,0.0004955115146003664,0.008380911312997341,0.0,True
D2_er_mlp,iotsim-ip-camera-street,sealed_final_ood,3000,3000,0.009666666666666667,0.000742515956517309,0.009588701650500298,0.0,True
D3_eh_attention,iotsim-ip-camera-street,sealed_final_ood,3000,22,0.006,0.0001376689033349976,0.002764608711004257,0.0,True
D4_erh_attention,iotsim-ip-camera-street,sealed_final_ood,3000,22,0.007,0.00011017660290235654,0.001952077029272914,0.0,True
D0_e_histgb,iotsim-ip-camera-street,sealed_final_attack,0,0,,,7.9376533407146e-05,0.0,True
D1_e_mlp,iotsim-ip-camera-street,sealed_final_attack,0,0,,,0.008380911312997341,0.0,True
D2_er_mlp,iotsim-ip-camera-street,sealed_final_attack,0,0,,,0.009588701650500298,0.0,True
D3_eh_attention,iotsim-ip-camera-street,sealed_final_attack,0,0,,,0.002764608711004257,0.0,True
D4_erh_attention,iotsim-ip-camera-street,sealed_final_attack,0,0,,,0.001952077029272914,0.0,True
