job_index,job_label,weighting,seed,stage,role,role_kind,rows,raw_alarm_rate,hard_alarm_rate,suppress_rate,high_ood_risk_rate,strong_attack_rate,temporal_raw_alarm_rate,temporal_hard_alarm_rate,temporal_suppress_rate,temporal_high_ood_risk_rate,temporal_strong_attack_rate,temporal_unknown_rate,attack_score_min,attack_score_p50,attack_score_p90,attack_score_p95,attack_score_p99,attack_score_max,attack_score_mean,attack_margin_min,attack_margin_p50,attack_margin_p90,attack_margin_p95,attack_margin_p99,attack_margin_max,attack_margin_mean,ood_risk_min,ood_risk_p50,ood_risk_p90,ood_risk_p95,ood_risk_p99,ood_risk_max,ood_risk_mean,d_attack_outer_min_min,d_attack_outer_min_p50,d_attack_outer_min_p90,d_attack_outer_min_p95,d_attack_outer_min_p99,d_attack_outer_min_max,d_attack_outer_min_mean,d_benign_core_min_min,d_benign_core_min_p50,d_benign_core_min_p90,d_benign_core_min_p95,d_benign_core_min_p99,d_benign_core_min_max,d_benign_core_min_mean,benign_minus_attack_distance_min,benign_minus_attack_distance_p50,benign_minus_attack_distance_p90,benign_minus_attack_distance_p95,benign_minus_attack_distance_p99,benign_minus_attack_distance_max,benign_minus_attack_distance_mean,temporal_attack_score_min,temporal_attack_score_p50,temporal_attack_score_p90,temporal_attack_score_p95,temporal_attack_score_p99,temporal_attack_score_max,temporal_attack_score_mean,temporal_ood_risk_min,temporal_ood_risk_p50,temporal_ood_risk_p90,temporal_ood_risk_p95,temporal_ood_risk_p99,temporal_ood_risk_max,temporal_ood_risk_mean
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,calibration_select,id_calib,benign_id,51497,0.008388838184748625,7.767442763656135e-05,0.008311163757112066,0.008388838184748625,7.767442763656135e-05,0.0,0.0,0.0,0.0,0.0,1.0,0.003645633279529633,0.004170101398308747,0.004536684421694117,0.005908905493278141,0.016998485286639872,0.45703498162316863,0.004580924327239696,-0.01335285200711024,-0.012828383888331126,-0.012461800864945756,-0.011089579793361731,0.0,0.44003649633652875,-0.012417560959400175,0.9992654570616816,0.999768421540297,0.999768421540297,0.999768421540297,0.999768421540297,0.999768421540297,0.9997683824728192,0.1922936886548996,0.22583690285682678,1.8391631841659546,1.94617919921875,2.0318153190612795,2.1094303131103516,0.840859997972337,0.05978023633360863,0.15714775025844574,0.19699442386627197,0.20686061978340148,0.23274974524974823,0.6893625259399414,0.15997714714100691,-1.871251106262207,-0.08204138278961182,-0.06179781854152679,-0.05557846128940583,-0.014179291129112242,0.4635411500930786,-0.680882850833428,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.9398358920778937e-05,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,calibration_select,ood_val,benign_ood,12205,0.13879557558377714,0.0011470708725931996,0.13764850471118395,0.13871364195002048,0.0011470708725931996,8.19336337566571e-05,8.19336337566571e-05,0.0,0.0,8.19336337566571e-05,0.9999180663662434,0.003966295273005367,0.010814565908650183,0.025546854409063124,0.03701606454091481,0.09943855289976965,0.5361664379670733,0.015114057570997713,-0.013032190013634506,-0.006183919377989689,0.008548369122423252,0.020017579254274935,0.08244006761312977,0.5191679526804335,-0.0018844277156421603,0.01026822606875949,0.999768421540297,0.999768421540297,0.999768421540297,0.999768421540297,0.999768421540297,0.9996525069321128,0.20936498045921326,0.3675714135169983,1.7950589418411256,1.8069212675094604,1.8199350929260254,70.72664642333984,0.56016982467826,0.0,0.2338835448026657,0.4142584502696991,0.4508522093296051,0.4595650279521942,0.6893723011016846,0.2521576992364349,-70.44166564941406,-0.11135229468345642,0.04466285109519959,0.1133056402206354,0.23374326705932616,0.4635509252548218,-0.3080121259826561,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,0.9998206696579218,0.00011131489077649392,0.00017933034207811882,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9998886851092236
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,calibration_select,support_val,attack,69,1.0,0.9710144927536232,0.028985507246376812,0.08695652173913043,0.9710144927536232,0.9130434782608695,0.9130434782608695,0.0,0.0,0.9130434782608695,0.08695652173913043,0.2554421710952525,0.9566615867508396,0.9768736942773663,0.9776824104109282,0.9782215544999694,0.9782215544999694,0.845373409385025,0.23844368580861264,0.9396631014641997,0.9598752089907264,0.9606839251242884,0.9612230692133296,0.9612230692133296,0.828374924098385,0.00615633276678626,0.017046214423948026,0.36763582205599915,0.9992145545177417,0.9994754287644049,0.999768421540297,0.1094566007121695,0.0056691281497478485,0.20870047807693481,0.26757578253746034,0.2970812141895294,0.3329150772094723,0.37209251523017883,0.1912225975614527,0.04790833964943886,0.22832384705543518,29.59150810241699,32.90724868774414,32.939979248046875,32.943302154541016,4.949573464313711,-0.16079214215278625,0.09987612068653107,29.336943054199217,32.71516647338867,32.85977310180664,32.894527435302734,4.7583508726911266,2.939835892077895e-05,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9128822982406173,0.00017933034207811882,0.00017933034207811882,0.00017933034207811882,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.08711770175938258
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,read_only,ood_stress,benign_ood,229900,0.9990735102218355,0.997442366246194,0.0016311439756415832,0.0019225750326228796,0.997442366246194,0.9971509351892127,0.9971509351892127,0.0,0.0,0.9971509351892127,0.002849064810787299,0.003645633279529633,0.95145989269624,0.95145989269624,0.95145989269624,0.95145989269624,0.9768736942773663,0.9165973137831911,-0.01335285200711024,0.9344614074096002,0.9344614074096002,0.9344614074096002,0.9344614074096002,0.9598752089907264,0.899598828496551,0.01026822606875949,0.017722441787885387,0.017722441787885387,0.017722441787885387,0.017722441787885387,0.999768421540297,0.020427964501616082,0.10913441330194473,0.128055602312088,0.13525250852108,0.13840197250247002,0.21527267783880238,1.198423147201538,0.13093258135970284,9.257205965695903e-05,1.2404519319534302,1.3989912867546082,1.4351396441459654,1.4880994248390202,1.5945165157318115,1.2115966652718844,-0.2257288098335266,1.1113718748092651,1.2648800492286683,1.2992655754089355,1.349806455373764,1.4507941007614136,1.0806640838600594,2.939835892077895e-05,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9969721995287315,0.00017933034207811882,0.00017933034207811882,0.00017933034207811882,0.00017933034207811882,0.00017933034207811882,0.9999706016410792,0.0030278004712684004
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,report_only,sealed_final_ood,benign_ood,154900,0.9994641704325371,0.9992188508715301,0.00024531956100710137,0.002343447385409942,0.9992188508715301,0.997224015493867,0.997224015493867,0.0,0.0,0.997224015493867,0.002775984506132989,0.003966295273005367,0.95145989269624,0.95145989269624,0.95145989269624,0.95145989269624,0.9768736942773663,0.9493128827615361,-0.013032190013634506,0.9344614074096002,0.9344614074096002,0.9344614074096002,0.9344614074096002,0.9598752089907264,0.9323143974748962,0.00615633276678626,0.017722441787885387,0.017722441787885387,0.017722441787885387,0.017722441787885387,0.999768421540297,0.019567601277869363,0.11470942199230194,0.12875311821699142,0.1413350820541382,0.15603312477469433,0.19409383863210686,0.2922430634498596,0.1326267429351268,0.013707542791962624,1.240908920764923,1.501700234413147,1.5765157461166381,1.6796219551563263,2.0125842094421387,1.2368373185322603,-0.21211382746696472,1.1131448149681091,1.3551321506500245,1.4217104732990264,1.5344116854667675,1.8827643394470215,1.1042105755622615,2.939835892077895e-05,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9970452645794288,0.00017933034207811882,0.00017933034207811882,0.00017933034207811882,0.00017933034207811882,0.00017933034207811882,0.9999706016410792,0.002954735420571149
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,read_only,future_query,attack,378145,0.9778894339472953,0.6557537452564492,0.3221356886908461,0.5124938846209788,0.625886895238599,0.5706461806978804,0.5706461806978804,0.0,0.0,0.5407793306800301,0.4293538193021196,0.003966295273005367,0.7380073653415211,0.9671613973094927,0.9768736942773663,0.9782215544999694,0.9782215544999694,0.5752216420497631,-0.013032190013634506,0.7210088800548813,0.9501629120228529,0.9598752089907264,0.9612230692133296,0.9612230692133296,0.5582231567631228,0.00615633276678626,0.6215413216718835,0.999768421540297,0.999768421540297,0.999768421540297,0.999768421540297,0.5001147204268391,0.008546095341444016,0.2228345423936844,0.2899494051933289,0.4169149458408354,395.9379980468749,14120.62890625,12.030564596396804,0.04035768657922745,0.17790484428405762,28.038943481445315,28.885646057128906,29.542598876953125,29.65355682373047,3.998445289193905,-14120.326171875,-0.057213932275772095,9.010925102233887,28.32991752624512,28.686870574951172,28.954261779785156,-8.032119302096818,2.939835892077895e-05,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.5705564688207742,0.00017933034207811882,0.00017933034207811882,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.4294435311792259
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,42,report_only,sealed_final_attack,attack,110104,0.9995640485359296,0.9020834847053695,0.0974805638305602,0.22335246675870085,0.9006848070914771,0.7933499237084938,0.7933499237084938,0.0,0.0,0.7919512460946014,0.20665007629150622,0.006448803516874131,0.9181429887614636,0.9671613973094927,0.9768736942773663,0.9768736942773663,0.9773443405146504,0.7309200805107912,-0.010549681769765742,0.9011445034748238,0.9501629120228529,0.9598752089907264,0.9598752089907264,0.9603458552280105,0.7139215952241513,0.00615633276678626,0.017722441787885387,0.9993375498110438,0.999768421540297,0.999768421540297,0.999768421540297,0.23022999429573351,0.05284036695957184,0.29835131764411926,0.7177168428897858,0.8014458090066909,0.8417791676521301,150.15182495117188,0.35019770276203643,0.04103826358914375,0.4855678081512451,6.9883040428161625,10.782660722732544,11.88223967552185,11.962159156799316,2.1013809560416727,-149.51422119140625,0.18857870995998383,6.628062391281128,10.051008939743042,11.115522708892822,11.159881591796875,1.7511832531531977,2.939835892077895e-05,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.7932137271684011,0.00017933034207811882,0.00017933034207811882,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.2067862728315987
6,strict_weight4_seed42,strict_frozen_weight4,42,calibration_select,id_calib,benign_id,51497,0.005942093714196944,0.0,0.005942093714196944,0.005942093714196944,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0005231313037692403,0.0005341049064513134,0.0015224606485662478,0.0015224606485662478,0.0035585964447935737,0.03862524137828639,0.0010651022289402997,-0.0030354651410243335,-0.0030244915383422603,-0.002036135796227326,-0.002036135796227326,0.0,0.03506664493349282,-0.002493494215853274,0.9996700982497474,0.9997420969631201,0.9997420969631201,0.9997420969631201,0.9997420969631201,0.9997420969631201,0.999742095565005,0.1922936886548996,0.22583690285682678,1.8391631841659546,1.94617919921875,2.0318153190612795,2.1094303131103516,0.840859997972337,0.05978023633360863,0.15714775025844574,0.19699442386627197,0.20686061978340148,0.23274974524974823,0.6893625259399414,0.15997714714100691,-1.871251106262207,-0.08204138278961182,-0.06179781854152679,-0.05557846128940583,-0.014179291129112242,0.4635411500930786,-0.680882850833428,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.9398358920778937e-05,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792
6,strict_weight4_seed42,strict_frozen_weight4,42,calibration_select,ood_val,benign_ood,12205,0.08349037279803359,0.0,0.08349037279803359,0.08349037279803359,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0005341049064513134,0.001207696103976683,0.0027448301927482555,0.0056051740456954475,0.011122239819492327,0.08714044688319086,0.001778519968191349,-0.0030244915383422603,-0.0023509003408168907,-0.000813766252045318,0.0020465776009018738,0.007563643374698753,0.08358185043839729,-0.001780076476602225,0.9996700982497474,0.9997420969631201,0.9997420969631201,0.9997420969631201,0.9997420969631201,0.9997420969631201,0.999738675243196,0.20936498045921326,0.3675714135169983,1.7950589418411256,1.8069212675094604,1.8199350929260254,70.72664642333984,0.56016982467826,0.0,0.2338835448026657,0.4142584502696991,0.4508522093296051,0.4595650279521942,0.6893723011016846,0.2521576992364349,-70.44166564941406,-0.11135229468345642,0.04466285109519959,0.1133056402206354,0.23374326705932616,0.4635509252548218,-0.3080121259826561,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077895e-05,2.939835892077894e-05,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410792,0.9999706016410793
6,strict_weight4_seed42,strict_frozen_weight4,42,calibration_select,support_val,attack,69,1.0,0.9565217391304348,0.043478260869565216,0.057971014492753624,0.9565217391304348,0.9420289855072463,0.9420289855072463,0.0,0.0,0.9420289855072463,0.057971014492753624,0.017397715743712187,0.9835967173452959,0.9973072595364557,0.9973929916932834,0.9983362768526425,0.9985625810899673,0.9004846988342765,0.013839119298918613,0.9800381209005022,0.9937486630916621,0.9938343952484898,0.9947776804078489,0.9950039846451737,0.8969261023894829,0.011102438655913637,0.011102438655913637,0.011102438655913637,0.5748368620885016,0.9997420969631201,0.9997420969631201,0.06770354513865673,0.0056691281497478485,0.20870047807693481,0.26757578253746034,0.2970812141895294,0.3329150772094723,0.37209251523017883,0.1912225975614527,0.04790833964943886,0.22832384705543518,29.59150810241699,32.90724868774414,32.939979248046875,32.943302154541016,4.949573464313711,-0.16079214215278625,0.09987612068653107,29.336943054199217,32.71516647338867,32.85977310180664,32.894527435302734,4.7583508726911266,2.939835892077895e-05,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9998206696579218,0.9418617553797188,0.00017933034207811882,0.00017933034207811882,0.00017933034207811882,0.6000540931214731,0.9999706016410792,0.9999706016410792,0.058138244620281075
