job_index,job_label,weighting,role,selector,nearest_support_HH_HpHp_label,selected_rows,selected_share
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,ood_stress,highest_benign_minus_attack,File Download,69,0.8625
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,ood_stress,highest_benign_minus_attack,Mirai C&C Communication,9,0.1125
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,ood_stress,highest_benign_minus_attack,Merlin TCP Flooding,2,0.025
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,ood_stress,lowest_temporal_ood_risk,File Download,79,0.9875
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,ood_stress,lowest_temporal_ood_risk,Merlin C&C Communication,1,0.0125
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,ood_stress,nearest_attack_region,File Download,80,1.0
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,ood_stress,top_parent_attack,Merlin TCP Flooding,77,0.9625
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,ood_stress,top_parent_attack,Mirai C&C Communication,3,0.0375
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,ood_stress,top_temporal_attack,File Download,79,0.9875
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,ood_stress,top_temporal_attack,Merlin C&C Communication,1,0.0125
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,sealed_final_ood,highest_benign_minus_attack,Merlin ICMP Flooding,78,0.975
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,sealed_final_ood,highest_benign_minus_attack,File Download,2,0.025
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,sealed_final_ood,lowest_temporal_ood_risk,File Download,80,1.0
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,sealed_final_ood,nearest_attack_region,File Download,80,1.0
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,sealed_final_ood,top_parent_attack,Merlin TCP Flooding,71,0.8875
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,sealed_final_ood,top_parent_attack,Merlin ICMP Flooding,5,0.0625
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,sealed_final_ood,top_parent_attack,Mirai C&C Communication,4,0.05
1,medium_ratio_seed42,medium_mass_ratio_recalibrated,sealed_final_ood,top_temporal_attack,File Download,80,1.0
6,strict_weight4_seed42,strict_frozen_weight4,ood_stress,highest_benign_minus_attack,File Download,69,0.8625
6,strict_weight4_seed42,strict_frozen_weight4,ood_stress,highest_benign_minus_attack,Mirai C&C Communication,9,0.1125
6,strict_weight4_seed42,strict_frozen_weight4,ood_stress,highest_benign_minus_attack,Merlin TCP Flooding,2,0.025
6,strict_weight4_seed42,strict_frozen_weight4,ood_stress,lowest_temporal_ood_risk,File Download,79,0.9875
6,strict_weight4_seed42,strict_frozen_weight4,ood_stress,lowest_temporal_ood_risk,Merlin C&C Communication,1,0.0125
6,strict_weight4_seed42,strict_frozen_weight4,ood_stress,nearest_attack_region,File Download,80,1.0
6,strict_weight4_seed42,strict_frozen_weight4,ood_stress,top_parent_attack,Merlin TCP Flooding,73,0.9125
6,strict_weight4_seed42,strict_frozen_weight4,ood_stress,top_parent_attack,Mirai C&C Communication,7,0.0875
6,strict_weight4_seed42,strict_frozen_weight4,ood_stress,top_temporal_attack,File Download,79,0.9875
6,strict_weight4_seed42,strict_frozen_weight4,ood_stress,top_temporal_attack,Merlin C&C Communication,1,0.0125
6,strict_weight4_seed42,strict_frozen_weight4,sealed_final_ood,highest_benign_minus_attack,Merlin ICMP Flooding,78,0.975
6,strict_weight4_seed42,strict_frozen_weight4,sealed_final_ood,highest_benign_minus_attack,File Download,2,0.025
6,strict_weight4_seed42,strict_frozen_weight4,sealed_final_ood,lowest_temporal_ood_risk,File Download,80,1.0
6,strict_weight4_seed42,strict_frozen_weight4,sealed_final_ood,nearest_attack_region,File Download,80,1.0
6,strict_weight4_seed42,strict_frozen_weight4,sealed_final_ood,top_parent_attack,Merlin TCP Flooding,66,0.825
6,strict_weight4_seed42,strict_frozen_weight4,sealed_final_ood,top_parent_attack,Merlin ICMP Flooding,10,0.125
6,strict_weight4_seed42,strict_frozen_weight4,sealed_final_ood,top_parent_attack,Mirai C&C Communication,4,0.05
6,strict_weight4_seed42,strict_frozen_weight4,sealed_final_ood,top_temporal_attack,File Download,80,1.0
