role,target_rows,completed_rows_before_interrupt,shortfall_rows,status
attack_support_candidate_pool,90000,90000,0,complete
dev_future_attack_query,235000,80000,155000,partial
id_benign_calib,80000,80000,0,complete
id_benign_train,151000,151000,0,complete
ood_benign_stress,230000,230000,0,complete
ood_benign_val,24000,24000,0,complete
sealed_final_attack,35000,35000,0,complete
sealed_final_ood,155000,155000,0,complete
