head_id,head_family,protocol_variant,coverage_status,skipped_with_reason,train_uses_ood_guard,threshold_uses_ood_val_guard
LOW_GUARD_LR_reference,lr,P0_raw_train_id_threshold,evaluated,,False,False
LOW_GUARD_LR_reference,lr,P1_raw_train_oodval_threshold,evaluated,,False,True
LOW_GUARD_LR_reference,lr,P2_guarded_train_id_threshold,evaluated,,True,False
LOW_GUARD_LR_reference,lr,P3_full_lowguard,evaluated,,True,True
DevNet_like_MLP,devnet_like_mlp,P0_raw_train_id_threshold,evaluated,,False,False
DevNet_like_MLP,devnet_like_mlp,P1_raw_train_oodval_threshold,evaluated,,False,True
DevNet_like_MLP,devnet_like_mlp,P2_guarded_train_id_threshold,evaluated,,True,False
DevNet_like_MLP,devnet_like_mlp,P3_full_lowguard,evaluated,,True,True
HistGB_shallow,histgb,P0_raw_train_id_threshold,evaluated,,False,False
HistGB_shallow,histgb,P1_raw_train_oodval_threshold,evaluated,,False,True
HistGB_shallow,histgb,P2_guarded_train_id_threshold,evaluated,,True,False
HistGB_shallow,histgb,P3_full_lowguard,evaluated,,True,True
DeepSAD_like_center,deepsad_like_center,P0_raw_train_id_threshold,evaluated,,False,False
DeepSAD_like_center,deepsad_like_center,P1_raw_train_oodval_threshold,evaluated,,False,True
DeepSAD_like_center,deepsad_like_center,P2_guarded_train_id_threshold,evaluated,,True,False
DeepSAD_like_center,deepsad_like_center,P3_full_lowguard,evaluated,,True,True
Prototype_metric_LR,prototype_metric_lr,P0_raw_train_id_threshold,evaluated,,False,False
Prototype_metric_LR,prototype_metric_lr,P1_raw_train_oodval_threshold,evaluated,,False,True
Prototype_metric_LR,prototype_metric_lr,P2_guarded_train_id_threshold,evaluated,,True,False
Prototype_metric_LR,prototype_metric_lr,P3_full_lowguard,evaluated,,True,True
RFF_Logistic,rff_logistic,P0_raw_train_id_threshold,evaluated,,False,False
RFF_Logistic,rff_logistic,P1_raw_train_oodval_threshold,evaluated,,False,True
RFF_Logistic,rff_logistic,P2_guarded_train_id_threshold,evaluated,,True,False
RFF_Logistic,rff_logistic,P3_full_lowguard,evaluated,,True,True
