evaluation_role,dataset,holdout,split_protocol,head_id,head_family,head_label,protocol_variant,train_uses_ood_guard,threshold_uses_ood_val_guard,selected_config_id,seed,seed_group,feature_input,feature_dim,support_method,support_count,ood_target,threshold_source,threshold,attack_detection,final_ood_alarm,id_calib_alarm,ood_val_alarm,roc_auc_attack_vs_ood,pr_auc_attack_vs_ood,pauc_fpr_1pct,tpr_at_fpr_1pct,feasible_under_1pct,attack_eval_size,final_ood_eval_size,train_time,inference_time,param_count,selection_used_final_eval,threshold_uses_final_eval,hyperparameter_uses_final_eval
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,HistGB_shallow,histgb,HistGB shallow,P2_guarded_train_id_threshold,True,False,histgb_depth2_iter50_lr005,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,0.00013997301223243175,0.9680729760547321,0.0661,0.0092,0.059,0.9947586088939567,0.9760523089430317,0.9838474012021339,0.9680729760547321,False,877,10000,0.1729551999596879,0.017458899994380772,50,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,HistGB_shallow,histgb,HistGB shallow,P3_full_lowguard,True,True,histgb_depth2_iter50_lr005,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,0.0005449213739956127,0.9680729760547321,0.0083,0.008,0.006,0.9947586088939567,0.9760523089430317,0.9838474012021339,0.9680729760547321,True,877,10000,0.17053619999205694,0.013415599998552352,50,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,DeepSAD_like_center,deepsad_like_center,DeepSAD-like center,P0_raw_train_id_threshold,False,False,center_lambda0,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,368.8057672119144,0.03078677309007982,0.2736,0.01,0.267,0.3696525655644242,0.05895249390758186,0.49748743718592964,0.0,False,877,10000,0.01121570001123473,0.009965899982489645,128,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,DeepSAD_like_center,deepsad_like_center,DeepSAD-like center,P1_raw_train_oodval_threshold,False,True,center_lambda0,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,16514.30026855469,0.0,0.0088,0.0,0.01,0.3696525655644242,0.05895249390758186,0.49748743718592964,0.0,True,877,10000,0.010495900001842529,0.011103900033049285,128,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,DeepSAD_like_center,deepsad_like_center,DeepSAD-like center,P2_guarded_train_id_threshold,True,False,center_lambda0,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,151.41866790771488,0.021664766248574687,0.0248,0.01,0.022,0.8197805017103763,0.20032982173204344,0.49748743718592964,0.0,False,877,10000,0.01545910001732409,0.009041999990586191,128,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,DeepSAD_like_center,deepsad_like_center,DeepSAD-like center,P3_full_lowguard,True,True,center_lambda2,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,669.7069595642089,0.08095781071835804,0.0124,0.002,0.01,0.8261974914481185,0.2349829614422868,0.5131931034877925,0.07297605473204105,False,877,10000,0.018181300023570657,0.01319229998625815,128,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,Prototype_metric_LR,prototype_metric_lr,Prototype / metric LR,P0_raw_train_id_threshold,False,False,prototype_metric_lr_C1,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,2.9725521564011768,0.10148232611174458,0.0547,0.01,0.0505,0.7091856328392246,0.16809916948295667,0.49748743718592964,0.0,False,877,10000,0.00993419997394085,0.007859100005589426,132,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,Prototype_metric_LR,prototype_metric_lr,Prototype / metric LR,P1_raw_train_oodval_threshold,False,True,prototype_metric_lr_C1,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,3.426539629259672,0.0,0.0081,0.0,0.01,0.7091856328392246,0.16809916948295667,0.49748743718592964,0.0,True,877,10000,0.009708300000056624,0.0071430999669246376,132,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,Prototype_metric_LR,prototype_metric_lr,Prototype / metric LR,P2_guarded_train_id_threshold,True,False,prototype_metric_lr_C1,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,2.0207419884223023,0.2645381984036488,0.0094,0.01,0.007,0.9340183580387683,0.49847009590096475,0.5235183901262298,0.29646522234891676,True,877,10000,0.023813300009351224,0.010181999998167157,198,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,Prototype_metric_LR,prototype_metric_lr,Prototype / metric LR,P3_full_lowguard,True,True,prototype_metric_lr_C1,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,2.021098766274577,0.2645381984036488,0.0094,0.0098,0.007,0.9340183580387683,0.49847009590096475,0.5235183901262298,0.29646522234891676,True,877,10000,0.02202989999204874,0.013738100009504706,198,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,RFF_Logistic,rff_logistic,RFF Logistic optional,P0_raw_train_id_threshold,False,False,rff128_gamma1_C1,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,2.4355117962198514,0.013683010262257697,0.0323,0.01,0.031,0.5267418472063854,0.08404325239721848,0.4976593342997771,0.002280501710376283,False,877,10000,0.15547349996631965,0.02757720003137365,8321,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,RFF_Logistic,rff_logistic,RFF Logistic optional,P1_raw_train_oodval_threshold,False,True,rff128_gamma01_C1,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,4.545321983832197,0.021664766248574687,0.0119,0.0,0.01,0.48930171037628284,0.08365723940850066,0.5040080677045432,0.020524515393386546,False,877,10000,0.16154030000325292,0.027078700019046664,8321,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,RFF_Logistic,rff_logistic,RFF Logistic optional,P2_guarded_train_id_threshold,True,False,rff128_gamma01_C1,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_only_1pct,1.1995750541393302,0.11972633979475485,0.0102,0.01,0.008,0.7343803876852908,0.27010764015906824,0.5354136704044739,0.11744583808437856,False,877,10000,0.5816971000167541,0.027428500005044043,8321,False,False,False
locked,locked_harder_holdout,holdout_bin_5,issue23_locked_leave_one_bin_local_calibration,RFF_Logistic,rff_logistic,RFF Logistic optional,P3_full_lowguard,True,True,rff128_gamma01_C1,42,main_42_46,selected_source_rich_top64,64,kcenter,32,0.01,id_calib_plus_ood_val_guarded_1pct,1.2503016562245743,0.11858608893956671,0.0102,0.0098,0.008,0.7343803876852908,0.27010764015906824,0.5354136704044739,0.11744583808437856,False,877,10000,0.5283849000115879,0.023961000028066337,8321,False,False,False
