head_id,head_family,protocol_variant,config_id,pre_registered,uses_final_eval_for_selection,C,hidden,alpha,max_iter,max_depth,learning_rate,l2_regularization,lambda_attack,n_components,gamma
LOW_GUARD_LR_reference,lr,P0_raw_train_id_threshold,lr_C1,True,False,1.0,,,,,,,,,
LOW_GUARD_LR_reference,lr,P1_raw_train_oodval_threshold,lr_C1,True,False,1.0,,,,,,,,,
LOW_GUARD_LR_reference,lr,P2_guarded_train_id_threshold,lr_C1,True,False,1.0,,,,,,,,,
LOW_GUARD_LR_reference,lr,P3_full_lowguard,lr_C1,True,False,1.0,,,,,,,,,
DevNet_like_MLP,devnet_like_mlp,P0_raw_train_id_threshold,mlp_h8_alpha001,True,False,,8.0,0.001,80.0,,,,,,
DevNet_like_MLP,devnet_like_mlp,P0_raw_train_id_threshold,mlp_h16_alpha001,True,False,,16.0,0.001,80.0,,,,,,
DevNet_like_MLP,devnet_like_mlp,P1_raw_train_oodval_threshold,mlp_h8_alpha001,True,False,,8.0,0.001,80.0,,,,,,
DevNet_like_MLP,devnet_like_mlp,P1_raw_train_oodval_threshold,mlp_h16_alpha001,True,False,,16.0,0.001,80.0,,,,,,
DevNet_like_MLP,devnet_like_mlp,P2_guarded_train_id_threshold,mlp_h8_alpha001,True,False,,8.0,0.001,80.0,,,,,,
DevNet_like_MLP,devnet_like_mlp,P2_guarded_train_id_threshold,mlp_h16_alpha001,True,False,,16.0,0.001,80.0,,,,,,
DevNet_like_MLP,devnet_like_mlp,P3_full_lowguard,mlp_h8_alpha001,True,False,,8.0,0.001,80.0,,,,,,
DevNet_like_MLP,devnet_like_mlp,P3_full_lowguard,mlp_h16_alpha001,True,False,,16.0,0.001,80.0,,,,,,
HistGB_shallow,histgb,P0_raw_train_id_threshold,histgb_depth2_iter50_lr005,True,False,,,,50.0,2.0,0.05,0.0,,,
HistGB_shallow,histgb,P0_raw_train_id_threshold,histgb_depth3_iter50_lr005,True,False,,,,50.0,3.0,0.05,0.0,,,
HistGB_shallow,histgb,P1_raw_train_oodval_threshold,histgb_depth2_iter50_lr005,True,False,,,,50.0,2.0,0.05,0.0,,,
HistGB_shallow,histgb,P1_raw_train_oodval_threshold,histgb_depth3_iter50_lr005,True,False,,,,50.0,3.0,0.05,0.0,,,
HistGB_shallow,histgb,P2_guarded_train_id_threshold,histgb_depth2_iter50_lr005,True,False,,,,50.0,2.0,0.05,0.0,,,
HistGB_shallow,histgb,P2_guarded_train_id_threshold,histgb_depth3_iter50_lr005,True,False,,,,50.0,3.0,0.05,0.0,,,
HistGB_shallow,histgb,P3_full_lowguard,histgb_depth2_iter50_lr005,True,False,,,,50.0,2.0,0.05,0.0,,,
HistGB_shallow,histgb,P3_full_lowguard,histgb_depth3_iter50_lr005,True,False,,,,50.0,3.0,0.05,0.0,,,
DeepSAD_like_center,deepsad_like_center,P0_raw_train_id_threshold,center_lambda0,True,False,,,,,,,,0.0,,
DeepSAD_like_center,deepsad_like_center,P0_raw_train_id_threshold,center_lambda1,True,False,,,,,,,,1.0,,
