head_id,head_family,protocol_variant,locked_detection_mean,locked_detection_min,locked_ood_alarm_max,feasible_rate,locked_pauc_fpr_1pct_mean,locked_tpr_at_fpr_1pct_mean,mean_train_time,mean_inference_time,mean_parameter_count,detection_delta_vs_lowguard_lr,min_detection_delta_vs_lowguard_lr,ood_delta_vs_lowguard_lr,dominates_lowguard_lr,promising_for_lowguard_plus_plus,rescued_from_collapse,converted_to_feasible,recovery_mode
RFF_Logistic,rff_logistic,P0_raw_train_id_threshold,0.022431155243070645,0.02006841505131124,0.0397,0.07500000000000001,0.5005588834468924,0.012258874235149948,0.32950268499844243,0.044974300004832865,13105.0,-0.9272742070902374,-0.8625606929299094,0.0352,False,False,False,False,raw_detection_collapse
LOW_GUARD_LR_reference,lr,P0_raw_train_id_threshold,0.9626161604553738,0.9342723004694836,0.5164,0.0,0.4974874371859296,0.0,0.16135255249682812,0.01470030750497239,65.0,0.012910798122065748,0.05164319248826299,0.5119,False,False,False,False,raw_ood_budget_violation
DevNet_like_MLP,devnet_like_mlp,P0_raw_train_id_threshold,0.9583150573051279,0.9244131455399061,0.776,0.0,0.6476506689927908,0.44401132132483323,1.04786689250177,0.012944922495807934,779.8,0.008609694971819848,0.04178403755868543,0.7715000000000001,False,False,False,False,raw_ood_budget_violation
HistGB_shallow,histgb,P0_raw_train_id_threshold,0.8400920495420005,0.431924882629108,0.7891,0.0,0.805686758242665,0.6208844176511198,0.21598980000271692,0.04631796499743354,50.0,-0.1096133127913076,-0.45070422535211263,0.7846000000000001,False,False,False,False,raw_ood_budget_violation
Prototype_metric_LR,prototype_metric_lr,P0_raw_train_id_threshold,0.094691443275135,0.0166520595968448,0.1225,0.0,0.497827893718172,0.0043637703924578,0.012963257495721286,0.009793447502306622,132.0,-0.855013919058173,-0.8659770483843758,0.118,False,False,False,False,raw_detection_collapse
DeepSAD_like_center,deepsad_like_center,P0_raw_train_id_threshold,0.06697036163167122,0.0219780219780219,0.2834,0.0,0.4974874371859296,0.0,0.01116038000036492,0.013627749998704483,128.0,-0.8827350007016368,-0.8606510860031987,0.2789,False,False,False,False,raw_detection_collapse
HistGB_shallow,histgb,P1_raw_train_oodval_threshold,0.6161433352672205,0.06995305164319245,0.013,0.825,0.803558332373088,0.6155298383347052,0.20047129499871513,0.04750598499522307,50.0,-0.3335620270660875,-0.8126760563380282,0.0085,False,False,False,False,no_recovery
RFF_Logistic,rff_logistic,P1_raw_train_oodval_threshold,0.017630404855462016,0.0107892107892107,0.0148,0.475,0.5022169132545191,0.01723689208561026,0.3817400300060399,0.04978710750292517,14561.0,-0.9320749574778461,-0.8718398971920099,0.0103,False,False,False,False,no_recovery
DevNet_like_MLP,devnet_like_mlp,P1_raw_train_oodval_threshold,0.6850963182020825,0.5183098591549296,0.0199,0.0,0.6868381639885357,0.5766701807625808,1.0539558525022585,0.013424224992922925,859.0,-0.26460904413122555,-0.3643192488262911,0.0154,False,False,False,False,no_recovery
DevNet_like_MLP,devnet_like_mlp,P2_guarded_train_id_threshold,0.9475693814082726,0.8953051643192488,0.0101,0.975,0.9616399509674557,0.9532733716427705,1.6352778899978146,0.014068230007251211,938.1999999999999,-0.002135980925035419,0.012676056338028152,0.0056,False,False,False,False,no_recovery
Prototype_metric_LR,prototype_metric_lr,P2_guarded_train_id_threshold,0.2638712040579503,0.0446009389671361,0.0176,0.75,0.524147077334931,0.24560501014860286,0.031168570002773725,0.014097675002994896,198.0,-0.6858341582753578,-0.8380281690140845,0.0131,False,False,False,False,no_recovery
RFF_Logistic,rff_logistic,P2_guarded_train_id_threshold,0.16259870775152208,0.09483568075117368,0.0206,0.675,0.5533554836558251,0.17767719985993755,0.930587090003246,0.0465945125019061,13937.0,-0.787106654581786,-0.787793427230047,0.0161,False,False,False,False,no_recovery
HistGB_shallow,histgb,P2_guarded_train_id_threshold,0.7828765201515403,0.2305164319248826,0.0834,0.35000000000000003,0.8778010991179314,0.763995837000595,0.23761445749696575,0.025714539996988556,50.0,-0.16682884218176774,-0.652112676056338,0.0789,False,False,False,False,no_recovery
DeepSAD_like_center,deepsad_like_center,P2_guarded_train_id_threshold,0.0737385463909146,0.011393514460999041,0.031,0.125,0.5057368341560377,0.037251367681844366,0.023225527499744148,0.01354950750246639,128.0,-0.8759668159423935,-0.8712355935202216,0.0265,False,False,False,False,no_recovery
DevNet_like_MLP,devnet_like_mlp,P3_full_lowguard,0.9474970539274276,0.8953051643192488,0.0101,0.975,0.9616399509674557,0.9532733716427705,1.6348105200071585,0.012585337499331165,938.1999999999999,-0.002208308405880488,0.012676056338028152,0.0056,False,False,False,False,no_recovery
Prototype_metric_LR,prototype_metric_lr,P3_full_lowguard,0.2190249280378213,0.0422535211267605,0.0109,0.75,0.524147077334931,0.24560501014860286,0.030989754998881788,0.014250392495887313,198.0,-0.7306804342954867,-0.8403755868544601,0.0064,False,False,False,False,detection_gain_not_feasible
RFF_Logistic,rff_logistic,P3_full_lowguard,0.16255387155630374,0.10375586854460091,0.0126,0.7000000000000001,0.5546859463619385,0.18390411376166316,0.9435679000016535,0.04820459499751445,13937.0,-0.7871514907770043,-0.7788732394366197,0.0081,False,False,False,False,detection_gain_not_feasible
HistGB_shallow,histgb,P3_full_lowguard,0.755626019585086,0.23004694835680745,0.0139,0.675,0.872105497770132,0.7575766747954628,0.2400325774971861,0.03102316999575118,50.0,-0.19407934274822203,-0.6525821596244132,0.009399999999999999,False,False,False,False,no_recovery
DeepSAD_like_center,deepsad_like_center,P3_full_lowguard,0.037650410010525534,0.00280455740578432,0.0134,0.25,0.5048516195767411,0.03442226036862764,0.024355499999364795,0.013747075000719585,128.0,-0.9120549523227826,-0.8798245505754363,0.008900000000000002,False,False,False,False,no_recovery
