model,chosen_score,chosen_sign,auc_chosen,auc_other_orientation,improvement_over_other
isolation_forest,raw_decision,1,0.7529978455,0.24700215450000002,0.5059956910000001
oneclass_svm,raw_decision,1,0.81605123,0.18394876999999998,0.63210246
