experiment_name,source_feature_set,uses_parent_bq_oodrisk,uses_current_evidence,uses_past_temporal_evidence,n_features,columns
parent_oodrisk_plus_temporal,current_plus_temporal,True,True,True,18,attack_margin|ood_risk|d_attack_outer_min|d_benign_core_min|benign_minus_attack_distance|past_role_raw_alarm_rate_w8|past_role_raw_alarm_rate_w32|past_role_raw_alarm_rate_w128|past_source_raw_alarm_rate_w8|past_source_raw_alarm_rate_w32|past_source_raw_alarm_rate_w128|past_source_high_ood_risk_rate_w32|past_source_strong_attack_rate_w32|past_source_attack_margin_mean_w32|past_source_ood_risk_mean_w32|past_source_d_attack_outer_min_mean_w32|past_source_d_benign_core_min_mean_w32|past_source_raw_alarm_run_before
unified_current_plus_temporal_no_parent,current_plus_temporal_no_parent_oodrisk,False,True,True,15,attack_margin|d_attack_outer_min|d_benign_core_min|benign_minus_attack_distance|past_role_raw_alarm_rate_w8|past_role_raw_alarm_rate_w32|past_role_raw_alarm_rate_w128|past_source_raw_alarm_rate_w8|past_source_raw_alarm_rate_w32|past_source_raw_alarm_rate_w128|past_source_strong_attack_rate_w32|past_source_attack_margin_mean_w32|past_source_d_attack_outer_min_mean_w32|past_source_d_benign_core_min_mean_w32|past_source_raw_alarm_run_before
unified_current_only_no_parent,current_no_parent_oodrisk,False,True,False,4,attack_margin|d_attack_outer_min|d_benign_core_min|benign_minus_attack_distance
unified_temporal_only_no_parent,temporal_no_parent_oodrisk,False,False,True,11,past_role_raw_alarm_rate_w8|past_role_raw_alarm_rate_w32|past_role_raw_alarm_rate_w128|past_source_raw_alarm_rate_w8|past_source_raw_alarm_rate_w32|past_source_raw_alarm_rate_w128|past_source_strong_attack_rate_w32|past_source_attack_margin_mean_w32|past_source_d_attack_outer_min_mean_w32|past_source_d_benign_core_min_mean_w32|past_source_raw_alarm_run_before
parent_current_only,current_evidence,True,True,False,5,attack_margin|ood_risk|d_attack_outer_min|d_benign_core_min|benign_minus_attack_distance
