protocol,bundle,folds,macro_auroc,worst_fold_auroc,macro_average_precision,macro_score_margin,threshold_evaluable_folds,macro_attack_recall,worst_attack_family_recall,macro_benign_fpr
unseen_attack_family_origin,C1_207_upper_bound,10,0.9175723043529272,0.7094948961633227,0.7155957609216966,0.40146164858957134,4,1.0,1.0,1.0
unseen_attack_family_origin,CompactProcess69,10,0.8894603198809966,0.6776487152411123,0.6806567066656259,0.43773890769670787,4,1.0,1.0,0.29863100625131506
unseen_attack_family_origin,CompactProcess69_history_permuted,10,0.8988650080565496,0.7879267863428372,0.7252814594477301,0.48499986745867724,4,1.0,1.0,0.7584477296726505
unseen_attack_family_origin,Current20,10,0.7782488729228721,0.478698224852071,0.542085927994491,0.33183417218131445,4,1.0,1.0,0.9609053124959538
unseen_attack_family_origin,TGN9_exact,10,0.794143234685231,0.45680473372781066,0.5264243364982627,0.4254398975849757,4,1.0,1.0,0.7966883790572094
unseen_source_pair,C1_207_upper_bound,15,0.9926999964767503,0.9604651162790698,0.9862167199203014,0.8617195082873974,15,1.0,1.0,0.4857775934242107
unseen_source_pair,CompactProcess69,15,0.9977709569705858,0.9766118772581549,0.9924474848684551,0.9358827510451445,15,0.9968992248062015,0.5555555555555556,0.33096900940913704
unseen_source_pair,CompactProcess69_history_permuted,15,0.997876317674422,0.9768993944328535,0.9935901121348569,0.9445603092720343,15,1.0,1.0,0.30660978561865615
unseen_source_pair,Current20,15,0.9880252893063523,0.9432904177904433,0.9651866195808873,0.810894020422252,15,1.0,1.0,0.979951747741682
unseen_source_pair,TGN9_exact,15,0.9975878204183047,0.9823619123400305,0.9687672303335912,0.8769553734188981,15,1.0,1.0,0.49400131464486585
