protocol,fold,bundle,candidate,causal,feature_dim,train_rows,train_sources,train_attack_families,test_rows,test_attack_rows,test_benign_rows,test_sources,test_attack_families,auroc,average_precision,attack_score_mean,benign_score_mean,score_margin,inner_oof_status,threshold_status,threshold,model_seed,outer_attack_recall,outer_benign_fpr,outer_worst_attack_family_recall
unseen_source_pair,benign=processed/iotsim-building-monitor-2.csv|attack=processed/iotsim-ip-camera-museum-1.csv,CompactProcess69_history_permuted,False,False,69,6766,6,8,1905,215,1690,2,8,0.9942232007706069,0.9913148768788974,0.8418314044729243,0.009092975042888423,0.8327384294300358,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.0039456855517939655,844904582,1.0,1.0,1.0
unseen_source_pair,benign=processed/iotsim-building-monitor-2.csv|attack=processed/iotsim-ip-camera-museum-1.csv,C1_207_upper_bound,True,True,207,6766,6,8,1905,215,1690,2,8,0.9604651162790698,0.9298541170725753,0.9132988687073139,0.009030203382308205,0.9042686653250057,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009029707901378598,1591448710,1.0,1.0,1.0
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-city-power-1.csv,TGN9_exact,True,True,9,7620,6,10,1051,137,914,2,6,1.0,1.0,0.9879456250332669,0.04497515234421936,0.9429704726890475,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.00902765553228358,1041582984,1.0,0.9956236323851203,1.0
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-city-power-1.csv,Current20,True,True,20,7620,6,10,1051,137,914,2,6,1.0,1.0,0.9853330382773372,0.03952655181867909,0.9458064864586582,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.00902765553228358,959351381,1.0,0.9923413566739606,1.0
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-city-power-1.csv,CompactProcess69,True,True,69,7620,6,10,1051,137,914,2,6,1.0,1.0,0.9828403988483724,0.010645009063868428,0.9721953897845039,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009027416346675365,124172048,1.0,0.11816192560175055,1.0
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-city-power-1.csv,CompactProcess69_history_permuted,False,False,69,7620,6,10,1051,137,914,2,6,1.0,1.0,0.9870681561889185,0.010346970774139272,0.9767211854147793,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009027416346675365,791079959,1.0,0.09299781181619256,1.0
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-city-power-1.csv,C1_207_upper_bound,True,True,207,7620,6,10,1051,137,914,2,6,1.0,1.0,0.6669971971359105,0.009181980619249883,0.6578152165166606,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009026232438551145,1275224634,1.0,0.03172866520787746,1.0
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-combined-cycle-10.csv,TGN9_exact,True,True,9,7724,6,8,947,33,914,2,2,0.9823619123400305,0.7988977170971652,0.7699254325644601,0.0383454707838587,0.7315799617806014,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009026740401265717,499681077,1.0,0.9956236323851203,1.0
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-combined-cycle-10.csv,Current20,True,True,20,7724,6,8,947,33,914,2,2,0.9789470194284199,0.7970859255097699,0.6340537944417,0.031918799510562625,0.6021349949311373,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.009035953292618136,109715271,1.0,0.9846827133479212,1.0
unseen_source_pair,benign=processed/iotsim-building-monitor-3.csv|attack=processed/iotsim-combined-cycle-10.csv,CompactProcess69,True,True,69,7724,6,8,947,33,914,2,2,1.0,1.0,0.9907582522603097,0.009707863185079445,0.9810503890752302,INNER_SOURCE_OOF_COMPLETE,SELECTED_FROM_INNER_SOURCE_OOF,0.008738067970001562,692782516,1.0,1.0,1.0
