candidate,split,dro_round,class_label,env_value,rows,mean_weight,mean_loss,max_loss,held_field,held_value
CKM_M0_c4_baseline_seed42,train,0,0,ALL,20000,0.6459999999999997,0.06766989144813175,2.2332621795474425,,
CKM_M0_c4_baseline_seed42,train,0,1,ALL,11295,1.1438689685701637,0.045596650820280686,1.4441936406771898,,
CKM_M0_c4_baseline_seed42,train,0,2,ALL,20000,0.6459999999999997,0.0052108313429694965,5.46848081549101,,
CKM_M0_c4_baseline_seed42,train,0,3,ALL,385,33.558441558441544,0.002962837914303597,0.4722976569179411,,
CKM_M1_device_family_env_balanced_seed42,train,0,0,iotsim-combined-cycle-tls,4044,1.5974282888229472,0.16856020495955273,1.067657436653497,,
CKM_M1_device_family_env_balanced_seed42,train,0,0,iotsim-cooler-motor,15956,0.4048633742792679,0.0009921650850135636,0.9385628930615728,,
CKM_M1_device_family_env_balanced_seed42,train,0,1,iotsim-building-monitor,2604,2.4807987711213513,0.04745758710525326,1.7244700845425165,,
CKM_M1_device_family_env_balanced_seed42,train,0,1,iotsim-hydraulic-system,8691,0.743297664250374,0.12441785248193833,2.2210871297536054,,
CKM_M1_device_family_env_balanced_seed42,train,0,2,iotsim-stream-consumer,20000,0.32300000000000006,0.006579383784118128,6.118028991183506,,
CKM_M1_device_family_env_balanced_seed42,train,0,3,city-power,137,47.153284671532845,0.0010304509686598579,0.010144404667282775,,
CKM_M1_device_family_env_balanced_seed42,train,0,3,combined-cycle,33,195.75757575757575,0.0019971243193743064,0.04028470123189802,,
CKM_M1_device_family_env_balanced_seed42,train,0,3,ip-camera-museum,215,30.04651162790697,0.00231674402056538,0.18251962965087648,,
CKM_M2_source_family_env_balanced_seed42,train,0,0,iotsim-combined-cycle-tls,4044,1.5974282888229472,0.16856020495955273,1.067657436653497,,
CKM_M2_source_family_env_balanced_seed42,train,0,0,iotsim-cooler-motor,15956,0.4048633742792679,0.0009921650850135636,0.9385628930615728,,
CKM_M2_source_family_env_balanced_seed42,train,0,1,iotsim-building-monitor,2604,2.4807987711213513,0.04745758710525326,1.7244700845425165,,
CKM_M2_source_family_env_balanced_seed42,train,0,1,iotsim-hydraulic-system,8691,0.743297664250374,0.12441785248193833,2.2210871297536054,,
CKM_M2_source_family_env_balanced_seed42,train,0,2,iotsim-stream-consumer,20000,0.32300000000000006,0.006579383784118128,6.118028991183506,,
CKM_M2_source_family_env_balanced_seed42,train,0,3,iotsim-city-power,137,47.153284671532845,0.0010304509686598579,0.010144404667282775,,
CKM_M2_source_family_env_balanced_seed42,train,0,3,iotsim-combined-cycle,33,195.75757575757575,0.0019971243193743064,0.04028470123189802,,
CKM_M2_source_family_env_balanced_seed42,train,0,3,iotsim-ip-camera-museum,215,30.04651162790697,0.00231674402056538,0.18251962965087648,,
CKM_M3_device_family_dro_seed42,train,0,0,iotsim-combined-cycle-tls,4044,1.5974282888229472,0.16856020495955273,1.067657436653497,,
