candidate,variant,env_field,weight_mode,role,phase,label,rows,unique_envs,split,seed,held_field,held_value
CKM_M2_source_family_env_balanced_seed44,M2_source_family_env_balanced,source_family,class_env_balanced,ood_val,fit,1,11295,2,main,44,,
CKM_M2_source_family_env_balanced_seed44,M2_source_family_env_balanced,source_family,class_env_balanced,ood_stress,fit,2,20000,1,main,44,,
CKM_M3_device_family_dro_seed44,M3_device_family_dro,device_family,class_env_dro,support_train,fit,3,385,3,main,44,,
CKM_M3_device_family_dro_seed44,M3_device_family_dro,device_family,class_env_dro,id_calib,fit,0,20000,2,main,44,,
CKM_M3_device_family_dro_seed44,M3_device_family_dro,device_family,class_env_dro,ood_val,fit,1,11295,2,main,44,,
CKM_M3_device_family_dro_seed44,M3_device_family_dro,device_family,class_env_dro,ood_stress,fit,2,20000,1,main,44,,
CKM_M4_source_family_dro_seed44,M4_source_family_dro,source_family,class_env_dro,support_train,fit,3,385,3,main,44,,
CKM_M4_source_family_dro_seed44,M4_source_family_dro,source_family,class_env_dro,id_calib,fit,0,20000,2,main,44,,
CKM_M4_source_family_dro_seed44,M4_source_family_dro,source_family,class_env_dro,ood_val,fit,1,11295,2,main,44,,
CKM_M4_source_family_dro_seed44,M4_source_family_dro,source_family,class_env_dro,ood_stress,fit,2,20000,1,main,44,,
CKM_M0_c4_baseline_seed45,M0_c4_baseline,,class_balanced,support_train,fit,3,385,1,main,45,,
CKM_M0_c4_baseline_seed45,M0_c4_baseline,,class_balanced,id_calib,fit,0,20000,1,main,45,,
CKM_M0_c4_baseline_seed45,M0_c4_baseline,,class_balanced,ood_val,fit,1,11295,1,main,45,,
CKM_M0_c4_baseline_seed45,M0_c4_baseline,,class_balanced,ood_stress,fit,2,20000,1,main,45,,
CKM_M1_device_family_env_balanced_seed45,M1_device_family_env_balanced,device_family,class_env_balanced,support_train,fit,3,385,3,main,45,,
CKM_M1_device_family_env_balanced_seed45,M1_device_family_env_balanced,device_family,class_env_balanced,id_calib,fit,0,20000,2,main,45,,
CKM_M1_device_family_env_balanced_seed45,M1_device_family_env_balanced,device_family,class_env_balanced,ood_val,fit,1,11295,2,main,45,,
CKM_M1_device_family_env_balanced_seed45,M1_device_family_env_balanced,device_family,class_env_balanced,ood_stress,fit,2,20000,1,main,45,,
CKM_M2_source_family_env_balanced_seed45,M2_source_family_env_balanced,source_family,class_env_balanced,support_train,fit,3,385,3,main,45,,
CKM_M2_source_family_env_balanced_seed45,M2_source_family_env_balanced,source_family,class_env_balanced,id_calib,fit,0,20000,2,main,45,,
CKM_M2_source_family_env_balanced_seed45,M2_source_family_env_balanced,source_family,class_env_balanced,ood_val,fit,1,11295,2,main,45,,
CKM_M2_source_family_env_balanced_seed45,M2_source_family_env_balanced,source_family,class_env_balanced,ood_stress,fit,2,20000,1,main,45,,
CKM_M3_device_family_dro_seed45,M3_device_family_dro,device_family,class_env_dro,support_train,fit,3,385,3,main,45,,
CKM_M3_device_family_dro_seed45,M3_device_family_dro,device_family,class_env_dro,id_calib,fit,0,20000,2,main,45,,
CKM_M3_device_family_dro_seed45,M3_device_family_dro,device_family,class_env_dro,ood_val,fit,1,11295,2,main,45,,
CKM_M3_device_family_dro_seed45,M3_device_family_dro,device_family,class_env_dro,ood_stress,fit,2,20000,1,main,45,,
CKM_M4_source_family_dro_seed45,M4_source_family_dro,source_family,class_env_dro,support_train,fit,3,385,3,main,45,,
CKM_M4_source_family_dro_seed45,M4_source_family_dro,source_family,class_env_dro,id_calib,fit,0,20000,2,main,45,,
CKM_M4_source_family_dro_seed45,M4_source_family_dro,source_family,class_env_dro,ood_val,fit,1,11295,2,main,45,,
CKM_M4_source_family_dro_seed45,M4_source_family_dro,source_family,class_env_dro,ood_stress,fit,2,20000,1,main,45,,
CKM_M0_c4_baseline_seed46,M0_c4_baseline,,class_balanced,support_train,fit,3,385,1,main,46,,
CKM_M0_c4_baseline_seed46,M0_c4_baseline,,class_balanced,id_calib,fit,0,20000,1,main,46,,
CKM_M0_c4_baseline_seed46,M0_c4_baseline,,class_balanced,ood_val,fit,1,11295,1,main,46,,
CKM_M0_c4_baseline_seed46,M0_c4_baseline,,class_balanced,ood_stress,fit,2,20000,1,main,46,,
CKM_M1_device_family_env_balanced_seed46,M1_device_family_env_balanced,device_family,class_env_balanced,support_train,fit,3,385,3,main,46,,
CKM_M1_device_family_env_balanced_seed46,M1_device_family_env_balanced,device_family,class_env_balanced,id_calib,fit,0,20000,2,main,46,,
CKM_M1_device_family_env_balanced_seed46,M1_device_family_env_balanced,device_family,class_env_balanced,ood_val,fit,1,11295,2,main,46,,
CKM_M1_device_family_env_balanced_seed46,M1_device_family_env_balanced,device_family,class_env_balanced,ood_stress,fit,2,20000,1,main,46,,
CKM_M2_source_family_env_balanced_seed46,M2_source_family_env_balanced,source_family,class_env_balanced,support_train,fit,3,385,3,main,46,,
CKM_M2_source_family_env_balanced_seed46,M2_source_family_env_balanced,source_family,class_env_balanced,id_calib,fit,0,20000,2,main,46,,
CKM_M2_source_family_env_balanced_seed46,M2_source_family_env_balanced,source_family,class_env_balanced,ood_val,fit,1,11295,2,main,46,,
CKM_M2_source_family_env_balanced_seed46,M2_source_family_env_balanced,source_family,class_env_balanced,ood_stress,fit,2,20000,1,main,46,,
CKM_M3_device_family_dro_seed46,M3_device_family_dro,device_family,class_env_dro,support_train,fit,3,385,3,main,46,,
CKM_M3_device_family_dro_seed46,M3_device_family_dro,device_family,class_env_dro,id_calib,fit,0,20000,2,main,46,,
CKM_M3_device_family_dro_seed46,M3_device_family_dro,device_family,class_env_dro,ood_val,fit,1,11295,2,main,46,,
CKM_M3_device_family_dro_seed46,M3_device_family_dro,device_family,class_env_dro,ood_stress,fit,2,20000,1,main,46,,
CKM_M4_source_family_dro_seed46,M4_source_family_dro,source_family,class_env_dro,support_train,fit,3,385,3,main,46,,
CKM_M4_source_family_dro_seed46,M4_source_family_dro,source_family,class_env_dro,id_calib,fit,0,20000,2,main,46,,
CKM_M4_source_family_dro_seed46,M4_source_family_dro,source_family,class_env_dro,ood_val,fit,1,11295,2,main,46,,
CKM_M4_source_family_dro_seed46,M4_source_family_dro,source_family,class_env_dro,ood_stress,fit,2,20000,1,main,46,,
CKM_M0_c4_baseline_seed42_leave_iotsim-ip-camera-street,M0_c4_baseline,,class_balanced,support_train,fit,3,385,1,leave_device_family,,device_family,iotsim-ip-camera-street
CKM_M0_c4_baseline_seed42_leave_iotsim-ip-camera-street,M0_c4_baseline,,class_balanced,id_calib,fit,0,20000,1,leave_device_family,,device_family,iotsim-ip-camera-street
CKM_M0_c4_baseline_seed42_leave_iotsim-ip-camera-street,M0_c4_baseline,,class_balanced,ood_val,fit,1,11295,1,leave_device_family,,device_family,iotsim-ip-camera-street
CKM_M0_c4_baseline_seed42_leave_iotsim-ip-camera-street,M0_c4_baseline,,class_balanced,ood_stress,fit,2,20000,1,leave_device_family,,device_family,iotsim-ip-camera-street
CKM_M3_device_family_dro_seed42_leave_iotsim-ip-camera-street,M3_device_family_dro,device_family,class_env_dro,support_train,fit,3,385,3,leave_device_family,,device_family,iotsim-ip-camera-street
CKM_M3_device_family_dro_seed42_leave_iotsim-ip-camera-street,M3_device_family_dro,device_family,class_env_dro,id_calib,fit,0,20000,2,leave_device_family,,device_family,iotsim-ip-camera-street
CKM_M3_device_family_dro_seed42_leave_iotsim-ip-camera-street,M3_device_family_dro,device_family,class_env_dro,ood_val,fit,1,11295,2,leave_device_family,,device_family,iotsim-ip-camera-street
CKM_M3_device_family_dro_seed42_leave_iotsim-ip-camera-street,M3_device_family_dro,device_family,class_env_dro,ood_stress,fit,2,20000,1,leave_device_family,,device_family,iotsim-ip-camera-street
CKM_M4_source_family_dro_seed42_leave_iotsim-ip-camera-street,M4_source_family_dro,source_family,class_env_dro,support_train,fit,3,385,3,leave_device_family,,device_family,iotsim-ip-camera-street
