object_label,orientation,operator,is_precheck_chosen_orientation,policy_name,threshold,id_alarm_ratio,ood_alarm_ratio,attack_detection
dA,raw_score,>,False,fixed_id_q99,1.7991714282483922,0.01,0.35275,0.05391666666666667
dA,raw_score,>,False,naive_calibrated_budget5000_target1pct,2.4342050564271588e+16,0.0085,0.005,0.010166666666666666
dA,raw_score,>=,False,fixed_id_q99,1.7991714282483922,0.01,0.35275,0.05391666666666667
dA,raw_score,>=,False,naive_calibrated_budget5000_target1pct,2.4342050564271588e+16,0.009,0.34975,0.04575
dA,neg_raw_score,>,True,fixed_id_q99,-0.004927511042990001,0.01,0.007625,0.07666666666666666
dA,neg_raw_score,>,True,naive_calibrated_budget5000_target1pct,-0.004948827258633862,0.01425,0.009125,0.07916666666666666
dA,neg_raw_score,>=,True,fixed_id_q99,-0.004927511042990001,0.01,0.007625,0.07666666666666666
dA,neg_raw_score,>=,True,naive_calibrated_budget5000_target1pct,-0.004948827258633862,0.01425,0.009125,0.07916666666666666
strongest_candidate_transformer_covreg_v2_seed101,raw_score,>,False,fixed_id_q99,0.15997737167572976,0.01,0.35175,0.04666666666666667
strongest_candidate_transformer_covreg_v2_seed101,raw_score,>,False,naive_calibrated_budget5000_target1pct,1.4348620300025856e+16,0.0,0.000375,0.002
strongest_candidate_transformer_covreg_v2_seed101,raw_score,>=,False,fixed_id_q99,0.15997737167572976,0.01,0.35175,0.04666666666666667
strongest_candidate_transformer_covreg_v2_seed101,raw_score,>=,False,naive_calibrated_budget5000_target1pct,1.4348620300025856e+16,0.0005,0.345125,0.03758333333333334
strongest_candidate_transformer_covreg_v2_seed101,neg_raw_score,>,True,fixed_id_q99,-0.07126987142658234,0.00125,0.002125,0.0033333333333333335
strongest_candidate_transformer_covreg_v2_seed101,neg_raw_score,>,True,naive_calibrated_budget5000_target1pct,-0.07594761615788936,0.43775,0.00975,0.027916666666666666
strongest_candidate_transformer_covreg_v2_seed101,neg_raw_score,>=,True,fixed_id_q99,-0.07126987142658234,0.1975,0.002125,0.0033333333333333335
strongest_candidate_transformer_covreg_v2_seed101,neg_raw_score,>=,True,naive_calibrated_budget5000_target1pct,-0.07594761615788936,0.43775,0.00975,0.027916666666666666
ft_transformer_ae,raw_score,>,False,fixed_id_q99,60.78002990722656,0.01,0.005125,0.008166666666666666
ft_transformer_ae,raw_score,>,False,naive_calibrated_budget5000_target1pct,2.1791556572914126,0.01325,0.00825,0.04525
ft_transformer_ae,raw_score,>=,False,fixed_id_q99,60.78002990722656,0.01,0.005125,0.008166666666666666
ft_transformer_ae,raw_score,>=,False,naive_calibrated_budget5000_target1pct,2.1791556572914126,0.01325,0.00825,0.04525
ft_transformer_ae,neg_raw_score,>,True,fixed_id_q99,-0.030798068270087242,0.00575,0.0,0.0
ft_transformer_ae,neg_raw_score,>,True,naive_calibrated_budget5000_target1pct,-0.10440162509679794,0.39525,0.00925,0.126
ft_transformer_ae,neg_raw_score,>=,True,fixed_id_q99,-0.030798068270087242,0.1965,0.0,0.0
ft_transformer_ae,neg_raw_score,>=,True,naive_calibrated_budget5000_target1pct,-0.10440162509679794,0.39525,0.00925,0.126
