attack_family,unique_support_rows,training_uses,epochs,balanced_examples_per_epoch,candidate,seed
File Download,15,1800,30,60,M1-SSL,27
Ingress Tool Transfer,18,1800,30,60,M1-SSL,27
Merlin C&C Communication,30,1800,30,60,M1-SSL,27
Merlin ICMP Flooding,43,1800,30,60,M1-SSL,27
Merlin TCP Flooding,60,1800,30,60,M1-SSL,27
Merlin UDP Flooding,30,1800,30,60,M1-SSL,27
Mirai C&C Communication,9,1800,30,60,M1-SSL,27
Mirai GRE Flooding,60,1800,30,60,M1-SSL,27
Mirai TCP Flooding,60,1800,30,60,M1-SSL,27
Mirai UDP Flooding,60,1800,30,60,M1-SSL,27
File Download,15,1800,30,60,M1-Random,27
Ingress Tool Transfer,18,1800,30,60,M1-Random,27
Merlin C&C Communication,30,1800,30,60,M1-Random,27
Merlin ICMP Flooding,43,1800,30,60,M1-Random,27
Merlin TCP Flooding,60,1800,30,60,M1-Random,27
Merlin UDP Flooding,30,1800,30,60,M1-Random,27
Mirai C&C Communication,9,1800,30,60,M1-Random,27
Mirai GRE Flooding,60,1800,30,60,M1-Random,27
Mirai TCP Flooding,60,1800,30,60,M1-Random,27
Mirai UDP Flooding,60,1800,30,60,M1-Random,27
File Download,15,1800,30,60,TGN-only,27
Ingress Tool Transfer,18,1800,30,60,TGN-only,27
Merlin C&C Communication,30,1800,30,60,TGN-only,27
Merlin ICMP Flooding,43,1800,30,60,TGN-only,27
Merlin TCP Flooding,60,1800,30,60,TGN-only,27
Merlin UDP Flooding,30,1800,30,60,TGN-only,27
Mirai C&C Communication,9,1800,30,60,TGN-only,27
Mirai GRE Flooding,60,1800,30,60,TGN-only,27
Mirai TCP Flooding,60,1800,30,60,TGN-only,27
Mirai UDP Flooding,60,1800,30,60,TGN-only,27
File Download,15,1800,30,60,M1-SSL,27
Ingress Tool Transfer,18,1800,30,60,M1-SSL,27
Merlin C&C Communication,30,1800,30,60,M1-SSL,27
Merlin ICMP Flooding,43,1800,30,60,M1-SSL,27
Merlin TCP Flooding,60,1800,30,60,M1-SSL,27
Merlin UDP Flooding,30,1800,30,60,M1-SSL,27
Mirai C&C Communication,9,1800,30,60,M1-SSL,27
Mirai GRE Flooding,60,1800,30,60,M1-SSL,27
Mirai TCP Flooding,60,1800,30,60,M1-SSL,27
Mirai UDP Flooding,60,1800,30,60,M1-SSL,27
File Download,15,1800,30,60,M1-Random,27
Ingress Tool Transfer,18,1800,30,60,M1-Random,27
Merlin C&C Communication,30,1800,30,60,M1-Random,27
Merlin ICMP Flooding,43,1800,30,60,M1-Random,27
Merlin TCP Flooding,60,1800,30,60,M1-Random,27
Merlin UDP Flooding,30,1800,30,60,M1-Random,27
Mirai C&C Communication,9,1800,30,60,M1-Random,27
Mirai GRE Flooding,60,1800,30,60,M1-Random,27
Mirai TCP Flooding,60,1800,30,60,M1-Random,27
Mirai UDP Flooding,60,1800,30,60,M1-Random,27
File Download,15,1800,30,60,TGN-only,27
Ingress Tool Transfer,18,1800,30,60,TGN-only,27
Merlin C&C Communication,30,1800,30,60,TGN-only,27
Merlin ICMP Flooding,43,1800,30,60,TGN-only,27
Merlin TCP Flooding,60,1800,30,60,TGN-only,27
Merlin UDP Flooding,30,1800,30,60,TGN-only,27
Mirai C&C Communication,9,1800,30,60,TGN-only,27
Mirai GRE Flooding,60,1800,30,60,TGN-only,27
Mirai TCP Flooding,60,1800,30,60,TGN-only,27
Mirai UDP Flooding,60,1800,30,60,TGN-only,27
File Download,15,1800,30,60,M1-SSL,27
Ingress Tool Transfer,18,1800,30,60,M1-SSL,27
Merlin C&C Communication,30,1800,30,60,M1-SSL,27
Merlin ICMP Flooding,43,1800,30,60,M1-SSL,27
Merlin TCP Flooding,60,1800,30,60,M1-SSL,27
Merlin UDP Flooding,30,1800,30,60,M1-SSL,27
Mirai C&C Communication,9,1800,30,60,M1-SSL,27
Mirai GRE Flooding,60,1800,30,60,M1-SSL,27
Mirai TCP Flooding,60,1800,30,60,M1-SSL,27
Mirai UDP Flooding,60,1800,30,60,M1-SSL,27
File Download,15,1800,30,60,M1-Random,27
Ingress Tool Transfer,18,1800,30,60,M1-Random,27
Merlin C&C Communication,30,1800,30,60,M1-Random,27
Merlin ICMP Flooding,43,1800,30,60,M1-Random,27
Merlin TCP Flooding,60,1800,30,60,M1-Random,27
Merlin UDP Flooding,30,1800,30,60,M1-Random,27
Mirai C&C Communication,9,1800,30,60,M1-Random,27
Mirai GRE Flooding,60,1800,30,60,M1-Random,27
Mirai TCP Flooding,60,1800,30,60,M1-Random,27
Mirai UDP Flooding,60,1800,30,60,M1-Random,27
File Download,15,1800,30,60,TGN-only,27
Ingress Tool Transfer,18,1800,30,60,TGN-only,27
Merlin C&C Communication,30,1800,30,60,TGN-only,27
Merlin ICMP Flooding,43,1800,30,60,TGN-only,27
Merlin TCP Flooding,60,1800,30,60,TGN-only,27
Merlin UDP Flooding,30,1800,30,60,TGN-only,27
Mirai C&C Communication,9,1800,30,60,TGN-only,27
Mirai GRE Flooding,60,1800,30,60,TGN-only,27
Mirai TCP Flooding,60,1800,30,60,TGN-only,27
