candidate,metric,rows,hard_recall,c1_hard_recall,delta_vs_c1_pp,delta_ci_low_pp,delta_ci_high_pp,ci_cluster_unit,ci_clusters,review_rate,seed,attack_family
M0,overall_attack_hard_recall,244050,0.9997951239500102,0.9997951239500102,0.0,0.0,0.0,source,8.0,0.0,27,
M0,support_val_recall,69,1.0,1.0,0.0,0.0,0.0,source,3.0,0.0,27,
M0,same_file_attack_recall,2486,1.0,1.0,0.0,0.0,0.0,episode,14.0,0.0,27,
M0,future_attack_recall,131391,0.9996194564315668,0.9996194564315668,0.0,0.0,0.0,source,5.0,0.0,27,
M0,sealed_attack_recall,110104,1.0,1.0,0.0,0.0,0.0,episode,208.0,0.0,27,
M0,domotic_attack_recall,3000,1.0,1.0,0.0,0.0,0.0,episode,77.0,0.0,27,
M0,combined_attack_recall,5492,1.0,1.0,0.0,0.0,0.0,source,2.0,0.0,27,
M0,attack_family_recall,179,1.0,1.0,0.0,0.0,0.0,source,4.0,0.0,27,C&C Communication
M0,attack_family_recall,320,1.0,1.0,0.0,0.0,0.0,episode,2.0,0.0,27,CoAP Amplification
M0,attack_family_recall,2569,1.0,1.0,0.0,0.0,0.0,source,4.0,0.0,27,File Download
M0,attack_family_recall,10069,1.0,1.0,0.0,0.0,0.0,source,5.0,0.0,27,Ingress Tool Transfer
M0,attack_family_recall,9926,1.0,1.0,0.0,0.0,0.0,source,3.0,0.0,27,Merlin C&C Communication
M0,attack_family_recall,19730,1.0,1.0,0.0,0.0,0.0,source,6.0,0.0,27,Merlin ICMP Flooding
M0,attack_family_recall,27722,1.0,1.0,0.0,0.0,0.0,source,6.0,0.0,27,Merlin TCP Flooding
M0,attack_family_recall,10298,1.0,1.0,0.0,0.0,0.0,source,6.0,0.0,27,Merlin UDP Flooding
M0,attack_family_recall,369,0.8644986449864499,0.8644986449864499,0.0,0.0,0.0,source,3.0,0.0,27,Mirai C&C Communication
M0,attack_family_recall,27722,1.0,1.0,0.0,0.0,0.0,source,6.0,0.0,27,Mirai GRE Flooding
M0,attack_family_recall,27721,1.0,1.0,0.0,0.0,0.0,source,6.0,0.0,27,Mirai TCP Flooding
M0,attack_family_recall,27722,1.0,1.0,0.0,0.0,0.0,source,6.0,0.0,27,Mirai UDP Flooding
M0,attack_family_recall,167,1.0,1.0,0.0,0.0,0.0,source,4.0,0.0,27,Reporting
M0,attack_family_recall,39711,1.0,1.0,0.0,0.0,0.0,source,5.0,0.0,27,TCP Scan
M0,attack_family_recall,39712,1.0,1.0,0.0,0.0,0.0,source,5.0,0.0,27,Telnet Brute Force
M0,attack_family_recall,113,1.0,1.0,0.0,0.0,0.0,episode,60.0,0.0,27,UDP Scan
M0,worst_family_recall,369,0.8644986449864499,0.8644986449864499,0.0,,,,,0.0,27,Mirai C&C Communication
M1-Random,overall_attack_hard_recall,244050,0.9979963122311002,0.9997951239500102,-0.1798811718910054,-1.0787139284051999,-0.10668795573196939,source,8.0,0.0,27,
M1-Random,support_val_recall,69,0.927536231884058,1.0,-7.246376811594201,-8.695652173913043,0.0,source,3.0,0.0,27,
M1-Random,same_file_attack_recall,2486,0.998390989541432,1.0,-0.16090104585679832,-0.41367482754494245,0.0,episode,14.0,0.0,27,
M1-Random,future_attack_recall,131391,0.9975721320333965,0.9996194564315668,-0.2047324398170347,-3.277777777777778,-0.09575147173558408,source,5.0,0.0,27,
M1-Random,sealed_attack_recall,110104,0.9985377461309307,1.0,-0.14622538690692855,-0.28802960089417556,-0.07916312919050697,episode,208.0,0.0,27,
M1-Random,domotic_attack_recall,3000,0.9896666666666667,1.0,-1.0333333333333306,-1.9421298978149546,-0.5161789541220148,episode,77.0,0.0,27,
M1-Random,combined_attack_recall,5492,0.9752367079388201,1.0,-2.4763292061179887,-4.327535002121341,-1.0845295055821371,source,2.0,0.0,27,
M1-Random,attack_family_recall,179,0.9888268156424581,1.0,-1.1173184357541888,-2.197802197802198,0.0,source,4.0,0.0,27,C&C Communication
M1-Random,attack_family_recall,320,0.996875,1.0,-0.31250000000000444,-0.628930817610063,0.0,episode,2.0,0.0,27,CoAP Amplification
M1-Random,attack_family_recall,2569,1.0,1.0,0.0,0.0,0.0,source,4.0,0.0,27,File Download
M1-Random,attack_family_recall,10069,0.9982123348892641,1.0,-0.17876651107359143,-0.3505082369435682,-0.09572709076668696,source,5.0,0.0,27,Ingress Tool Transfer
M1-Random,attack_family_recall,9926,0.9936530324400564,1.0,-0.6346967559943573,-60.0,-0.39349694522108314,source,3.0,0.0,27,Merlin C&C Communication
M1-Random,attack_family_recall,19730,0.9998986315255955,1.0,-0.010136847440445074,-0.019725811223986586,0.0,source,6.0,0.0,27,Merlin ICMP Flooding
