candidate,verifier_threshold,quantile,support_val_c1_recall,support_val_hard_recall,select_benign_hard_rate,eligible,selected,selected_despite_constraint_failure,gate_constraint_pass,held_value,c1_candidate_threshold,seed
M1-Random,0.07328464463353157,0.5,1.0,0.927536231884058,0.0014444444444444444,False,True,True,False,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,27
M1-Random,0.07980446265912369,0.5260526315789473,1.0,0.927536231884058,0.0014444444444444444,False,,,,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,27
M1-Random,0.08632507221871301,0.5521052631578948,1.0,0.927536231884058,0.0014444444444444444,False,,,,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,27
M1-Random,0.09331631503214961,0.5781578947368421,1.0,0.927536231884058,0.0012222222222222222,False,,,,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,27
M1-Random,0.10065202665956396,0.6042105263157895,1.0,0.927536231884058,0.0012222222222222222,False,,,,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,27
M1-Random,0.11081766507735379,0.6302631578947369,1.0,0.927536231884058,0.0011111111111111111,False,,,,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,27
M1-Random,0.12150203446416478,0.6563157894736842,1.0,0.8985507246376812,0.001,False,,,,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,27
M1-Random,0.13208419857056508,0.6823684210526315,1.0,0.8985507246376812,0.001,False,,,,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,27
M1-Random,0.14437493707004348,0.708421052631579,1.0,0.8840579710144928,0.001,False,,,,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,27
M1-Random,0.157722015004409,0.7344736842105264,1.0,0.8840579710144928,0.001,False,,,,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,27
M1-Random,0.17453874000593236,0.7605263157894737,1.0,0.8840579710144928,0.001,False,,,,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,27
M1-Random,0.19365729910762686,0.786578947368421,1.0,0.8840579710144928,0.0007777777777777777,False,,,,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,27
M1-Random,0.21288585402463608,0.8126315789473684,1.0,0.8840579710144928,0.0005555555555555556,False,,,,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,27
M1-Random,0.23726665807789882,0.8386842105263158,1.0,0.8840579710144928,0.00022222222222222223,False,,,,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,27
M1-Random,0.26645340655979355,0.8647368421052631,1.0,0.855072463768116,0.00022222222222222223,False,,,,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,27
M1-Random,0.3001591929871785,0.8907894736842106,1.0,0.855072463768116,0.00022222222222222223,False,,,,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,27
M1-Random,0.34761938609574977,0.9168421052631579,1.0,0.855072463768116,0.00022222222222222223,False,,,,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,27
M1-Random,0.41882509362540743,0.9428947368421052,1.0,0.855072463768116,0.00011111111111111112,False,,,,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,27
