JobIDRaw|JobName|Partition|State|ExitCode|Elapsed|TotalCPU|MaxRSS|MaxVMSize|Start|End
151377|ckbj_m1_v2_amd|amd|COMPLETED|0:0|01:28:18|08:28:28|||2026-07-14T10:16:19|2026-07-14T11:44:37
151377.batch|batch||COMPLETED|0:0|01:28:18|08:28:28|16156416K|17947848K|2026-07-14T10:16:19|2026-07-14T11:44:37
