stage,epoch,memory_resets,memory_updates,history_update_batches,link_loss,reverse_response_loss,edge_retry_survival_loss,ack_rst_completion_loss,finite_losses,candidate,seed,loss,all_support_used,family_balanced_examples_per_family,optimizer_attack_steps,benign_examples
ssl,1,13.0,12385.0,12385.0,1.1278580717978302,1.056985499759475,0.12744727872248526,0.4333397327585423,True,M1-SSL,27,,,,,
ssl,2,13.0,12385.0,12385.0,1.0711560879291757,1.0638422343487406,0.1332469148003022,0.5908396700595288,True,M1-SSL,27,,,,,
ssl,3,13.0,12385.0,12385.0,1.204403251203476,0.7866514052890412,0.10755432298881279,0.6053123613621326,True,M1-SSL,27,,,,,
ssl,1,12.0,8385.0,8385.0,0.6795457311536791,0.5077150673349485,0.1838917548247859,0.4333397327585423,True,M1-SSL,27,,,,,
ssl,2,12.0,8385.0,8385.0,0.629032406863562,0.5368002855340569,0.19635370688498482,0.44449502895487114,True,M1-SSL,27,,,,,
ssl,3,12.0,8385.0,8385.0,0.7847134388164537,0.5204323664209852,0.16886926139363342,0.4272930086293119,True,M1-SSL,27,,,,,
ssl,1,10.0,10989.0,10989.0,1.3465833541543413,1.0107300690197354,0.10576080825498774,0.35477130704869825,True,M1-SSL,27,,,,,
ssl,2,10.0,10989.0,10989.0,0.9429694867129141,1.1180390671033889,0.08498984889217359,0.5875123710268073,True,M1-SSL,27,,,,,
ssl,3,10.0,10989.0,10989.0,0.9303462109416342,0.8651650063337571,0.08258064266798443,0.34596306675424177,True,M1-SSL,27,,,,,
ssl,1,13.0,12385.0,12385.0,1.1278580717978302,1.056985499759475,0.12744727872248526,0.4333397327585423,True,M1-SSL,27,,,,,
ssl,2,13.0,12385.0,12385.0,1.0711560879291757,1.0638422343487406,0.1332469148003022,0.5908396700595288,True,M1-SSL,27,,,,,
ssl,3,13.0,12385.0,12385.0,1.204403251203476,0.7866514052890412,0.10755432298881279,0.6053123613621326,True,M1-SSL,27,,,,,
ssl,1,12.0,12352.0,12352.0,1.1093283833863923,1.091382008027816,0.12650335644118124,0.43779508339034184,True,M1-SSL,27,,,,,
ssl,2,12.0,12352.0,12352.0,1.0861656946260698,1.0264136595072446,0.11774244142066748,0.8177275458971659,True,M1-SSL,27,,,,,
ssl,3,12.0,12352.0,12352.0,1.044155772530266,0.8213824331905172,0.11290899510264407,0.6991095470057593,True,M1-SSL,27,,,,,
ssl,1,13.0,12385.0,12385.0,1.1278580717978302,1.056985499759475,0.12744727872248526,0.4333397327585423,True,M1-SSL,27,,,,,
ssl,2,13.0,12385.0,12385.0,1.0711560879291757,1.0638422343487406,0.1332469148003022,0.5908396700595288,True,M1-SSL,27,,,,,
ssl,3,13.0,12385.0,12385.0,1.204403251203476,0.7866514052890412,0.10755432298881279,0.6053123613621326,True,M1-SSL,27,,,,,
verifier,1,,,,,,,,True,M1-SSL,27,0.4259820447737972,True,60.0,600.0,2400.0
verifier,2,,,,,,,,True,M1-SSL,27,0.36984056312590835,True,60.0,600.0,2400.0
verifier,3,,,,,,,,True,M1-SSL,27,0.3488952538060645,True,60.0,600.0,2400.0
verifier,4,,,,,,,,True,M1-SSL,27,0.3318519730617603,True,60.0,600.0,2400.0
verifier,5,,,,,,,,True,M1-SSL,27,0.3273181556661924,True,60.0,600.0,2400.0
verifier,6,,,,,,,,True,M1-SSL,27,0.3249594780554374,True,60.0,600.0,2400.0
verifier,7,,,,,,,,True,M1-SSL,27,0.3193919791467488,True,60.0,600.0,2400.0
verifier,8,,,,,,,,True,M1-SSL,27,0.3190934482185791,True,60.0,600.0,2400.0
verifier,9,,,,,,,,True,M1-SSL,27,0.3157839161405961,True,60.0,600.0,2400.0
verifier,10,,,,,,,,True,M1-SSL,27,0.315105010724316,True,60.0,600.0,2400.0
verifier,11,,,,,,,,True,M1-SSL,27,0.3100582342967391,True,60.0,600.0,2400.0
verifier,12,,,,,,,,True,M1-SSL,27,0.31154158849269153,True,60.0,600.0,2400.0
verifier,13,,,,,,,,True,M1-SSL,27,0.3138805261999369,True,60.0,600.0,2400.0
verifier,14,,,,,,,,True,M1-SSL,27,0.31117589067978163,True,60.0,600.0,2400.0
verifier,15,,,,,,,,True,M1-SSL,27,0.3022462508392831,True,60.0,600.0,2400.0
verifier,16,,,,,,,,True,M1-SSL,27,0.30834247508396706,True,60.0,600.0,2400.0
verifier,17,,,,,,,,True,M1-SSL,27,0.3061514060230305,True,60.0,600.0,2400.0
verifier,18,,,,,,,,True,M1-SSL,27,0.3044234118424356,True,60.0,600.0,2400.0
verifier,19,,,,,,,,True,M1-SSL,27,0.307633718252182,True,60.0,600.0,2400.0
verifier,20,,,,,,,,True,M1-SSL,27,0.3066859865499039,True,60.0,600.0,2400.0
verifier,21,,,,,,,,True,M1-SSL,27,0.3039255358930677,True,60.0,600.0,2400.0
verifier,22,,,,,,,,True,M1-SSL,27,0.299949561941127,True,60.0,600.0,2400.0
verifier,23,,,,,,,,True,M1-SSL,27,0.30289886086247864,True,60.0,600.0,2400.0
verifier,24,,,,,,,,True,M1-SSL,27,0.3061368657369167,True,60.0,600.0,2400.0
verifier,25,,,,,,,,True,M1-SSL,27,0.3050053653928141,True,60.0,600.0,2400.0
verifier,26,,,,,,,,True,M1-SSL,27,0.2996955713008841,True,60.0,600.0,2400.0
verifier,27,,,,,,,,True,M1-SSL,27,0.30668126450230676,True,60.0,600.0,2400.0
verifier,28,,,,,,,,True,M1-SSL,27,0.29985102493936816,True,60.0,600.0,2400.0
verifier,29,,,,,,,,True,M1-SSL,27,0.3033761088581135,True,60.0,600.0,2400.0
verifier,30,,,,,,,,True,M1-SSL,27,0.30218194173028073,True,60.0,600.0,2400.0
verifier,1,,,,,,,,True,M1-Random,27,0.38802572958171366,True,60.0,600.0,2400.0
verifier,2,,,,,,,,True,M1-Random,27,0.3015187708288431,True,60.0,600.0,2400.0
verifier,3,,,,,,,,True,M1-Random,27,0.2734058377457162,True,60.0,600.0,2400.0
verifier,4,,,,,,,,True,M1-Random,27,0.2537635192958017,True,60.0,600.0,2400.0
verifier,5,,,,,,,,True,M1-Random,27,0.24364606527922053,True,60.0,600.0,2400.0
verifier,6,,,,,,,,True,M1-Random,27,0.23553587505283455,True,60.0,600.0,2400.0
verifier,7,,,,,,,,True,M1-Random,27,0.2308486334234476,True,60.0,600.0,2400.0
verifier,8,,,,,,,,True,M1-Random,27,0.23448427832685412,True,60.0,600.0,2400.0
verifier,9,,,,,,,,True,M1-Random,27,0.22471454723427692,True,60.0,600.0,2400.0
verifier,10,,,,,,,,True,M1-Random,27,0.21795856601713845,True,60.0,600.0,2400.0
verifier,11,,,,,,,,True,M1-Random,27,0.21209897947497666,True,60.0,600.0,2400.0
verifier,12,,,,,,,,True,M1-Random,27,0.21970280505251139,True,60.0,600.0,2400.0
verifier,13,,,,,,,,True,M1-Random,27,0.21354804397250216,True,60.0,600.0,2400.0
verifier,14,,,,,,,,True,M1-Random,27,0.21014389282868554,True,60.0,600.0,2400.0
verifier,15,,,,,,,,True,M1-Random,27,0.20703480698168278,True,60.0,600.0,2400.0
