candidate,held_field,held_value,role,phase,label,rows_before_exclude,rows_after_exclude,held_rows_removed,feature_dim,train_classes,train_rows_total,seed,benign_q,role_attack_quantile,attack_threshold
C1_cicflow_style_only_histgb,device_family,__m1_global_no_hold__,support_train,fit,3.0,385,385,0,207.0,0|1|2|3,12385.0,27,,,
C1_cicflow_style_only_histgb,device_family,__m1_global_no_hold__,id_calib,fit,0.0,4000,4000,0,207.0,0|1|2|3,12385.0,27,,,
C1_cicflow_style_only_histgb,device_family,__m1_global_no_hold__,ood_val,fit,1.0,4000,4000,0,207.0,0|1|2|3,12385.0,27,,,
C1_cicflow_style_only_histgb,device_family,__m1_global_no_hold__,ood_stress,fit,2.0,4000,4000,0,207.0,0|1|2|3,12385.0,27,,,
C1_cicflow_style_only_histgb,device_family,__m1_global_no_hold__,id_calib,select,,3000,3000,0,,,,27,0.99,0.0001873537278100396,0.0020498713313795458
C1_cicflow_style_only_histgb,device_family,__m1_global_no_hold__,ood_val,select,,3000,3000,0,,,,27,0.99,0.0009140275153534811,0.0020498713313795458
C1_cicflow_style_only_histgb,device_family,__m1_global_no_hold__,ood_stress,select,,3000,3000,0,,,,27,0.99,0.0020498713313795458,0.0020498713313795458
C1_cicflow_style_only_histgb,device_family,iotsim-stream-consumer,support_train,fit,3.0,385,385,0,207.0,0|1|3,8385.0,27,,,
C1_cicflow_style_only_histgb,device_family,iotsim-stream-consumer,id_calib,fit,0.0,4000,4000,0,207.0,0|1|3,8385.0,27,,,
C1_cicflow_style_only_histgb,device_family,iotsim-stream-consumer,ood_val,fit,1.0,4000,4000,0,207.0,0|1|3,8385.0,27,,,
C1_cicflow_style_only_histgb,device_family,iotsim-stream-consumer,ood_stress,fit,2.0,4000,0,4000,207.0,0|1|3,8385.0,27,,,
C1_cicflow_style_only_histgb,device_family,iotsim-stream-consumer,id_calib,select,,3000,3000,0,,,,27,0.99,0.0003644103102766704,0.0003644103102766704
C1_cicflow_style_only_histgb,device_family,iotsim-stream-consumer,ood_val,select,,3000,3000,0,,,,27,0.99,0.00027146894812870285,0.0003644103102766704
C1_cicflow_style_only_histgb,device_family,iotsim-stream-consumer,ood_stress,select,,3000,0,3000,,,,27,0.99,,0.0003644103102766704
C1_cicflow_style_only_histgb,device_family,iotsim-hydraulic-system,support_train,fit,3.0,385,385,0,207.0,0|1|2|3,10989.0,27,,,
C1_cicflow_style_only_histgb,device_family,iotsim-hydraulic-system,id_calib,fit,0.0,4000,4000,0,207.0,0|1|2|3,10989.0,27,,,
C1_cicflow_style_only_histgb,device_family,iotsim-hydraulic-system,ood_val,fit,1.0,4000,2604,1396,207.0,0|1|2|3,10989.0,27,,,
C1_cicflow_style_only_histgb,device_family,iotsim-hydraulic-system,ood_stress,fit,2.0,4000,4000,0,207.0,0|1|2|3,10989.0,27,,,
C1_cicflow_style_only_histgb,device_family,iotsim-hydraulic-system,id_calib,select,,3000,3000,0,,,,27,0.99,0.0002880256994332935,0.001667079643329124
C1_cicflow_style_only_histgb,device_family,iotsim-hydraulic-system,ood_val,select,,3000,0,3000,,,,27,0.99,,0.001667079643329124
C1_cicflow_style_only_histgb,device_family,iotsim-hydraulic-system,ood_stress,select,,3000,3000,0,,,,27,0.99,0.001667079643329124,0.001667079643329124
C1_cicflow_style_only_histgb,device_family,domotic-monitor,support_train,fit,3.0,385,385,0,207.0,0|1|2|3,12385.0,27,,,
C1_cicflow_style_only_histgb,device_family,domotic-monitor,id_calib,fit,0.0,4000,4000,0,207.0,0|1|2|3,12385.0,27,,,
C1_cicflow_style_only_histgb,device_family,domotic-monitor,ood_val,fit,1.0,4000,4000,0,207.0,0|1|2|3,12385.0,27,,,
C1_cicflow_style_only_histgb,device_family,domotic-monitor,ood_stress,fit,2.0,4000,4000,0,207.0,0|1|2|3,12385.0,27,,,
C1_cicflow_style_only_histgb,device_family,domotic-monitor,id_calib,select,,3000,3000,0,,,,27,0.99,0.0001873537278100396,0.0020498713313795458
C1_cicflow_style_only_histgb,device_family,domotic-monitor,ood_val,select,,3000,3000,0,,,,27,0.99,0.0009140275153534811,0.0020498713313795458
C1_cicflow_style_only_histgb,device_family,domotic-monitor,ood_stress,select,,3000,3000,0,,,,27,0.99,0.0020498713313795458,0.0020498713313795458
C1_cicflow_style_only_histgb,device_family,combined-cycle,support_train,fit,3.0,385,352,33,207.0,0|1|2|3,12352.0,27,,,
C1_cicflow_style_only_histgb,device_family,combined-cycle,id_calib,fit,0.0,4000,4000,0,207.0,0|1|2|3,12352.0,27,,,
C1_cicflow_style_only_histgb,device_family,combined-cycle,ood_val,fit,1.0,4000,4000,0,207.0,0|1|2|3,12352.0,27,,,
C1_cicflow_style_only_histgb,device_family,combined-cycle,ood_stress,fit,2.0,4000,4000,0,207.0,0|1|2|3,12352.0,27,,,
C1_cicflow_style_only_histgb,device_family,combined-cycle,id_calib,select,,3000,3000,0,,,,27,0.99,0.0002721476204708044,0.00047157347380678046
