phase,source_group,records_scored,memory_updates,context_fit_updates,cold_start_targets,cold_start_ratio,nonphase_raw_events_used,history_update_batches,history_batch_size,repeated_endpoint_occurrences,memory_resets,target_before_update,report_only_source,no_grad,candidate,seed,memory_only_events,all_past_raw_events_update_memory,model_weights_updated,labels_read_for_memory
report,processed/iotsim-ip-camera-street-2.csv,3000,100000,,0,0.0,,6000,200,188000,1,True,False,True,M1-SSL,27,97000.0,True,False,False
fit,processed/iotsim-building-monitor-2.csv,598,598,0.0,1,0.0016722408026755853,0.0,598,1,0,1,True,False,True,M1-Random,27,,,,
fit,processed/iotsim-building-monitor-3.csv,324,324,0.0,1,0.0030864197530864196,0.0,324,1,0,1,True,False,True,M1-Random,27,,,,
fit,processed/iotsim-city-power-1.csv,137,137,0.0,1,0.0072992700729927005,0.0,137,1,0,1,True,False,True,M1-Random,27,,,,
fit,processed/iotsim-combined-cycle-10.csv,33,33,0.0,1,0.030303030303030304,0.0,33,1,0,1,True,False,True,M1-Random,27,,,,
fit,processed/iotsim-combined-cycle-tls-3.csv,270,270,0.0,1,0.003703703703703704,0.0,270,1,0,1,True,False,True,M1-Random,27,,,,
fit,processed/iotsim-combined-cycle-tls-4.csv,270,270,0.0,1,0.003703703703703704,0.0,270,1,0,1,True,False,True,M1-Random,27,,,,
fit,processed/iotsim-combined-cycle-tls-5.csv,269,269,0.0,1,0.0037174721189591076,0.0,269,1,0,1,True,False,True,M1-Random,27,,,,
fit,processed/iotsim-cooler-motor-5.csv,3191,3191,0.0,1,0.00031338138514572234,0.0,3191,1,0,1,True,False,True,M1-Random,27,,,,
fit,processed/iotsim-hydraulic-system-1.csv,1353,1353,0.0,1,0.0007390983000739098,0.0,1353,1,0,1,True,False,True,M1-Random,27,,,,
fit,processed/iotsim-hydraulic-system-10.csv,869,869,0.0,1,0.0011507479861910242,0.0,869,1,0,1,True,False,True,M1-Random,27,,,,
fit,processed/iotsim-hydraulic-system-11.csv,856,856,0.0,1,0.0011682242990654205,0.0,856,1,0,1,True,False,True,M1-Random,27,,,,
