candidate,regime,feature_set,architecture,role,support_coverage,attack_label,rows,hard_alarm_rate,conflict_review_rate
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Merlin ICMP Flooding,10011,1.0,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Merlin TCP Flooding,15000,1.0,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Merlin UDP Flooding,4996,0.9997998398718975,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Mirai GRE Flooding,15000,1.0,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Mirai TCP Flooding,15000,1.0,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,sealed_final_attack,seen_in_support,Mirai UDP Flooding,15000,0.9996,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,sealed_final_attack,unseen_in_support,C&C Communication,90,0.5888888888888889,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,sealed_final_attack,unseen_in_support,Reporting,74,0.527027027027027,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,sealed_final_attack,unseen_in_support,TCP Scan,15000,0.9099333333333334,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,sealed_final_attack,unseen_in_support,Telnet Brute Force,15000,0.9412,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,support_val,seen_in_support,File Download,3,0.6666666666666666,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,support_val,seen_in_support,Ingress Tool Transfer,3,1.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,support_val,seen_in_support,Merlin C&C Communication,5,1.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,support_val,seen_in_support,Merlin ICMP Flooding,8,1.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,support_val,seen_in_support,Merlin TCP Flooding,11,1.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,support_val,seen_in_support,Merlin UDP Flooding,6,1.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,support_val,seen_in_support,Mirai C&C Communication,2,0.5,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,support_val,seen_in_support,Mirai GRE Flooding,10,1.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,support_val,seen_in_support,Mirai TCP Flooding,10,1.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,support_val,seen_in_support,Mirai UDP Flooding,11,1.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,File Download,105,1.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,Ingress Tool Transfer,2381,0.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,Merlin C&C Communication,6827,0.9260290024901128,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,Merlin ICMP Flooding,7038,0.9786871270247229,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,Merlin TCP Flooding,12000,0.9183333333333333,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,Merlin UDP Flooding,3292,0.5844471445929527,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,Mirai C&C Communication,106,0.5566037735849056,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,Mirai GRE Flooding,12000,1.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,Mirai TCP Flooding,12000,0.9998333333333334,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,same_file_query,seen_in_support,Mirai UDP Flooding,12000,1.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,future_query,seen_in_support,File Download,623,0.9614767255216693,0.0
