candidate,regime,feature_set,architecture,model,role,phase,role_kind,rows,attack_threshold,hard_ood_gate,raw_alarm_rate,conflict_review_rate,hard_alarm_rate,attack_score_mean,hard_ood_score_mean,conflict_score_mean
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,histgb_shallow,id_calib,select,benign_id,51497,0.29546760910759196,nan,0.0001941860690914034,0.0,0.0001941860690914034,0.014232281961089365,0.0,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,histgb_shallow,ood_val,select,benign_ood,12205,0.29546760910759196,nan,0.008603031544448997,0.0,0.008603031544448997,0.02653610945873223,0.0,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,histgb_shallow,ood_stress,select,hard_ood,79950,0.29546760910759196,nan,0.00632895559724828,0.0,0.00632895559724828,0.02058660226919268,0.0,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,histgb_shallow,support_val,select,attack,69,0.29546760910759196,nan,1.0,0.0,1.0,0.9648400433697928,0.0,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,histgb_shallow,same_file_query,select,attack,67749,0.29546760910759196,nan,0.9991881798993343,0.0,0.9991881798993343,0.9576057818089521,0.0,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,histgb_shallow,future_query,select,attack,120000,0.29546760910759196,nan,0.9895083333333333,0.0,0.9895083333333333,0.8290845099936474,0.0,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,histgb_shallow,sealed_final_ood,all,benign_ood_report,120000,0.29546760910759196,nan,0.3055083333333333,0.0,0.3055083333333333,0.2120783208800015,0.0,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,histgb_shallow,sealed_final_attack,all,attack_report,110104,0.29546760910759196,nan,0.9767674198939185,0.0,0.9767674198939185,0.8991053069999522,0.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,histgb_shallow,id_calib,select,benign_id,51497,0.8481956609865505,nan,7.767442763656135e-05,0.0,7.767442763656135e-05,0.009322987386670348,0.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,histgb_shallow,ood_val,select,benign_ood,12205,0.8481956609865505,nan,0.0011470708725931996,0.0,0.0011470708725931996,0.012436991318508204,0.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,histgb_shallow,ood_stress,select,hard_ood,79950,0.8481956609865505,nan,0.008893058161350845,0.0,0.008893058161350845,0.05164564556889352,0.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,histgb_shallow,support_val,select,attack,69,0.8481956609865505,nan,0.9710144927536232,0.0,0.9710144927536232,0.967405732868308,0.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,histgb_shallow,same_file_query,select,attack,67749,0.8481956609865505,nan,0.9198069344196962,0.0,0.9198069344196962,0.9332790624568925,0.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,histgb_shallow,future_query,select,attack,120000,0.8481956609865505,nan,0.7115,0.0,0.7115,0.7460793397998705,0.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,histgb_shallow,sealed_final_ood,all,benign_ood_report,120000,0.8481956609865505,nan,0.006866666666666667,0.0,0.006866666666666667,0.08368968194572732,0.0,0.0
C2_fewshot_binary_evidence,fewshot_direct,evidence,binary_attack_vs_all_benign,histgb_shallow,sealed_final_attack,all,attack_report,110104,0.8481956609865505,nan,0.8710219428903582,0.0,0.8710219428903582,0.8878013313583966,0.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,histgb_stronger,id_calib,select,benign_id,51497,0.013166403574231034,nan,7.767442763656135e-05,0.0,7.767442763656135e-05,0.00025001029786665864,0.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,histgb_stronger,ood_val,select,benign_ood,12205,0.013166403574231034,nan,0.003932814420319541,0.0,0.003932814420319541,0.001117049462799032,0.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,histgb_stronger,ood_stress,select,hard_ood,79950,0.013166403574231034,nan,0.009843652282676673,0.0,0.009843652282676673,0.001171421195852113,0.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,histgb_stronger,support_val,select,attack,69,0.013166403574231034,nan,1.0,0.0,1.0,0.9818850658947931,0.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,histgb_stronger,same_file_query,select,attack,67749,0.013166403574231034,nan,0.9610178748025802,0.0,0.9610178748025802,0.9589407621980128,0.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,histgb_stronger,future_query,select,attack,120000,0.013166403574231034,nan,0.7851,0.0,0.7851,0.7771043113184297,0.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,histgb_stronger,sealed_final_ood,all,benign_ood_report,120000,0.013166403574231034,nan,0.07575833333333333,0.0,0.07575833333333333,0.008063527012916284,0.0,0.0
C3_fewshot_binary_raw_plus_evidence,fewshot_direct,raw_plus_evidence,binary_attack_vs_all_benign,histgb_stronger,sealed_final_attack,all,attack_report,110104,0.013166403574231034,nan,0.9323003705587445,0.0,0.9323003705587445,0.9048607479565673,0.0,0.0
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,id_calib,select,benign_id,51497,0.02311787888407519,nan,0.0006213954210924908,0.0006213954210924908,0.0,0.0005495169049978858,0.00017957811158225074,0.998957745996231
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,ood_val,select,benign_ood,12205,0.02311787888407519,nan,0.009422367882015567,0.008930766079475625,0.0004916018025399426,0.0018965165020026606,0.000675714369680325,0.9515136882712669
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,ood_stress,select,hard_ood,79950,0.02311787888407519,nan,0.0037273295809881176,0.003602251407129456,0.00012507817385866166,0.000827513600759553,0.9966805987764046,0.9983518581911389
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,support_val,select,attack,69,0.02311787888407519,nan,1.0,0.0,1.0,0.9852043818882167,0.0009417773201085828,0.013648264468430996
C4_fewshot_multiclass_raw115,fewshot_direct,raw115,multiclass_id_ood_hardood_attack,histgb_shallow,same_file_query,select,attack,67749,0.02311787888407519,nan,1.0,0.0005313731567993624,0.9994686268432006,0.9921506872764927,0.0034088835727614907,0.005319385534063465
