candidate,regime,feature_set,architecture,role,phase,source_group,device,rows,hard_alarm_rate,conflict_review_rate,attack_score_mean,hard_ood_score_mean
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,id_calib,select,processed/iotsim-cooler-motor-6.csv,iotsim-cooler-motor-6,22418,0.0001784280488892854,0.0,0.013858718589131075,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,id_calib,select,processed/iotsim-cooler-motor-7.csv,iotsim-cooler-motor-7,22425,8.918617614269788e-05,0.0,0.013873029718076102,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,id_calib,select,processed/iotsim-cooler-motor-8.csv,iotsim-cooler-motor-8,5011,0.0003991219317501497,0.0,0.015925105275155112,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,id_calib,select,processed/iotsim-cooler-motor-9.csv,iotsim-cooler-motor-9,1643,0.0012172854534388314,0.0,0.019069797235191588,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,ood_val,select,processed/iotsim-hydraulic-system-12.csv,iotsim-hydraulic-system-12,2446,0.009811937857726901,0.0,0.02750800689668615,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,ood_val,select,processed/iotsim-hydraulic-system-13.csv,iotsim-hydraulic-system-13,2431,0.007404360345536816,0.0,0.02441376439649036,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,ood_val,select,processed/iotsim-hydraulic-system-14.csv,iotsim-hydraulic-system-14,2431,0.007404360345536816,0.0,0.022769790239807793,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,ood_val,select,processed/iotsim-hydraulic-system-15.csv,iotsim-hydraulic-system-15,2446,0.009811937857726901,0.0,0.024343396823439084,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,ood_val,select,processed/iotsim-hydraulic-system-2.csv,iotsim-hydraulic-system-2,2451,0.008567931456548347,0.0,0.03359504737803336,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,ood_stress,select,processed/iotsim-stream-consumer-2.csv,iotsim-stream-consumer-2,79950,0.00632895559724828,0.0,0.02058660226919268,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,support_val,select,processed/iotsim-city-power-1.csv,city-power,23,1.0,0.0,0.9651607643134257,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,support_val,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,6,1.0,0.0,0.9743192118901217,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,support_val,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,40,1.0,0.0,0.9632337535491542,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,same_file_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,2486,1.0,0.0,0.7508734629637274,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,same_file_query,select,processed/iotsim-ip-camera-museum-1.csv,ip-camera-museum,65263,0.9991572560256194,0.0,0.9654806350128997,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,future_query,select,processed/iotsim-combined-cycle-1.csv,combined-cycle,46486,0.9885556941874973,0.0,0.9092827494476812,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,future_query,select,processed/iotsim-combined-cycle-10.csv,combined-cycle,12677,0.9964502642581052,0.0,0.5356943177512211,0.0
C1_fewshot_binary_raw115,fewshot_direct,raw115,binary_attack_vs_all_benign,future_query,select,processed/iotsim-domotic-monitor-1.csv,domotic-monitor,48185,0.9984850057071702,0.0,0.8391153599330299,0.0
