candidate,comparison,positive_rows,negative_rows,auc,ap
C1_fewshot_binary_raw115,support_vs_hard_ood,69,79950,0.9999748030925126,0.9824278565590944
C1_fewshot_binary_raw115,same_file_vs_hard_ood,67749,79950,0.9999674581481098,0.9999609680154877
C1_fewshot_binary_raw115,future_vs_hard_ood,120000,79950,0.9992562076818844,0.9994836032979687
C1_fewshot_binary_raw115,sealed_attack_vs_sealed_ood,110104,120000,0.9780039069879386,0.982267220202837
C2_fewshot_binary_evidence,support_vs_hard_ood,69,79950,0.9988175580752462,0.7373337841521752
C2_fewshot_binary_evidence,same_file_vs_hard_ood,67749,79950,0.975342883612875,0.98253286614162
C2_fewshot_binary_evidence,future_vs_hard_ood,120000,79950,0.8626105090160516,0.9343662770871235
C2_fewshot_binary_evidence,sealed_attack_vs_sealed_ood,110104,120000,0.9687731837626246,0.9741025135541002
C3_fewshot_binary_raw_plus_evidence,support_vs_hard_ood,69,79950,0.9999885798189085,0.9903825651821676
C3_fewshot_binary_raw_plus_evidence,same_file_vs_hard_ood,67749,79950,0.9981684123729673,0.9979392411624416
C3_fewshot_binary_raw_plus_evidence,future_vs_hard_ood,120000,79950,0.9569538207734,0.9734914089959255
C3_fewshot_binary_raw_plus_evidence,sealed_attack_vs_sealed_ood,110104,120000,0.9327928791566762,0.9640235568624732
C4_fewshot_multiclass_raw115,support_vs_hard_ood,69,79950,0.9999940180003807,0.9936374107868677
C4_fewshot_multiclass_raw115,same_file_vs_hard_ood,67749,79950,0.9999961783669148,0.9999954031335707
C4_fewshot_multiclass_raw115,future_vs_hard_ood,120000,79950,0.9999583014383989,0.9999690178464061
C4_fewshot_multiclass_raw115,sealed_attack_vs_sealed_ood,110104,120000,0.9990026135138899,0.9992233277705463
C5_fewshot_multihead_raw_plus_evidence,support_vs_hard_ood,69,79950,0.9999885798189085,0.9903825651821676
C5_fewshot_multihead_raw_plus_evidence,same_file_vs_hard_ood,67749,79950,0.9981684123729673,0.9979392411624416
C5_fewshot_multihead_raw_plus_evidence,future_vs_hard_ood,120000,79950,0.9569538207734,0.9734914089959255
C5_fewshot_multihead_raw_plus_evidence,sealed_attack_vs_sealed_ood,110104,120000,0.9327928791566762,0.9640235568624732
U1_devlabel_binary_raw_plus_temporal_mlp,support_vs_hard_ood,69,79950,0.9994400485810878,0.6323637919903804
U1_devlabel_binary_raw_plus_temporal_mlp,same_file_vs_hard_ood,67749,79950,0.9995798947981952,0.9993934420519688
U1_devlabel_binary_raw_plus_temporal_mlp,future_vs_hard_ood,120000,79950,0.9904202208150928,0.9955860272661825
U1_devlabel_binary_raw_plus_temporal_mlp,sealed_attack_vs_sealed_ood,110104,120000,0.999666806269527,0.9994085322207549
U2_devlabel_multihead_raw_plus_temporal,support_vs_hard_ood,69,79950,0.9999361920040605,0.9699543526069933
U2_devlabel_multihead_raw_plus_temporal,same_file_vs_hard_ood,67749,79950,0.9999991025623948,0.999998942016157
U2_devlabel_multihead_raw_plus_temporal,future_vs_hard_ood,120000,79950,0.9999155987075256,0.9999423477469566
U2_devlabel_multihead_raw_plus_temporal,sealed_attack_vs_sealed_ood,110104,120000,0.9999056735752864,0.9998961277382958
