candidate,verifier_threshold,threshold_frontier,support_val_c1_recall,support_val_hard_recall,select_benign_hard_rate,eligible,support_val_rows_used,select_benign_rows_used,report_rows_used,held_value,c1_candidate_threshold,gate_constraint_pass,seed,selected,selected_despite_constraint_failure
M1-ExtraTrees-Global,0.9944471120834351,exact_support_val_attack_scores,1.0,0.6231884057971014,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9945627450942993,exact_support_val_attack_scores,1.0,0.6086956521739131,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9947171807289124,exact_support_val_attack_scores,1.0,0.5942028985507246,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9970219135284424,exact_support_val_attack_scores,1.0,0.5797101449275363,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9971333146095276,exact_support_val_attack_scores,1.0,0.5652173913043478,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9973331093788147,exact_support_val_attack_scores,1.0,0.5507246376811594,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9990736246109009,exact_support_val_attack_scores,1.0,0.5362318840579711,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9995779991149902,exact_support_val_attack_scores,1.0,0.5217391304347826,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9995812177658081,exact_support_val_attack_scores,1.0,0.5072463768115942,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9996045231819153,exact_support_val_attack_scores,1.0,0.4927536231884058,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9997285604476929,exact_support_val_attack_scores,1.0,0.4782608695652174,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9997568726539612,exact_support_val_attack_scores,1.0,0.463768115942029,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9997802376747131,exact_support_val_attack_scores,1.0,0.43478260869565216,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9997974038124084,exact_support_val_attack_scores,1.0,0.42028985507246375,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9998329281806946,exact_support_val_attack_scores,1.0,0.4057971014492754,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9998391270637512,exact_support_val_attack_scores,1.0,0.391304347826087,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9998471736907959,exact_support_val_attack_scores,1.0,0.37681159420289856,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9998562335968018,exact_support_val_attack_scores,1.0,0.36231884057971014,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9998940825462341,exact_support_val_attack_scores,1.0,0.34782608695652173,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9999264478683472,exact_support_val_attack_scores,1.0,0.3333333333333333,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9999434947967529,exact_support_val_attack_scores,1.0,0.3188405797101449,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9999614953994751,exact_support_val_attack_scores,1.0,0.30434782608695654,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9999617338180542,exact_support_val_attack_scores,1.0,0.2898550724637681,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9999709129333496,exact_support_val_attack_scores,1.0,0.2753623188405797,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9999740719795227,exact_support_val_attack_scores,1.0,0.2608695652173913,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.999980628490448,exact_support_val_attack_scores,1.0,0.2463768115942029,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9999837875366211,exact_support_val_attack_scores,1.0,0.2318840579710145,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.999987006187439,exact_support_val_attack_scores,1.0,0.21739130434782608,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9999902844429016,exact_support_val_attack_scores,1.0,0.18840579710144928,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,0.9999921917915344,exact_support_val_attack_scores,1.0,0.17391304347826086,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M1-ExtraTrees-Global,1.0,exact_support_val_attack_scores,1.0,0.15942028985507245,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,6.3226766044977e-09,exact_support_val_attack_scores,1.0,1.0,0.0034444444444444444,True,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.5904215574264526,exact_support_val_attack_scores,1.0,1.0,0.0,True,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,True,False
M2-TabM-Global,0.9964630007743835,exact_support_val_attack_scores,1.0,0.9855072463768116,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9989534616470337,exact_support_val_attack_scores,1.0,0.9710144927536232,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9995582103729248,exact_support_val_attack_scores,1.0,0.9565217391304348,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9995651245117188,exact_support_val_attack_scores,1.0,0.9420289855072463,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
M2-TabM-Global,0.9996892213821411,exact_support_val_attack_scores,1.0,0.927536231884058,0.0,False,69,9000,0,GLOBAL_ATTACK_PRESERVATION,0.0020498713313795458,True,27,,
