candidate,held_value,backend,view,primary,input_dim,fit_rows,sampled_training_occurrences_per_epoch,all_unique_fit_rows_covered,fit_attack_rows,fit_benign_rows,model_sha256,official_tabm,seed
M1-ExtraTrees-Global,GLOBAL_ATTACK_PRESERVATION,extratrees,global,False,207,12385,12600,True,385,12000,23103873d3a748b70a2df1d6427305117201f8be3b661748681ddb857471a458,False,27
M2-TabM-Global,GLOBAL_ATTACK_PRESERVATION,tabm,global,False,207,12385,12600,True,385,12000,ab877a8774de0f9ff889cf527b18b77e773b8c59d004f76c2b11859a1915eed4,True,27
M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,tabm,csr,True,415,12385,12600,True,385,12000,cc937080c11a6c8a95a1ea4457bdbd0e3b828354a61dbbcf4ea218308565d9ba,True,27
A1-ExtraTrees-CSR,GLOBAL_ATTACK_PRESERVATION,extratrees,csr,False,415,12385,12600,True,385,12000,70841ad986c19404dfcf8e332f39278c9eb50fc2355ad22c480f44b1905071a6,False,27
M1-ExtraTrees-Global,iotsim-stream-consumer,extratrees,global,False,207,8385,8600,True,385,8000,2307658472aa7cc9bfd15dae310ff1e6fe0cbe23065e2607ba9b80a4e6bc1a3b,False,27
M2-TabM-Global,iotsim-stream-consumer,tabm,global,False,207,8385,8600,True,385,8000,fc75dcbbf6445fe50e3263f5f7a0dc0447e70d7420b9dfcdecf780f82decbea1,True,27
M3-TabM-CSR,iotsim-stream-consumer,tabm,csr,True,415,8385,8600,True,385,8000,4aebee081a72c91c8e4d20d9a87a08c63c3960afec57c352ab87acddc5c4ea23,True,27
A1-ExtraTrees-CSR,iotsim-stream-consumer,extratrees,csr,False,415,8385,8600,True,385,8000,6f930a5efecc2c436e7aaf294f1c665f160bf877931f4f3df1ef14099bd52dbe,False,27
M1-ExtraTrees-Global,iotsim-hydraulic-system,extratrees,global,False,207,10989,11204,True,385,10604,a3b6e7c9d91c3dc061bc41b592fb7c24e175a3a83da82d3e1e02b4f0975bb8ec,False,27
M2-TabM-Global,iotsim-hydraulic-system,tabm,global,False,207,10989,11204,True,385,10604,d3354c4b6d2b71b196610a45cf653420908f9f1ba1f7c487e4b6ca4800ef9f95,True,27
M3-TabM-CSR,iotsim-hydraulic-system,tabm,csr,True,415,10989,11204,True,385,10604,515d9423809fd3fe49231fe6b59468a21ee6785875cd20048a94f2aed0541038,True,27
A1-ExtraTrees-CSR,iotsim-hydraulic-system,extratrees,csr,False,415,10989,11204,True,385,10604,be69d4a4bf90ac2c43fc8b0d64595f89c90869126f965496bb94bdb7a26315d3,False,27
M1-ExtraTrees-Global,domotic-monitor,extratrees,global,False,207,12385,12600,True,385,12000,23103873d3a748b70a2df1d6427305117201f8be3b661748681ddb857471a458,False,27
M2-TabM-Global,domotic-monitor,tabm,global,False,207,12385,12600,True,385,12000,ab877a8774de0f9ff889cf527b18b77e773b8c59d004f76c2b11859a1915eed4,True,27
M3-TabM-CSR,domotic-monitor,tabm,csr,True,415,12385,12600,True,385,12000,cc937080c11a6c8a95a1ea4457bdbd0e3b828354a61dbbcf4ea218308565d9ba,True,27
A1-ExtraTrees-CSR,domotic-monitor,extratrees,csr,False,415,12385,12600,True,385,12000,70841ad986c19404dfcf8e332f39278c9eb50fc2355ad22c480f44b1905071a6,False,27
M1-ExtraTrees-Global,combined-cycle,extratrees,global,False,207,12352,12480,True,352,12000,4e4359844e7353b19ed7e4165fa091cc43f87a0e6dbc5f57bc54f2e7f0db1db0,False,27
M2-TabM-Global,combined-cycle,tabm,global,False,207,12352,12480,True,352,12000,c2978f1a6f4ce5d0de4bf9e2ea68ba0eec8980e87f0258c783f99b4aeb62636f,True,27
M3-TabM-CSR,combined-cycle,tabm,csr,True,415,12352,12480,True,352,12000,1259244b3961ca11b6c16b7b0eabf43cf40d776fe4e6ee149459465a5c967bc3,True,27
A1-ExtraTrees-CSR,combined-cycle,extratrees,csr,False,415,12352,12480,True,352,12000,b7ec7b7270a43dc12e668a9816add7a6e7cfeb64e226bee382db0e1f55efaad8,False,27
M1-ExtraTrees-Global,iotsim-ip-camera-street,extratrees,global,False,207,12385,12600,True,385,12000,23103873d3a748b70a2df1d6427305117201f8be3b661748681ddb857471a458,False,27
M2-TabM-Global,iotsim-ip-camera-street,tabm,global,False,207,12385,12600,True,385,12000,ab877a8774de0f9ff889cf527b18b77e773b8c59d004f76c2b11859a1915eed4,True,27
M3-TabM-CSR,iotsim-ip-camera-street,tabm,csr,True,415,12385,12600,True,385,12000,cc937080c11a6c8a95a1ea4457bdbd0e3b828354a61dbbcf4ea218308565d9ba,True,27
A1-ExtraTrees-CSR,iotsim-ip-camera-street,extratrees,csr,False,415,12385,12600,True,385,12000,70841ad986c19404dfcf8e332f39278c9eb50fc2355ad22c480f44b1905071a6,False,27
