phase_scope,records,sources,fresh_resets,score_before_update_records,label_free_updates,cold_start_records,cold_start_fraction,source_identity_as_feature,label_read_for_state,gradient_updates,phase_state_crossing,output_dim,state_event_scope,memory_only_events,held_value,protocol_run,seed
fit,12385,13,13,12385,12385,26,0.0020993136859103756,False,False,0,False,415,frozen_scored_target_rows_only,0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
select,9069,13,13,9069,9069,26,0.0028669092512956223,False,False,0,False,415,frozen_scored_target_rows_only,0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
report,301931,8,8,301931,301931,16,5.2992239948862486e-05,False,False,0,False,415,frozen_scored_target_rows_only,0,GLOBAL_ATTACK_PRESERVATION,GLOBAL_ATTACK_PRESERVATION,27
fit,8385,12,12,8385,8385,24,0.0028622540250447226,False,False,0,False,415,frozen_scored_target_rows_only,0,iotsim-stream-consumer,iotsim-stream-consumer,27
select,6069,12,12,6069,6069,24,0.003954522985664854,False,False,0,False,415,frozen_scored_target_rows_only,0,iotsim-stream-consumer,iotsim-stream-consumer,27
report,3000,1,1,3000,3000,2,0.0006666666666666666,False,False,0,False,415,frozen_scored_target_rows_only,0,iotsim-stream-consumer,iotsim-stream-consumer,27
fit,10989,10,10,10989,10989,20,0.00182000182000182,False,False,0,False,415,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,iotsim-hydraulic-system,27
select,6069,8,8,6069,6069,16,0.0026363486571099027,False,False,0,False,415,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,iotsim-hydraulic-system,27
report,3000,5,5,3000,3000,10,0.0033333333333333335,False,False,0,False,415,frozen_scored_target_rows_only,0,iotsim-hydraulic-system,iotsim-hydraulic-system,27
fit,12385,13,13,12385,12385,26,0.0020993136859103756,False,False,0,False,415,frozen_scored_target_rows_only,0,domotic-monitor,domotic-monitor,27
select,9069,13,13,9069,9069,26,0.0028669092512956223,False,False,0,False,415,frozen_scored_target_rows_only,0,domotic-monitor,domotic-monitor,27
report,3000,1,1,3000,3000,2,0.0006666666666666666,False,False,0,False,415,frozen_scored_target_rows_only,0,domotic-monitor,domotic-monitor,27
fit,12352,12,12,12352,12352,24,0.0019430051813471502,False,False,0,False,415,frozen_scored_target_rows_only,0,combined-cycle,combined-cycle,27
select,9063,12,12,9063,9063,24,0.0026481297583581596,False,False,0,False,415,frozen_scored_target_rows_only,0,combined-cycle,combined-cycle,27
report,5486,2,2,5486,5486,4,0.0007291286912139992,False,False,0,False,415,frozen_scored_target_rows_only,0,combined-cycle,combined-cycle,27
fit,12385,13,13,12385,12385,26,0.0020993136859103756,False,False,0,False,415,frozen_scored_target_rows_only,0,iotsim-ip-camera-street,iotsim-ip-camera-street,27
select,9069,13,13,9069,9069,26,0.0028669092512956223,False,False,0,False,415,frozen_scored_target_rows_only,0,iotsim-ip-camera-street,iotsim-ip-camera-street,27
report,3000,1,1,3000,3000,2,0.0006666666666666666,False,False,0,False,415,frozen_scored_target_rows_only,0,iotsim-ip-camera-street,iotsim-ip-camera-street,27
