epoch,weighted_cross_entropy,batches,rows_visited,all_unique_rows_covered,sampling_contract,finite_losses,support_val_used_for_early_stopping,candidate,held_value,seed
36,0.0007910061801735274,25,12600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,27
37,0.0057420429069301405,25,12600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,27
38,0.006481647783702588,25,12600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,27
39,0.002493526878292874,25,12600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,27
40,0.0015326858039567495,25,12600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,27
41,0.001903678421851742,25,12600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,27
42,0.003565019408414803,25,12600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,27
43,0.002719832102402385,25,12600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,27
44,0.0012333093955390272,25,12600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,27
45,0.0008088521476465591,25,12600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,27
46,0.0030518736610486035,25,12600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,27
47,0.0019636167743911836,25,12600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,27
48,0.001522706014431815,25,12600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,GLOBAL_ATTACK_PRESERVATION,27
1,,1,12600,True,coverage_first_attack_family_balanced,True,False,A1-ExtraTrees-CSR,GLOBAL_ATTACK_PRESERVATION,27
1,,1,8600,True,coverage_first_attack_family_balanced,True,False,M1-ExtraTrees-Global,iotsim-stream-consumer,27
1,0.37721482166810083,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
2,0.06562778678046316,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
3,0.009392607982706086,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
4,0.004535573733022766,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
5,0.002775701070647476,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
6,0.0017428189484073914,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
7,0.0014939097712561016,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
8,0.0009204414434206758,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
9,0.0009024621479590229,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
10,0.0008307449297754874,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
11,0.0009446645461034186,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
12,0.0010983645335532898,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
13,0.0010358490080285253,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
14,0.0007978072863513186,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
15,0.0010343601819097661,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
16,0.0013864230528851872,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
17,0.0011844189013607636,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
18,0.0010972591082565545,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
19,0.000932239506464319,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
20,0.002480684957185457,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
21,0.0013479235724635336,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
22,0.0007069190240896531,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
23,0.0007222382576644835,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
24,0.0008827406334594683,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
25,0.0008150960981361561,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
26,0.00103050544588008,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
27,0.0014852482333148232,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
28,0.0009623650762641407,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
29,0.0010589532847299415,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
30,0.0008512988362474841,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
31,0.00112090913960819,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
32,0.00048700956107467343,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
33,0.0005289447252717108,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
34,0.00034467145367417224,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
35,0.0002501341143713533,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
36,0.0002489060516026845,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
37,0.0004036279361406904,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
38,0.0006171521415463749,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
39,0.00034283386473349446,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
40,0.0004684203995915001,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
41,0.0004735967710703397,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
42,0.0008007679449267226,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
43,0.0005259787326260824,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
44,0.0009859899730022088,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
45,0.0005380462787958771,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
46,0.0015220763793941585,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
47,0.00027511492467888643,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
48,0.00037825824082127684,17,8600,True,coverage_first_attack_family_balanced,True,False,M2-TabM-Global,iotsim-stream-consumer,27
1,0.343366839274444,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
2,0.0334620954986023,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
3,0.008715978899233694,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
4,0.0058489227505441384,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
5,0.0032403295309176455,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
6,0.001508396553012554,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
7,0.0007886055135881761,17,8600,True,coverage_first_attack_family_balanced,True,False,M3-TabM-CSR,iotsim-stream-consumer,27
